lex,default
Δεκάπολις,《和2010》低加坡里;《和》低加波利;《现》十邑;《思》十城区
Δερβαῖος,特庇人;《思》德尔贝人
Δημήτριος,《和2010》《和》底米丢;《现》底米特;《思》德默特琉
Δημᾶς,底马;《思》德玛斯
Διονύσιος,《和2010》《和》丢尼修;《现》杜尼修;《思》狄约尼削
Διοτρέφης,《和2010》《和》丢特腓;《现》狄特腓;《思》狄约勒斐
Διόσκουροι,《和2010》宙斯双子;《和》丢斯双子;《现》双神;《思》雕斯雇黎
Δορκάς,多加;《思》多尔卡
Δρούσιλλα,土西拉;《思》得鲁息拉
Εὐνίκη,友妮基;《和》友尼基;《思》欧尼刻
Εὐοδία,友阿蝶;《和》友阿爹;《思》厄敖狄雅
Εὐφράτης,幼发拉底;《和》伯拉;《思》幼发拉的
Εὔβουλος,友布罗;《思》欧步罗
Εὔτυχος,犹推古;《思》厄乌提曷
Εὕα,夏娃;《思》厄娃
Ζάρα,谢拉;《思》则辣黑
Ζαβουλών,西布伦;《思》则步隆
Ζακχαῖος,撒该;《思》匝凯
Ζαχαρίας,撒迦利亚;《思》匝加利亚
Ζεβεδαῖος,西庇太;《思》载伯德
Ζεύς,宙斯;《和》丢斯;《思》则乌斯
Ζηνᾶς,西纳;《思》则纳
Ζοροβαβέλ,所罗巴伯;《思》则鲁巴贝耳
Θάρα,他拉;《思》特辣黑
Θαδδαῖος,达太;《思》达陡
Θαμάρ,《和2010》她玛;《和》他玛;《现》塔玛;《思》塔玛尔
Θεσσαλονίκη,帖撒罗尼迦;《思》得撒洛尼
Θεσσαλονικεύς,帖撒罗尼迦人;《思》得撒洛尼人
Θευδᾶς,杜达;《和》丢大;《思》特乌达
Θεόφιλος,提阿非罗;《思》德敖斐罗
Θυάτειρα,推雅推喇;《思》提雅提辣
Θωμᾶς,多马;《思》多默
Κάρπος,加布;《思》卡尔颇
Κάϊν,该隐;《思》加音
Κίς,基士;《思》克士
Καισάρεια,凯撒利亚;《和》该撒利亚;《思》凯撒勒雅
Κανά,《和》迦拿;《现》迦拿城;《思》加纳
Κανδάκη,甘大基;埃塞俄比亚女王的统称
Καππαδοκία,加帕多家;《思》卡帕多细雅
Καϊάφας,该亚法;《思》盖法
Καϊνάμ,该南;《思》刻南
Καῖσαρ,凯撒;《和》该撒
Κεγχρεαί,坚革哩;《思》耕格勒
Κεδρών,汲沦;《思》克德龙
Κηφᾶς,"矶法;《思》刻法,意思是“石头”"
Κιλικία,基利家;《思》基里基雅
Κλήμης,革利免;《思》克肋孟
Κλαυδία,《和2010》《和》革老底亚;《现》喀劳底雅;《思》克劳狄雅
Κλαύδιος,克劳第;《和》革老丢;《思》喀劳狄
Κλεοπᾶς,革流巴;《思》克罗帕
Κλωπᾶς,革罗罢;《思》克罗帕
Κνίδος,革尼土;《思》克尼多
Κολοσσαί,歌罗西;《思》哥罗森
Κορίνθιος,哥林多人;《思》格林多人
Κορνήλιος,哥尼流;《思》科尔乃略
Κούαρτος,括土;《思》夸尔托
Κρής,克里特人;《和》革哩底人
Κρήσκης,革勒士;《思》克勒斯刻
Κρήτη,克里特;《和》革哩底
Κρίσπος,基利司布;《思》克黎斯颇
Κυρήνη,古利奈;《思》基勒乃
Κυρήνιος,居里扭;《思》季黎诺
Κυρηναῖος,古利奈人;《思》基勒乃人
Κωσάμ,哥桑;《思》科散
Κόρε,可拉;《思》科辣黑
Κόρινθος,哥林多;《思》格林多
Κύπριος,塞浦路斯人;《和》居比路人
Κύπρος,塞浦路斯;《和》居比路
Κώς,哥士;《思》科斯
Λάζαρος,拉撒路;《思》拉匝禄
Λάμεχ,拉麦;《思》拉默客
Λίνος,《和2010》《和》利奴;《现》利努;《思》理诺
Λαοδίκεια,老底嘉;《思》劳狄刻雅
Λαοδικεύς,老底嘉人;《思》劳狄刻雅人
Λασαία,拉西亚;《思》拉撒雅
Λευί,利未;《思》肋末
Λευίτης,利未人
Λευιτικός,利未人的;利未的
Λιβερτῖνος,自由人
Λιβύη,利比亚;《和》吕彼亚
Λουκᾶς,路加
Λούκιος,路求;《思》路基约
Λυδία,吕底亚;《思》里狄雅
Λυκία,吕家;《思》里基雅
Λυκαονία,吕高尼;《思》吕考尼雅
Λυκαονιστί,用吕高尼话说
Λυσίας,吕西亚;《思》里息雅
Λυσανίας,吕撒聂;《思》吕撒尼雅
Λωΐς,《和2010》《和》罗以;《现》罗绮;《思》罗依
Λύδδα,吕大;《思》里达
Λύστρα,路司得;《思》吕斯特辣
Λώτ,罗得;《思》罗特
Μάαθ,玛押;《思》玛哈特
Μάλχος,马勒古;《思》玛耳曷
Μάρθα,马大;《思》玛尔大
Μίλητος,米利都;《思》米肋托
Μαγδαληνή,抹大拉的妇人(马利亚);《思》玛达肋纳的妇人
Μαγώγ,玛各;《思》玛哥格
Μαδιάμ,米甸;《思》米德杨
Μαθουσαλά,玛土撒拉;《思》默突舍拉
Μακεδονία,马其顿
Μακεδών,马其顿人
Μαλελεήλ,玛勒列;《思》玛拉肋耳
Μαναήν,马念;《思》玛纳恒
Μανασσῆ,玛拿西;《思》默纳协
Μαρία,马利亚;《思》玛利亚
Ματθάν,马但;《思》玛堂
Ματταθά,玛达他;《思》玛塔塔
Ματταθίας,玛他提亚;《思》玛塔提雅
Μελίτη,《和2010》马耳他;《现》马尔他;《和》米利大;《思》默里达
Μελεά,米利亚;《思》默肋阿
Μελχί,麦基;《思》默耳希
Μελχισέδεκ,麦基洗德;《思》默基瑟德
Μεσοποταμία,美索不达米亚;《和》米所波大米
Μεσσίας,基督;弥赛亚
Μιτυλήνη,米推利尼;《思》米提肋乃
Μιχαήλ,米迦勒;《思》弥额尔
Μνάσων,拿孙;《思》木纳松
Μυσία,每西亚;《思》米息雅
Μωϋσῆς,摩西;《思》梅瑟
Μόλοχ,摩洛;《思》摩肋客
Μύρα,每拉;《思》米辣
Μᾶρκος,马可;《思》马尔谷
Μῆδος,《和2010》《和》玛代人;《现》米底亚人;《思》玛待人
Νάρκισσος,拿其数;《思》纳尔基索
Νίγερ,《和2010》《和》尼结;《现》黑汉;《思》尼革尔
Ναΐν,拿因;《思》纳因
Ναασσών,拿顺;《思》纳赫雄
Ναγγαί,拿该;《思》纳革
Ναζαρηνός,拿撒勒人;《思》纳匝肋人
Ναζωραῖος,拿撒勒人;《思》纳匝肋人
Ναθάμ,拿单;《思》纳堂
Ναθαναήλ,拿但业;《思》纳塔乃耳
Ναούμ,拿鸿;《思》纳洪
Ναχώρ,拿鹤;《思》纳曷尔
Νεφθαλίμ,拿弗他利;《思》纳斐塔里
Νηρί,尼利;《思》乃黎
Νηρεύς,尼利亚;《思》乃勒乌
Νικάνωρ,尼迦挪;《思》尼加诺尔
Νικολαΐτης,《和》尼哥拉党;《现》尼哥拉派;《思》尼苛劳党
Νικόδημος,尼哥德慕;《和》尼哥底母;《思》尼苛德摩
Νικόλαος,尼哥拉;《思》尼苛劳
Νικόπολις,尼哥坡里;《和》尼哥波立;《思》尼苛颇里
Νινευίτης,尼尼微人
Νύμφα,宁法
Νῶε,挪亚;《思》诺厄
Οὐρίας,乌利亚;《思》乌黎雅
Οὐρβανός,《和2010》《和》耳巴奴;《现》耳巴努;《思》吴尔巴诺
Πάρθος,帕提亚人;《思》帕提雅人
Πάταρα,帕大喇;《思》帕塔辣
Πάτμος,拔摩;《思》帕特摩
Πάφος,帕弗;《思》帕佛
Πέργαμος,别迦摩;《思》培尔加摩
Πέργη,别加;《思》培尔革
Πέτρος,彼得;《思》伯多禄
Παμφυλία,旁非利亚;《思》旁非里雅
Παρμενᾶς,巴米拿;《思》帕尔默纳
Πατροβᾶς,八罗巴;《思》帕特洛巴
Παῦλος,保罗;《思》保禄
Περσίς,彼息;《思》培尔息
Πιλᾶτος,彼拉多;《思》比拉多
Πισίδιος,彼西底;《思》丕息狄雅
Πισιδία,彼西底;《思》丕息狄雅
Ποντικός,本都人;本都的
Ποτίολοι,部丢利;《思》颇提约里
Πούδης,布田;《思》普登
Πρόχορος,伯罗哥罗;《思》仆洛曷洛
Πτολεμαΐς,多利买;《思》仆托肋买
Πόντιος,《和2010》《和》本丢;《现》庞修;《思》般雀
Πόντος,本都
Πόπλιος,部百流;《思》颇里约
Πόρκιος,波求;《思》颇尔基约
Πύρρος,鲜红色的;红色的
Σάμος,撒摩
Σάπφιρα,撒非喇;《思》撒斐辣
Σάρδεις,撒狄;《思》撒尔德
Σάρεπτα,撒勒法;《思》匝尔法特
Σάρρα,《和2010》《和》撒拉;《现》莎拉;《思》撒辣
Σέργιος,士求;《思》色尔爵
Σήθ,塞特;《思》舍特
Σήμ,闪
Σίμων,西门;《思》西满
Σαβαώθ,全能者
Σαδδουκαῖος,"撒都该人,《思》撒杜塞人"
Σαδώκ,撒督;《思》匝多克
Σαλήμ,撒冷;《思》撒冷
Σαλαθιήλ,撒拉铁;《思》沙耳提耳
Σαλαμίς,撒拉米
Σαλείμ,撒冷;《思》撒林
Σαλμών,撒门;《思》撒耳孟
Σαλμώνη,撒摩尼;《思》撒耳摩讷
Σαλώμη,撒罗米;《思》撒罗默
Σαμάρεια,《和2010》《和》撒玛利亚;《现》撒马利亚;《思》撒玛黎雅
Σαμαρίτης,《和2010》《和》撒玛利亚人(男);《现》撒马利亚人(男);《思》撒玛黎雅人(男)
Σαμαρῖτις,《和2010》《和》撒玛利亚人(女);《现》撒马利亚人(女);《思》撒玛黎雅人(女)
Σαμοθρᾴκη,撒摩特喇;《思》撒摩辣刻
Σαμουήλ,撒母耳;《思》撒慕尔
Σαμψών,参孙;《思》三松
Σαούλ,扫罗;《思》扫禄
Σαρών,沙仑;《思》沙龙
Σατανᾶς,魔鬼;撒但
Σαῦλος,扫罗;《思》扫禄
Σεκοῦνδος,西公都;《思》色贡多
Σελεύκεια,西流基;《思》色娄基雅
Σεμεΐν,西美;《思》史米
Σερούχ,西鹿;《思》色鲁格
Σιδών,西顿;《思》漆冬
Σιδώνιος,西顿的;《思》漆冬的
Σιλουανός,西拉;《思》息耳瓦诺
Σιλωάμ,西罗亚;《思》史罗亚
Σιλᾶς,西拉;《思》息拉
Σινᾶ,西奈;《和》《思》西乃
Σιών,锡安;《思》熙雍
Σκευᾶς,士基瓦;《思》斯盖瓦
Σκύθης,《和2010》《和》西古提人;《现》野蛮人;《思》叔提雅人
Σμύρνα,士每拿;《思》斯米纳
Σολομών,所罗门;《思》撒罗满
Σουσάννα,《和2010》《和》苏撒拿;《现》苏撒娜;《思》苏撒纳
Σπανία,西班牙;《和》士班雅
Στάχυς,士大古;《思》斯塔辉
Στέφανος,司提反;《思》斯德望
Στεφανᾶς,司提法那;《和》司提反;《思》斯特法纳
Στοϊκός,斯多亚派;支持斯多亚哲学思想的人
Συμεών,西门;《思》西满
Συντύχη,循都基;《思》欣提赫
Συράκουσαι,叙拉古;《思》息辣谷撒
Συρία,叙利亚;《思》叙利亚
Συροφοινίκισσα,叙利亚腓尼基的妇人
Συχάρ,叙加;《思》息哈尔
Συχέμ,示剑;《思》舍根
Σωσίπατρος,所西巴德;《思》索息帕特
Σωσθένης,"所提尼,《思》索斯特乃"
Σόδομα,所多玛;《思》索多玛
Σύρος,叙利亚人;《思》叙利亚人
Σύρτις,赛耳底;《思》叙尔提
Σώπατρος,所巴特;《思》索帕特尔
Τέρτιος,德提;《和》德丢;《思》特尔爵
Τέρτυλλος,帖土罗;《思》特尔突罗
Τίμων,提门;《思》提孟
Τίτιος,提多;《思》弟铎
Τίτος,提多;《思》弟铎
Ταβιθά,大比大;《思》塔彼达
Ταρσεύς,大数人;《思》塔尔索人
Ταρσός,大数;《思》塔尔索
Τιβέριος,提庇留
Τιβεριάς,提比哩亚;《思》提庇黎雅
Τιμαῖος,底买;《思》提买
Τιμόθεος,提摩太;《思》弟茂德
Τραχωνῖτις,特拉可尼;《思》特辣曷尼
Τρυφῶσα,土富撒;《思》特黎佛撒
Τρόφιμος,特罗非摩;《思》特洛斐摩
Τρύφαινα,土非拿;《思》特黎费纳
Τρῳάς,特罗亚;《思》特洛阿
Τυχικός,推基古;《思》提希苛
Τύραννος,推喇奴;《思》提郎诺
Τύριος,《和2010》《和》推罗人;《现》泰尔人;《思》提洛人
Τύρος,《和2010》《和》推罗;《现》泰尔;《思》提洛
Φάλεκ,法勒;《思》培肋格
Φάρες,法勒斯;《思》培勒兹
Φίλητος,腓理徒;《思》非肋托
Φίλιπποι,腓立比;《思》斐理伯
Φίλιππος,腓力;《思》斐理伯
Φανουήλ,法内力;《思》法奴耳
Φαραώ,法老;《思》法郎
Φαρισαῖος,法利赛人;《思》法利塞人
Φιλήμων,腓利门;《思》费肋孟
Φιλαδέλφεια,非拉铁非;《思》非拉德非雅
Φιλιππήσιος,腓立比人;《思》斐理伯人
Φιλόλογος,非罗罗古;《思》非罗罗哥
Φλέγων,弗勒干;《思》弗肋贡
Φοίβη,《和2010》《和》非比;《现》菲比;《思》福依贝
Φοινίκη,腓尼基
Φορτουνᾶτος,福徒拿都;《思》福突纳托
Φοῖνιξ,《和2010》《和》非尼基;《现》菲尼基;《思》腓尼斯
Φρυγία,弗吕家;《思》夫黎基雅
Φύγελος,腓吉路;《思》非革罗
Φῆλιξ,腓力斯;《思》斐理斯
Φῆστος,非斯都;《思》斐斯托
Χίος,基阿;《思》希约
Χαλδαῖος,迦勒底人;《思》加色丁人
Χανάαν,迦南;《思》客纳罕
Χαναναῖος,迦南人或迦南地的;《思》客纳罕人或客纳罕地的
Χαρράν,哈兰
Χερούβ,有翅膀的活物;基路伯
Χλόη,革来;《思》黑罗厄
Χοραζίν,哥拉汛;《思》苛辣匝因
Χουζᾶς,苦撒;《思》雇撒
Χριστιανός,基督徒
Χριστός,基督;弥赛亚
αἰγιαλός,海滩;岸边
αἰδώς,庄重;朴素
αἰνέω,赞美;颂赞
αἰσθάνομαι,能够理解;具有理解能力;理解力
αἰσθητήριον,能够理解;具有理解能力;理解力
αἰσχροκερδής,贪不义之财;贪婪
αἰσχροκερδῶς,贪不义之财;贪婪
αἰσχρολογία,粗俗的言论;下流的言论;污秽的言语
αἰσχρός,不名誉的;可耻的
αἰσχρότης,行为可耻;不正派的行为;可耻的行为
αἰσχύνη,羞愧;羞耻
αἰσχύνω,惭愧;感到羞耻;觉得羞愧
αἰτέω,要求;需求;恳求
αἰτία,原因;理由;缘由;由于
αἰφνίδιος,忽然;立即;立刻
αἰχμάλωτος,俘虏;战俘;被掳的
αἰχμαλωσία,囚禁;被掳;俘虏
αἰχμαλωτίζω,俘虏;俘获;掳掠;掳获;在战争中俘虏某人
αἰχμαλωτεύω,俘虏;俘获;掳掠;掳获;在战争中俘虏某人
αἰών,时代;世代;现世
αἰώνιος,永恒的;永远的;永久的;永存的
αἱματεκχυσία,使流血;使血流出来;流血
αἱμορροέω,流血;患血漏;患血崩
αἱρέω,选择;挑选;宁愿;宁可
αἱρετίζω,选择;拣选
αἱρετικός,分裂;制造分裂的人;制造纷争的人;分门结党的人
αἴγειος,山羊的
αἴνεσις,赞美;颂赞
αἴνιγμα,令人困惑的事情;难以理解的事情;谜语
αἴρω,带走;移走;拿去
αἴσθησις,能够理解;具有理解能力;理解力
αἴτημα,请求;需求;所要求的东西
αἵρεσις,宗教党派;教派
αἶνος,赞美;颂赞
αἷμα,血
αὐγάζω,使被看见;使......变得清楚
αὐγή,破晓;天亮;黎明
αὐθάδης,高傲的;任性妄为的
αὐθαίρετος,甘心乐意的;自愿的
αὐθεντέω,控制;压制;管辖
αὐλέω,吹笛
αὐλή,庭院;羊圈
αὐλίζομαι,过夜;住宿
αὐλητής,吹手;吹笛的
αὐλός,箫;笛子
αὐξάνω,增加;增长;扩展;延伸
αὐστηρός,严厉的;严格的
αὐτάρκεια,知足;满足
αὐτάρκης,满足于自己所拥有的;满足于自己所处的环境;满足现状
αὐτοκατάκριτος,被自己的行为所谴责;自己的行为给自己定了罪
αὐτοῦ,这里;那里
αὐτόματος,没有任何原因的;凭着自己的
αὐτόπτης,目击证人;目睹事情经过的人
αὐτός,相同;一样
αὐτόχειρ,亲手
αὐχμηρός,黑暗和悲惨的
αὔξησις,生长;长大;成长
αὔριον,明天;第二天
βάθος,深度;深
βάλλω,落下;掉落
βάπτισμα,施洗;洗礼
βάπτω,蘸;浸
βάρβαρος,非希腊人
βάρος,劳苦;重担;担子
βάσανος,折磨;剧烈的疼痛;极大的痛苦
βάσις,脚
βάτος (I),"带刺的植物,蓟,荆棘"
βάτραχος,青蛙
βάϊον,棕树枝;棕榈枝
βέβαιος,保证;确保;确实;坚定不移
βέβηλος,不敬虔的;贪恋世俗的
βέλος,箭;标枪
βήρυλλος,水苍玉;绿宝石;绿柱石
βία,力量;暴力
βίαιος,猛烈的;强力的
βίβλος,书册;卷轴;文书
βίος,生活;度日;日常生活;生存
βίωσις,生活;度日;日常生活;生存
βαθμός,地位;等级;身分
βαθύνω,挖深
βαθύς,深
βαλλάντιον,钱包;钱袋
βαπτίζω,洗濯;洁净;洗浴;行洗净礼
βαπτισμός,洗濯;洁净;洗浴;行洗净礼
βαπτιστής,施洗者;施洗的
βαρέω,使背负重担;加重负担;累住;压住
βαρέως,理解缓慢;智力迟钝
βαρύς,沉重的;累赘的
βαρύτιμος,珍贵的;贵重的;昂贵的
βασίλισσα,女王
βασανίζω,折磨;受痛苦;受酷刑
βασανισμός,折磨;剧烈的疼痛;极大的痛苦
βασανιστής,监狱守卫;施刑的人;拷问者
βασιλεία,统治;作王;执掌王权
βασιλεύς,王;君王;国王
βασιλεύω,统治;作王;执掌王权;掌权
βασιλικός,王家的;国度的;至尊的
βασκαίνω,迷惑;施魔法
βαστάζω,拿着;承担
βατταλογέω,说很多话;说了很长时间
βδέλυγμα,可憎恶的;令人厌恶的
βδελυκτός,可恶的;可憎恶的;令人嫌恶的;厌恶的
βδελύσσομαι,憎恶;厌恶
βεβαίωσις,证实;证明;证明是真实和确定的;确认;验证
βεβαιόω,使相信;信仰坚定
βεβηλόω,玷污;亵渎;冒犯
βελτίων,好;很好;极好;做得好;清楚(知道)
βελόνης,箭;标枪
βιάζω,遭受猛烈攻击;遭受暴力袭击
βιαστής,强暴的人;强取的人
βιβλίον,书册;卷轴;文书
βιβλαρίδιον,小书卷
βιβρώσκω,吃东西;吃
βιωτικός,今生的;世上的;生活上的;今世的特征;关于人类生存的
βιόω,生活;度日;日常生活;生存
βλάπτω,伤害;损害
βλάσφημος,侮辱的;诽谤的;亵渎的
βλέμμα,看见的事;所看见的
βλέπω,看见;看到;意识到;注意到
βλαβερός,有害的
βλαστάνω,发芽;长叶子;长苗
βλασφημέω,亵渎;毁谤;侮辱
βλασφημία,亵渎;毁谤;侮辱
βλητέος,必须装在;需要放在
βοάω,大声喊叫;尖叫
βοή,呼喊
βοήθεια,支持;支撑物
βοηθέω,帮助;扶助
βοηθός,帮助者;资助人(指支持一个人或一个计划的人)
βολή,扔(一块石子)的距离;一个人可能投掷的距离
βολίζω,探测水深;探测水的深浅;投掷铅坠;垂下铅坠
βοτάνη,"植物,草"
βουλή,计划;意图;目的;动机
βουλευτής,犹太公会的成员;议会的议员
βουλεύω,计划;打算;有意;决定要;想要
βουνός,小山
βούλημα,欲望;心意;旨意;意图
βούλομαι,渴望;愿意;想;要;想要;希望
βοῦς,"公牛,母牛,牛"
βρέφος,婴孩;幼儿;胎儿
βρέχω,雨;下雨
βραβεύω,控制;支配;掌管;作主
βραβεῖον,奖赏;奖品
βραδυπλοέω,慢慢航行;缓缓开行
βραδύνω,延迟;迟;耽搁;耽延;拖延
βραδύς,慢慢地;缓慢;拖拉;迟钝
βραδύτης,延迟;迟;耽搁;耽延;拖延
βραχίων,能力;力量
βραχύς,很少;不多;有限数量
βροντή,雷
βροχή,雨;下雨
βρυγμός,磨牙齿;咬牙切齿
βρόχος,限制;控制;施加约束;牢笼
βρύχω,磨牙齿;咬牙切齿
βρύω,使倾泻;使涌出
βρώσιμος,可吃的
βρῶμα,食物
βρῶσις,吃东西;吃;吃喝
βυθίζω,下沉
βυθός,公海;深海;大海;海洋
βυρσεύς,硝皮匠;皮革匠;皮匠
βωμός,坛;祭坛
βόθυνος,井;坑;沟;洞
βόρβορος,污泥;泥沼
βόσκω,喂养;使吃食
βότρυς,"葡萄,葡萄串"
βύσσινος,细麻布的
βύσσος,细麻布
βῆμα,审判台
γάγγραινα,毒疮;溃疡;坏疽;癌症
γάζα,银库;国库;库房
γάλα,奶
γάμος,婚姻
γάρ,因;因为
γέ,"那么;的确;(或通常不翻译,但可能反映在语序中)"
γέεννα,地狱;欣嫩子谷
γέμω,充满;包含
γένεσις,出生;诞生
γέννημα,后代;后裔;子孙;孩子
γένος,后裔;后代
γέρων,成年人;老人
γίνομαι,形成;开始存在
γαζοφυλάκιον,库房;圣殿库房
γαλήνη,风平浪静(对比于水面上的风暴)
γαμέω,结婚;婚姻;嫁;娶
γαστήρ,肚子;子宫
γείτων,邻舍;兄弟
γεμίζω,充满;灌满;倒满
γενέσια,生日庆祝会;生日庆典
γενεά,同一时代的人;同一世代的人
γενεαλογέω,属于......的世系;是......的后代
γενεαλογία,家谱;族谱
γενετή,出生;生下来
γεννάω,做父亲;生育;成为......的父亲
γεννητός,出生的;生下来的人;人;世人
γερουσία,犹太公会;犹太人的高级议会
γεωργέω,种地;耕种;在园中种植;从事园艺
γεωργός,农夫;耕种的人;佃农
γεύομαι,吃东西;吃
γεώργιον,田地;耕地;园地
γηράσκω,年老;变老;渐渐变老
γινώσκω,知道;晓得;了解;熟悉
γλεῦκος,甜酒
γλυκύς,甜的;新鲜的;不苦的;好的
γλωσσόκομον,钱箱
γλῶσσα,舌头
γνήσιος,真诚;真正
γναφεύς,漂布的人;漂洗工
γνησίως,真诚;真正
γνωρίζω,知道;晓得;了解;熟悉
γνωστός,所知道的;信息
γνόφος,黑暗;《和》译作“密云”
γνώμη,意见;目标;意图
γνώστης,知道......的人;专家;熟悉
γνῶσις,知道;晓得;了解;认识;有......的知识;熟悉
γογγυσμός,埋怨;抱怨;怨言
γογγυστής,爱发牢骚的人;爱抱怨的人
γογγύζω,埋怨;抱怨;怨言
γονεύς,父母
γονυπετέω,跪下
γράμμα,字母
γράφω,书写
γραμματεύς,精通摩西律法的人;摩西律法专家;经学教师;律法教师
γραπτός,写下的
γραφή,段落;文件的一部分;圣经的一部分
γραώδης,像年老的女人般说话;像年老的女人般做事
γρηγορέω,保持清醒;保持醒着的;警醒
γυμνάζω,约束自己;严于律己
γυμνασία,锻炼身体;操练身体
γυμνιτεύω,穿着破旧的衣服;衣不蔽体;衣衫褴褛
γυμνός,赤身露体;衣不蔽体
γυμνότης,赤身露体;衣不蔽体
γυνή,女人
γυναικάριον,愚蠢的女人;轻浮的女人
γυναικεῖος,女人;女性;女人的
γωνία,角;角落
γόης,骗子;假冒为善的人;伪君子
γόμος,重担;担子;货物(如船上的货物)
γόνυ,膝盖
γῆ,大地;世界
γῆρας,年老;老年
δάκνω,伤害
δάκρυον,眼泪
δάκτυλος,手指;指头
δάμαλις,"小母牛,母牛犊"
δάνειον,贷款;债务;债
δέ,和(中文通常不必译出来)
δέησις,祈求;请求;祷告
δέκα,十
δένδρον,树;灌木
δέομαι,恳求;乞求
δέος,胆怯;胆小;怯懦;害怕
δέρμα,皮;兽皮;皮革
δέρω,责打;鞭打;拷打
δέσμη,捆
δέσμιος,囚犯;囚徒;被囚的人;坐牢的人
δέχομαι,接受;领受;收到;得到
δέω,捆绑;绑在一起;捆起来;捆扎;包裹
δή,"那么;的确;(或通常不翻译,但可能反映在语序中)"
δήπου,当然;的确;那么
δίδραχμον,圣殿税;丁税
δίδωμι,给;给予
δίκαιος,公义的;公正的
δίκη,惩罚;使受苦;受刑罚
δίκτυον,网;渔网
δίλογος,一口两舌的;表里不一的;假冒为善的
δίς,两次;两遍;一再
δίστομος,双刃的;两刃的
δίψος,口渴;渴
δίψυχος,心怀二意;怀疑;抱怀疑态度的人
δαίμων,恶魔;邪灵
δαιμονίζομαι,被鬼附
δαιμονιώδης,属恶魔的;邪恶的
δαιμόνιον,恶魔;邪灵
δακρύω,哭;哭泣;流泪
δακτύλιος,戒指
δαμάζω,控制;制伏;制止
δαπάνη,成本;费用;花费
δαπανάω,花费;付钱;支付费用
δειγματίζω,公开羞辱;当众羞辱;使蒙羞
δειλία,怯懦;懦弱;胆怯;胆小
δειλιάω,胆怯;缺乏勇气;害怕
δειλός,胆怯;胆小;怯懦;害怕
δεινῶς,激烈地;非常;极度
δειπνέω,吃饭;坐席
δεισιδαιμονία,宗教
δεκαπέντε,十五
δεκατέσσαρες,十四
δεκατόω,收取十分之一;收取什一奉献
