# LLM pairwise verification (claude-haiku-4-5-20251001) of candidate_pairs.tsv. verdict: yes/no/unsure. See verify_pairs_llm.py.
strong_a	strong_b	verdict
H0065	H0195	no
H0065	H0196	no
H0065	H0536	no
H0065	H0537	no
H0065	H3105	no
H0065	H3925	no
H0065	H3928	no
H0065	H5126	no
H0067	H0180	no
H0067	H0195	no
H0067	H0196	no
H0067	H0536	no
H0067	H0537	no
H0067	H3105	no
H0067	H3925	no
H0067	H3928	no
H0067	H5126	no
H0068	H1143	no
H0075	H0330	no
H0075	H0529	no
H0075	H8034	no
H0075	H8035	no
H0075	H8036	no
H0080	H0081	unsure
H0080	H3709	no
H0080	H3710	no
H0081	H3709	no
H0081	H3710	no
H0082	H0083	no
H0082	H0084	no
H0082	H1305	no
H0082	H3527	no
H0082	H3529	no
H0082	H3709	no
H0082	H3710	no
H0083	H0084	yes
H0083	H1305	no
H0083	H3527	no
H0083	H3529	no
H0083	H3709	no
H0083	H3710	no
H0084	H1305	no
H0084	H3527	no
H0084	H3529	no
H0084	H3709	no
H0084	H3710	no
H0096	H0097	no
H0103	H0107	no
H0113	H0134	no
H2053	H3925	no
H2053	H3928	no
H3925	H8388	no
H3925	H8389	no
H3928	H8388	no
H3928	H8389	no
H2053	H8388	no
H2053	H8389	no
H6466	H6467	yes
H5921	H5923	no
H3925	H7389	no
H3928	H7389	no
H4198	H4199	no
H5126	H8388	no
H5126	H8389	no
H5920	H5921	no
H5920	H5923	no
H2490	H2491	no
H3709	H3925	no
H3709	H3928	no
H3710	H3925	no
H3710	H3928	no
H3925	H6971	no
H3928	H6971	no
H4726	H8388	no
H4726	H8389	no
H1897	H1898	no
H1897	H1899	yes
H1898	H1899	no
H2053	H3709	no
H2053	H3710	no
H2053	H8034	no
H2053	H8035	no
H2053	H8036	no
H2114	H2219	no
H2470	H2490	no
H2471	H2490	no
H2528	H2534	yes
H2528	H2535	yes
H2534	H2535	yes
H3045	H3046	yes
H3045	H3047	no
H3046	H3047	no
H3605	H3606	yes
H4720	H6971	no
H5126	H5564	no
H7301	H7302	yes
H7582	H7583	no
H0183	H0185	yes
H0944	H2981	no
H1275	H7301	no
H1275	H7302	no
H2029	H2030	yes
H2053	H4726	no
H2114	H2237	no
H2219	H2237	no
H2470	H2471	no
H2490	H3925	no
H2490	H3928	no
H2527	H2552	yes
H2535	H3179	no
H3381	H3382	no
H3427	H7725	no
H3651	H3654	no
H3925	H4726	no
H3925	H5564	no
H3925	H8034	no
H3925	H8035	no
H3925	H8036	no
H3928	H4726	no
H3928	H5564	no
H3928	H8034	no
H3928	H8035	no
H3928	H8036	no
H5133	H5327	no
H5133	H5328	no
H5327	H5328	no
H6696	H6862	unsure
H6696	H6887	yes
H6862	H6887	unsure
H7704	H7706	no
H0183	H0184	no
H0184	H0185	no
H0386	H0387	no
H0386	H0388	no
H0387	H0388	no
H0605	H0606	no
H0651	H0652	yes
H0852	H0855	no
H1275	H3925	no
H1275	H3928	no
H1625	H1641	no
H1639	H3331	no
H1817	H3925	no
H1817	H3928	no
H1984	H1985	no
H1991	H1993	no
H2029	H3925	no
H2029	H3928	no
H2030	H3925	no
H2030	H3928	no
H2053	H2098	no
H2053	H4198	no
H2053	H4199	no
H2053	H7389	no
H2088	H2090	yes
H2146	H7389	no
H2151	H5140	no
H2342	H2343	no
H2342	H2344	no
H2342	H2490	no
H2342	H2491	no
H2343	H2344	no
H2449	H2450	yes
H2470	H3925	no
H2470	H3928	no
H2471	H3925	no
H2471	H3928	no
H2528	H3179	no
H2534	H3179	no
H2535	H2552	yes
H2556	H2557	yes
H2556	H2558	no
H2557	H2558	no
H2706	H2714	no
H2916	H5671	no
H2937	H8582	yes
H3332	H6694	yes
H3381	H7286	no
H3381	H7300	no
H3384	H4175	no
H3651	H3653	no
H3653	H3654	no
H3709	H6971	no
H3710	H6971	no
H3925	H4480	no
H3925	H7703	no
H3928	H4480	no
H3928	H7703	no
H4135	H4448	no
H4191	H4194	yes
H4608	H4609	no
H4726	H5126	no
H4726	H8034	no
H4726	H8035	no
H4726	H8036	no
H5046	H5048	no
H5126	H5749	no
H5126	H7582	no
H5126	H7583	no
H5276	H5277	no
H5276	H5278	yes
H5277	H5278	no
H5341	H5342	no
H5341	H6887	yes
H5342	H6887	no
H5440	H5442	yes
H5564	H8388	no
H5564	H8389	no
H5645	H5646	no
H5810	H5811	no
H6286	H6287	no
H6381	H6382	yes
H6509	H6578	no
H6633	H6635	yes
H6749	H6750	no
H6749	H6751	no
H6750	H6751	no
H6869	H6887	no
H7311	H7426	yes
H7389	H8388	no
H7389	H8389	no
H7681	H7685	no
H7681	H7686	no
H7685	H7686	no
H7685	H7735	yes
H7699	H7701	no
H7704	H7705	no
H7725	H8388	no
H7725	H8389	no
H7742	H7744	no
H7742	H7817	no
H7744	H7817	no
H7753	H7754	no
H7817	H7845	no
H7916	H8388	no
H7916	H8389	no
H8071	H8072	no
H8074	H8388	no
H8074	H8389	no
H8127	H8128	yes
H8127	H8129	no
H8128	H8129	no
H8154	H8341	no
H0076	H1158	no
H0126	H0127	no
H0126	H0128	no
H0127	H0128	no
H0166	H1984	yes
H0180	H3105	yes
H0185	H3925	no
H0185	H3928	no
H0216	H3975	no
H0232	H0247	yes
H0235	H0236	yes
H0235	H0237	no
H0236	H0237	no
H0258	H2302	no
H0258	H2306	no
H0258	H3161	no
H0259	H1808	no
H0259	H5126	no
H0305	H2470	no
H0332	H0334	no
H0338	H2053	no
H0338	H3709	no
H0338	H3710	no
H0339	H2053	no
H0339	H3709	no
H0339	H3710	no
H0374	H2053	no
H0374	H6311	no
H0376	H5126	no
H0376	H8034	no
H0376	H8035	no
H0376	H8036	no
H0376	H8388	no
H0376	H8389	no
H0377	H6704	no
H0377	H6705	no
H0404	H3721	no
H0410	H0413	no
H0413	H5920	no
H0413	H5923	no
H0504	H2053	no
H0505	H2053	no
H0517	H5126	no
H0518	H5126	no
H0577	H4994	yes
H0622	H3665	no
H0652	H7957	no
H0707	H0708	yes
H0707	H3296	no
H0708	H3296	yes
H0724	H3925	no
H0724	H3928	no
H0779	H5126	no
H0801	H6704	no
H0816	H5126	no
H0855	H3925	no
H0855	H3928	no
H0871	H1158	no
H0935	H3925	no
H0935	H3928	no
H0944	H0945	no
H0945	H2981	no
H0954	H1322	yes
H0954	H3001	no
H0954	H3002	no
H0954	H5126	no
H0959	H5240	no
H1058	H1059	no
H1116	H1117	yes
H1116	H7054	no
H1117	H7054	no
H1124	H1129	no
H1129	H3925	no
H1129	H3928	no
H1156	H1158	yes
H1165	H5892	no
H1216	H1217	no
H1219	H1220	no
H1219	H1226	no
H1220	H1226	no
H1248	H1249	no
H1248	H1250	no
H1248	H1262	no
H1248	H1305	no
H1249	H1250	no
H1249	H1262	no
H1249	H1305	yes
H1250	H1262	no
H1250	H1305	no
H1262	H1305	no
H1262	H3527	no
H1262	H3709	no
H1262	H3710	no
H1272	H1281	yes
H1285	H1287	no
H1305	H3527	no
H1305	H3529	no
H1319	H1320	no
H1346	H3925	no
H1346	H3928	no
H1373	H1462	no
H1384	H1386	no
H1460	H1471	no
H1460	H2800	no
H1471	H2800	no
H1481	H4032	no
H1497	H8388	no
H1497	H8389	no
H1543	H1556	no
H1589	H1590	yes
H1624	H1625	no
H1624	H1626	no
H1624	H1641	no
H1624	H1642	no
H1625	H1626	no
H1625	H1642	no
H1626	H1641	no
H1626	H1642	no
H1638	H1643	no
H1639	H6763	no
H1641	H1642	no
H1697	H1817	no
H1697	H3925	no
H1697	H3928	no
H1700	H3925	no
H1700	H3928	no
H1709	H1710	no
H1709	H1728	no
H1710	H1728	yes
H1730	H1731	no
H1731	H2053	no
H1731	H3924	no
H1748	H1826	yes
H1758	H1876	no
H1758	H1877	no
H1760	H5080	unsure
H1777	H3036	no
H1777	H4058	no
H1777	H4060	no
H1777	H4090	no
H1777	H5085	no
H1792	H3925	no
H1792	H3928	no
H1808	H2302	no
H1808	H3925	no
H1808	H3928	no
H1808	H8388	no
H1808	H8389	no
H1817	H5126	no
H1818	H1824	no
H1818	H1826	no
H1824	H1826	yes
H1844	H3045	yes
H1844	H4138	no
H1844	H4726	no
H1847	H3045	yes
H1876	H1877	yes
H1878	H1879	no
H1911	H3034	no
H1961	H3925	no
H1961	H3928	no
H1966	H3925	no
H1966	H3928	no
H1980	H3922	no
H1984	H8417	no
H1991	H1995	no
H1993	H1995	no
H1995	H5126	no
H1999	H2053	no
H1999	H4448	no
H2003	H4549	no
H2029	H3384	no
H2030	H3384	no
H2044	H2053	no
H2044	H3925	no
H2044	H3928	no
H2044	H5564	no
H2044	H6923	no
H2044	H6924	no
H2044	H8388	no
H2044	H8389	no
H2048	H8388	no
H2048	H8389	no
H2053	H2088	no
H2053	H2090	no
H2053	H2471	no
H2053	H3205	no
H2053	H3559	no
H2053	H3807	no
H2053	H3813	no
H2053	H3924	yes
H2053	H4058	no
H2053	H4128	no
H2053	H4135	no
H2053	H4191	no
H2053	H4194	no
H2053	H4448	no
H2053	H4449	no
H2053	H5437	no
H2053	H5564	no
H2053	H5715	no
H2053	H5771	no
H2053	H6311	no
H2053	H6466	no
H2053	H6467	no
H2053	H6923	no
H2053	H6924	no
H2053	H7961	no
H2088	H2098	yes
H2090	H2098	yes
H2113	H3925	no
H2113	H3928	no
H2114	H2213	no
H2114	H2229	no
H2114	H3925	no
H2114	H3928	no
H2114	H4216	no
H2131	H2212	no
H2146	H5126	no
H2177	H8388	no
H2177	H8389	no
H2213	H2219	no
H2219	H3925	no
H2219	H3928	no
H2247	H3160	no
H2247	H4227	no
H2289	H2290	yes
H2300	H2302	no
H2302	H2306	no
H2302	H3161	no
H2306	H3161	no
H2336	H2397	no
H2342	H3925	no
H2342	H3928	no
H2342	H6113	no
H2342	H6114	no
H2342	H8388	no
H2342	H8389	no
H2342	H8462	no
H2343	H2490	no
H2343	H2491	no
H2343	H6113	no
H2343	H6114	no
H2344	H2490	no
H2344	H2491	no
H2344	H6113	no
H2344	H6114	no
H2345	H2527	no
H2345	H2552	no
H2416	H2421	yes
H2416	H2424	yes
H2421	H2424	yes
H2427	H3925	no
H2427	H3928	no
H2427	H8431	no
H2471	H2556	no
H2471	H2557	no
H2471	H2558	no
H2490	H5126	no
H2490	H6113	no
H2490	H6114	no
H2490	H8388	no
H2490	H8389	no
H2490	H8462	no
H2491	H3925	no
H2491	H3928	no
H2491	H6113	no
H2491	H6114	no
H2491	H8388	no
H2491	H8389	no
H2491	H8462	no
H2509	H2513	no
H2527	H2535	yes
H2527	H3925	no
H2527	H3928	no
H2527	H8388	no
H2527	H8389	no
H2528	H2552	no
H2534	H2552	no
H2552	H3179	no
H2556	H3925	no
H2556	H3928	no
H2557	H3925	no
H2557	H3928	no
H2558	H3925	no
H2558	H3928	no
H2580	H2581	no
H2589	H5126	no
H2645	H3925	no
H2645	H3928	no
H2706	H2710	yes
H2707	H2710	no
H2710	H2712	no
H2710	H2714	no
H2734	H2751	no
H2734	H2787	unsure
H2751	H2787	no
H2896	H3925	no
H2896	H3928	no
H2896	H8388	no
H2896	H8389	no
H2905	H2906	no
H2905	H2918	no
H2906	H2918	no
H2911	H2912	yes
H2916	H5645	no
H2916	H5646	no
H2931	H2933	yes
H3001	H3002	yes
H3027	H3035	no
H3029	H3034	yes
H3036	H5085	no
H3045	H3925	yes
H3045	H3928	yes
H3045	H8034	no
H3045	H8035	no
H3045	H8036	no
H3046	H3925	yes
H3046	H3928	yes
H3047	H3925	no
H3047	H3928	no
H3126	H3243	no
H3205	H3925	no
H3205	H3928	no
H3213	H3214	yes
H3238	H4497	no
H3238	H5125	no
H3254	H5595	no
H3256	H5564	no
H3276	H3277	no
H3286	H3287	yes
H3302	H3303	yes
H3302	H3304	yes
H3302	H3925	no
H3302	H3928	no
H3303	H3304	yes
H3303	H3925	no
H3303	H3928	no
H3304	H3925	no
H3304	H3928	no
H3306	H6368	no
H3318	H6675	no
H3320	H5324	yes
H3331	H6763	no
H3331	H6813	no
H3332	H4165	yes
H3332	H4690	no
H3332	H5126	no
H3332	H7209	no
H3332	H7210	no
H3335	H3336	unsure
H3335	H3337	no
H3335	H6887	no
H3336	H3337	no
H3336	H6887	no
H3337	H6887	no
H3341	H5327	no
H3372	H7389	no
H3381	H4174	yes
H3382	H7286	no
H3382	H7300	no
H3384	H3925	no
H3384	H3928	no
H3384	H7297	no
H3384	H8451	no
H3415	H7489	no
H3427	H8388	no
H3427	H8389	no
H3445	H7817	no
H3445	H7845	no
H3467	H3468	yes
H3467	H7769	no
H3467	H8668	yes
H3468	H7769	no
H3468	H8668	yes
H3474	H3477	no
H3477	H7789	no
H3510	H3511	yes
H3527	H3529	no
H3527	H3709	no
H3527	H3710	no
H3532	H3533	no
H3532	H3534	no
H3533	H3534	no
H3551	H3554	no
H3551	H3587	no
H3551	H7301	no
H3551	H7302	no
H3551	H7377	no
H3554	H3587	yes
H3554	H7301	no
H3554	H7302	no
H3554	H7377	no
H3559	H3561	no
H3559	H3651	no
H3559	H3654	no
H3561	H3651	no
H3561	H3654	no
H3576	H3577	yes
H3587	H7301	no
H3587	H7302	no
H3587	H7377	no
H3598	H7194	no
H3598	H7195	no
H3605	H8034	no
H3606	H8034	no
H3648	H3649	no
H3648	H4843	no
H3648	H8563	no
H3648	H8564	no
H3649	H4843	no
H3649	H8563	no
H3649	H8564	no
H3709	H4379	no
H3709	H4380	no
H3709	H5126	no
H3709	H7389	no
H3709	H8388	no
H3709	H8389	no
H3710	H4379	no
H3710	H4380	no
H3710	H5126	no
H3710	H7389	no
H3710	H8388	no
H3710	H8389	no
H3711	H3721	unsure
H3789	H3791	yes
H3799	H3800	no
H3807	H3925	no
H3807	H3928	no
H3807	H5238	no
H3835	H3836	yes
H3835	H3837	no
H3836	H3837	no
H3857	H3858	no
H3895	H3896	yes
H3895	H7437	no
H3896	H7437	no
H3925	H3947	no
H3925	H3948	no
H3925	H3955	no
H3925	H4039	no
H3925	H4040	no
H3925	H4057	no
H3925	H4720	no
H3925	H4805	no
H3925	H4829	no
H3925	H5218	no
H3925	H5223	no
H3925	H5307	no
H3925	H5464	no
H3925	H5536	no
H3925	H5552	no
H3925	H5703	no
H3925	H5706	no
H3925	H5749	no
H3925	H5764	no
H3925	H5844	no
H3925	H5892	no
H3925	H5932	no
H3925	H5953	no
H3925	H6286	no
H3925	H6287	no
H3925	H6288	no
H3925	H6495	no
H3925	H7098	no
H3925	H7301	no
H3925	H7302	no
H3925	H7311	no
H3925	H7402	no
H3925	H7426	no
H3925	H7488	no
H3925	H7582	no
H3925	H7583	no
H3925	H7699	no
H3925	H7701	no
H3925	H7702	no
H3925	H7998	no
H3925	H8071	no
H3925	H8072	no
H3925	H8136	no
H3925	H8268	no
H3925	H8431	no
H3925	H8462	no
H3925	H8511	no
H3925	H8518	no
H3928	H3947	no
H3928	H3948	unsure
H3928	H3955	no
H3928	H4039	no
H3928	H4040	no
H3928	H4057	no
H3928	H4720	no
H3928	H4805	no
H3928	H4829	no
H3928	H5218	no
H3928	H5223	no
H3928	H5307	no
H3928	H5464	no
H3928	H5536	no
H3928	H5552	no
H3928	H5703	no
H3928	H5706	no
H3928	H5749	no
H3928	H5764	no
H3928	H5844	no
H3928	H5892	no
H3928	H5932	no
H3928	H5953	no
H3928	H6286	no
H3928	H6287	no
H3928	H6288	no
H3928	H6495	no
H3928	H7098	no
H3928	H7301	no
H3928	H7302	no
H3928	H7311	no
H3928	H7402	no
H3928	H7426	no
H3928	H7488	no
H3928	H7582	no
H3928	H7583	no
H3928	H7699	no
H3928	H7701	no
H3928	H7702	no
H3928	H7998	no
H3928	H8071	no
H3928	H8072	no
H3928	H8136	no
H3928	H8268	no
H3928	H8431	no
H3928	H8462	no
H3928	H8511	no
H3928	H8518	no
H3932	H5926	no
H3947	H3948	no
H3947	H6971	no
H3948	H6971	no
H3955	H7703	no
H4038	H5126	no
H4039	H4040	yes
H4058	H4060	yes
H4058	H4090	no
H4058	H4128	no
H4060	H4090	no
H4131	H5186	unsure
H4134	H4355	no
H4135	H4449	no
H4138	H4726	no
H4165	H5126	no
H4165	H6694	no
H4165	H7209	no
H4165	H7210	no
H4174	H7286	no
H4174	H7300	no
H4175	H7297	no
H4175	H8451	no
H4191	H4193	no
H4191	H4962	no
H4193	H4194	yes
H4194	H4962	no
H4198	H8388	no
H4198	H8389	no
H4199	H8388	no
H4199	H8389	no
H4216	H5140	no
H4296	H5186	no
H4305	H4306	yes
H4379	H4380	no
H4448	H4449	yes
H4496	H5117	no
H4497	H5125	no
H4503	H5117	no
H4549	H8557	yes
H4585	H4617	no
H4585	H4618	no
H4617	H4618	no
H4679	H4685	yes
H4679	H6718	no
H4679	H6719	no
H4690	H6694	no
H4720	H5126	no
H4720	H7389	no
H4726	H5564	no
H4726	H5975	no
H4763	H8388	no
H4763	H8389	no
H4788	H7300	yes
H4805	H6612	no
H4816	H7401	no
H4843	H8563	no
H4843	H8564	no
H4900	H4901	no
H4900	H4902	no
H4900	H5126	no
H4900	H7904	no
H4901	H4902	no
H4901	H7904	no
H4902	H7904	no
H4924	H5126	no
H4943	H8264	no
H4974	H8552	no
H5006	H5126	no
H5046	H5047	no
H5047	H5048	no
H5087	H5088	yes
H5089	H5091	no
H5117	H5132	no
H5126	H5133	no
H5126	H5327	no
H5126	H5328	no
H5126	H5437	no
H5126	H5692	no
H5126	H5728	no
H5126	H5794	no
H5126	H5810	no
H5126	H5869	no
H5126	H6437	no
H5126	H6694	no
H5126	H6731	no
H5126	H6971	no
H5126	H7200	no
H5126	H7209	no
H5126	H7210	no
H5126	H7760	no
H5126	H7863	no
H5126	H7873	no
H5126	H8054	no
H5126	H8074	no
H5126	H8127	no
H5126	H8144	no
H5126	H8566	no
H5126	H8567	no
H5127	H5251	no
H5127	H5264	no
H5130	H5131	no
H5130	H7311	no
H5131	H7311	yes
H5132	H5133	no
H5132	H5322	no
H5132	H5327	no
H5132	H5328	no
H5132	H5340	no
H5133	H5322	no
H5133	H5340	no
H5181	H5185	yes
H5204	H7301	no
H5204	H7302	no
H5218	H5223	yes
H5251	H5264	no
H5273	H5276	yes
H5273	H5277	no
H5273	H5278	yes
H5310	H5311	no
H5310	H6327	yes
H5311	H6327	no
H5322	H5327	no
H5322	H5328	yes
H5322	H5340	no
H5327	H5340	no
H5328	H5340	no
H5341	H6696	yes
H5341	H6862	unsure
H5341	H6869	unsure
H5342	H6696	no
H5342	H6862	no
H5342	H6869	no
H5348	H5349	no
H5381	H7873	yes
H5394	H7953	no
H5440	H5441	yes
H5440	H7639	yes
H5440	H7730	yes
H5441	H5442	yes
H5442	H7639	unsure
H5442	H7730	yes
H5472	H5473	no
H5493	H5494	no
H5493	H5495	no
H5493	H5627	yes
H5493	H5637	yes
H5494	H5495	no
H5494	H5627	unsure
H5494	H5637	unsure
H5495	H5627	yes
H5495	H5637	yes
H5534	H7938	no
H5536	H5552	no
H5538	H5541	no
H5544	H5549	no
H5549	H5552	no
H5564	H5606	no
H5564	H6731	no
H5564	H6962	no
H5564	H7753	no
H5564	H7754	no
H5564	H7863	no
H5564	H7873	no
H5564	H8175	no
H5564	H8178	no
H5627	H5637	yes
H5645	H5671	no
H5646	H5671	no
H5703	H5706	no
H5703	H5749	no
H5706	H5749	no
H5749	H8388	no
H5749	H8389	no
H5764	H5768	yes
H5764	H5953	no
H5768	H5953	no
H5774	H5888	no
H5774	H5889	no
H5790	H5791	no
H5799	H5810	no
H5843	H5844	no
H5860	H5861	no
H5888	H5889	yes
H5921	H8388	no
H5921	H8389	no
H5923	H8388	no
H5923	H8389	no
H5953	H5954	no
H5971	H6004	no
H6040	H6041	yes
H6099	H8388	no
H6099	H8389	no
H6113	H6114	no
H6155	H6160	no
H6155	H6161	no
H6160	H6161	no
H6168	H6169	no
H6186	H6187	no
H6237	H8388	no
H6237	H8389	no
H6286	H6288	no
H6286	H6289	no
H6287	H6288	no
H6287	H6289	no
H6323	H6435	no
H6381	H6395	no
H6466	H8388	no
H6466	H8389	no
H6467	H8388	no
H6467	H8389	no
H6481	H6482	yes
H6544	H6545	no
H6595	H6596	no
H6595	H6626	no
H6601	H6612	no
H6612	H6613	no
H6633	H6634	no
H6633	H6643	no
H6633	H6646	no
H6634	H6635	no
H6634	H6646	no
H6635	H6643	no
H6635	H6646	no
H6687	H6688	no
H6694	H7209	no
H6694	H7210	no
H6696	H6869	no
H6704	H6705	no
H6718	H6719	no
H6738	H6754	no
H6738	H6755	no
H6740	H6742	no
H6740	H6749	no
H6740	H6750	no
H6740	H6751	no
H6742	H6749	no
H6742	H6750	no
H6742	H6751	no
H6749	H6767	no
H6750	H6767	no
H6751	H6767	no
H6754	H6755	yes
H6779	H6780	no
H6792	H6793	no
H6841	H6842	yes
H6845	H8388	no
H6845	H8389	no
H6862	H6869	no
H6908	H6910	yes
H6923	H6924	no
H6937	H6938	no
H6957	H6960	no
H7043	H7044	no
H7054	H8388	no
H7054	H8389	no
H7064	H7077	yes
H7112	H7113	yes
H7114	H7116	yes
H7160	H7161	no
H7160	H7162	no
H7161	H7162	yes
H7183	H8388	no
H7183	H8389	no
H7194	H7195	yes
H7209	H7210	no
H7219	H7389	no
H7227	H7231	unsure
H7227	H7232	unsure
H7231	H7232	yes
H7286	H7300	no
H7301	H7310	no
H7301	H7377	no
H7302	H7310	no
H7302	H7377	yes
H7321	H7489	no
H7323	H7533	no
H7326	H7567	no
H7381	H7382	yes
H7451	H7489	yes
H7536	H7556	yes
H7567	H8658	no
H7639	H7730	no
H7681	H7735	no
H7686	H7735	no
H7699	H7700	no
H7699	H7703	no
H7699	H7704	no
H7699	H7706	no
H7700	H7701	no
H7701	H7703	yes
H7702	H7703	no
H7705	H7706	no
H7723	H8267	yes
H7742	H7845	no
H7744	H7845	no
H7753	H7915	no
H7754	H7915	no
H7760	H8074	no
H7769	H8668	no
H7811	H7812	no
H7812	H7817	yes
H7863	H7873	no
H7893	H8336	yes
H7931	H7934	no
H8034	H8358	no
H8034	H8359	no
H8034	H8388	no
H8034	H8389	no
H8035	H8358	no
H8035	H8359	no
H8035	H8388	no
H8035	H8389	no
H8036	H8358	no
H8036	H8359	no
H8036	H8388	no
H8036	H8389	no
H8047	H8054	no
H8047	H8074	unsure
H8047	H8076	yes
H8054	H8074	no
H8054	H8076	no
H8054	H8388	no
H8054	H8389	no
H8074	H8076	yes
H8108	H8109	no
H8108	H8388	no
H8108	H8389	no
H8109	H8388	no
H8109	H8389	no
H8127	H8144	no
H8127	H8150	no
H8159	H8173	no
H8175	H8178	yes
H8192	H8193	no
H8259	H8260	no
H8358	H8359	no
