code	en	es	fr	zh-hans	id
002003	Fire	Fuego	Feu	火	Api
002004	Water	Agua	Eau	水	Air
002005	Earth, Mud, Sand, Rock	Tierra, Barro, Arena, Roca	Terre, boue, sable, roche	土，泥，沙，石	Tanah, Lumpur, Pasir, Batu
002006	Precious and Semiprecious Stones and Substances	Piedras y sustancias preciosas y semipreciosas	Pierres et substances précieuses et semi-précieuses	宝石、半宝石及珍贵的天然物质	Batu dan Bahan Berharga dan Semi-Berharga
002007	Metals	Metales	Métaux	金属	Logam
003001	Plants [General Meaning]	Plantas [Significado general]	Plantes [Sens général]	植物（一般意义）	Tumbuhan [Makna Umum]
003002	Trees	Árboles	Arbres	树木	Pohon
003003	Plants That Are Not Trees	Plantas que no son árboles	Plantes qui ne sont pas des arbres	树木以外的植物	Tumbuhan yang Bukan Pohon
003004	Fruit Parts of Plants	Partes frutales de las plantas	Fruits Parties de plantes	植物的果实部分	Bagian Buah dari Tumbuhan
003005	Non-Fruit Parts of Plants	Partes no frutales de las plantas	Parties de plantes autres que les fruits	植物的非果实部分	Bagian Non-Buah dari Tumbuhan
003006	Wood and Wood Products	Madera y derivados de la madera	Bois et produits dérivés du bois	木材及木制品	Kayu dan Produk Kayu
004001	Animals	Animales	Animaux	动物	Binatang
004002	Birds	Aves	Oiseaux	鸟类	Burung
004003	Insects	Insectos	Insectes	昆虫	Serangga
004004	Reptiles and Other 'Creeping Things'	Reptiles y otros seres que se arrastran	Reptiles et autres « bestioles rampantes »	爬虫类及其他“爬行动物”	Reptil dan 'Binatang Melata' Lainnya
004005	Fishes and Other Sea Creatures	Peces y otras criaturas marinas	Poissons et autres créatures marines	鱼类及其他海洋生物	Ikan dan Makhluk Laut Lainnya
005001	Food	Alimentos	Aliments	食物	Makanan
005002	Condiments	Condimentos	Condiments	调味品	Bumbu
006001	Artifacts [General Meaning]	Artefactos [Significado general]	Artefacts [Sens général]	人工制品（一般意义）	Artefak [Makna Umum]
006002	Instruments Used in Agriculture and Husbandry	Instrumentos usados en agricultura y labranza	Instruments utilisés en agriculture et en élevage	耕种及畜牧用的工具	Alat yang Digunakan dalam Pertanian dan Peternakan
006003	Instruments Used in Fishing	Instrumentos utilizados en la pesca	Instruments utilisés pour la pêche	捕鱼用的工具	Alat yang Digunakan dalam Penangkapan Ikan
006004	Instruments Used in Binding and Fastening	Instrumentos utilizados para atar y sujetar	Instruments utilisés pour attacher et fixer	捆扎及固定用的工具	Alat yang Digunakan untuk Mengikat dan Menautkan
006005	Traps, Snares	Trampas, lazos	Pièges, collets	陷阱，罗网	Perangkap, Jerat
006006	Instruments Used in Punishment and Execution	Instrumentos utilizados para castigo y ejecución	Instruments utilisés pour punir et exécuter	刑罚及处死用的工具	Alat yang Digunakan dalam Hukuman dan Eksekusi
006007	Weapons and Armor	Armas y armaduras	Armes et armures	武器及盔甲	Senjata dan Baju Zirah
006008	Boats and Parts of Boats	Barcos y partes de barcos	Bateaux et parties de bateaux	船只及船只各部分	Perahu dan Bagian-Bagian Perahu
006009	Vehicles	Vehículos	Véhicules	车辆	Kendaraan
006010	Instruments Used in Marking and Writing	Instrumentos utilizados para marcar y escribir	Instruments utilisés pour marquer et écrire	用于标记及书写的工具	Alat yang Digunakan untuk Menandai dan Menulis
006011	Money and Monetary Units	Dinero y unidades monetarias	Monnaie et unités monétaires	货币及货币单位	Uang dan Satuan Moneter
006012	Musical Instruments	Instrumentos musicales	Instruments de musique	乐器	Alat Musik
006013	Images and Idols	Imágenes e ídolos	Images et idoles	塑像及偶像	Patung dan Berhala
006014	Lights and Light Holders	Luces y soportes de luz	Lumières et supports de lumière	灯火及支托物	Lampu dan Tempat Lampu
006015	Furniture	Muebles	Mobilier	家具	Perabot
006016	Containers	Contenedores	Récipients	容器	Wadah
006017	Cloth, Leather, and Objects Made of Such Materials	Telas, cueros y objetos hechos con estos materiales	Tissus, cuir et objets fabriqués à partir de ces matériaux	布料、皮革及制成物品	Kain, Kulit, dan Benda dari Bahan Tersebut
006018	Adornments	Adornos	Parures	装饰品	Perhiasan
006019	Plant Products	Productos vegetales	Produits végétaux	植物产品	Produk Tumbuhan
006020	Medicines	Medicamentos	Médicaments	药物	Obat-Obatan
006021	Perfumes and Incense	Perfumes e Incienso	Parfums et encens	香料、香膏及燃香	Wewangian dan Dupa
006022	Instruments for Measuring	Instrumentos para medir	Instruments de mesure	测量工具	Alat untuk Mengukur
006023	Miscellaneous	Misceláneos	Divers	其他人工制品	Lain-Lain
007001	Constructions [General Meaning]	Construcciones [Significado general]	Constructions [Sens général]	建造物（一般意义）	Bangunan [Makna Umum]
007002	Buildings	Edificios	Bâtiments	建筑物	Gedung
007003	Parts and Areas of Buildings	Partes y áreas de edificios	Parties et zones des bâtiments	建筑物的部分及区域	Bagian dan Area Gedung
007004	Open Constructions	Construcciones abiertas	Constructions ouvertes	露天建造物	Bangunan Terbuka
007005	Constructions for Holding Water	Construcciones para retener agua	Constructions destinées à retenir l'eau	蓄水建造物	Bangunan untuk Menampung Air
007006	Walls and Fences	Muros y vallas	Murs et clôtures	围墙及篱笆	Tembok dan Pagar
007007	Miscellaneous Constructions	Construcciones varias	Constructions diverses	其他建造物	Bangunan Lain-Lain
007008	Building Materials	Materiales de construcción	Matériaux de construction	建筑材料	Bahan Bangunan
008001	Body	Cuerpo	Corps	身体	Tubuh
008002	Parts of the Body	Partes del cuerpo	Parties du corps	身体各部分	Bagian-Bagian Tubuh
008003	Physiological Products of the Body	Productos fisiológicos corporales	Produits physiologiques du corps	身体的生理产物	Produk Fisiologis Tubuh
009001	Human Beings	Seres humanos	Êtres humains	人类	Manusia
009002	Males	Hombres	Hommes	男性	Laki-Laki
009003	Females	Mujeres	Femmes	女性	Perempuan
009004	Children	Niños	Enfants	孩童	Anak-Anak
009005	Persons For Whom There Is Affectionate Concern	Personas por las que se siente afecto	Personnes pour lesquelles on éprouve une affection particulière	被深情关怀的人	Orang yang Menjadi Objek Kasih Sayang
010001	Groups and Members of Groups of Persons Regarded as Related by Blood but without Special Reference to Successive Generations	Grupos y miembros de grupos de personas considerados como parientes por consanguinidad, pero sin referencia especial a las generaciones sucesivas	Groupes et membres de groupes de personnes considérées comme apparentées par le sang, mais sans référence particulière aux générations successives	有血缘关系但不限定前后代关系的群体及群体的成员	Kelompok dan Anggota Kelompok Orang yang Dianggap Sekerabat oleh Darah tanpa Rujukan Khusus pada Generasi Berturut-turut
010002	Kinship Relations Involving Successive Generations	Relaciones de parentesco que implican generaciones sucesivas	Relations de parenté impliquant des générations successives	不同代的亲属关系	Hubungan Kekerabatan yang Melibatkan Generasi Berturut-turut
010003	Kinship Relations of the Same Generation	Relaciones de parentesco de la misma generación	Relations de parenté de la même génération	同一代的亲属关系	Hubungan Kekerabatan pada Generasi yang Sama
010004	Kinship Relations Based upon Marriage	Relaciones de parentesco basadas en el matrimonio	Relations de parenté fondées sur le mariage	基于婚姻的亲属关系	Hubungan Kekerabatan Berdasarkan Pernikahan
011001	General	General	Généralités	一般性的	Umum
011002	Socio-Religious	Socio-Religioso	Socio-religieux	社会宗教的	Sosio-Religius
011003	Socio-Political	Socio-Político	Socio-politiques	社会政治的	Sosio-Politik
011004	Ethnic-Cultural	Étno-Cultural	Ethnico-culturelles	种族文化的	Etnis-Budaya
011005	Philosophical	Filosófico	Philosophiques	哲学思想的	Filosofis
012001	Supernatural Beings	Seres sobrenaturales	Êtres surnaturels	超自然生物	Makhluk Adikodrati
012002	Supernatural Powers	Poderes sobrenaturales	Pouvoirs surnaturels	超自然力量	Kuasa Adikodrati
013001	State	Subdominio Estado	État	状态	Keadaan
013002	Change of State	Cambio de Estado	Changement d'état	状态的改变	Perubahan Keadaan
013003	Exist	Existir	Exister	存在	Ada, Eksis
013004	Happen	Ocurrir	Se produire	发生	Terjadi
014001	Weather	Clima	Conditions météorologiques	天气	Cuaca
014002	Wind	Viento	Vent	风	Angin
014003	Rain	Lluvia	Pluie	雨	Hujan
014004	Thunder and Lightning	Truenos y relámpagos	Tonnerre et éclairs	雷电	Guntur dan Kilat
014005	Events Involving Liquids and Dry Masses	Eventos que involucran líquidos y masas secas	Manifestations impliquant des liquides et des masses sèches	与液体和干物质有关的事件或活动	Peristiwa yang Melibatkan Cairan dan Massa Kering
014006	Light	Luz	Lumière	光	Terang
014007	Darkness	Oscuridad	Ténèbres	黑暗	Kegelapan
014008	Burning	Ardor	Brûler	燃烧	Terbakar
014009	Sound	Sonido	Son	声音	Suara
014010	Movement of the Earth	Movimiento de la Tierra	Mouvement de la Terre	大地的移动	Gerakan Bumi
015001	Move, Come/Go	Mover, ir/venir	Se déplacer, aller/venir	移动，来／去	Bergerak, Datang/Pergi
015002	Travel, Journey	Viaje, Trayecto	Voyager, faire un voyage	旅行，旅程	Bepergian, Melakukan Perjalanan
015003	Pass, Cross Over, Go Through, Go Around	Pasar, Cruzar, Atravesar, Rodear	Passer, traverser, contourner	经过，跨越，穿过，绕过	Melewati, Menyeberang, Melalui, Mengelilingi
015004	Leave, Depart, Flee, Escape, Send	Dejar, Salir, Huir, Escapar, Enviar	Quitter, partir, fuir, échapper, envoyer	离开，起程，逃走，逃脱，差遣	Meninggalkan, Berangkat, Melarikan Diri, Mengutus
015005	Come Near, Approach	Acercarse, Abordar	S'approcher	靠近，趋近	Mendekat, Menghampiri
015006	Come, Come To, Arrive	Venir, llegar	Venir, arriver	来，来到，到达	Datang, Datang Ke, Tiba
015007	Return	Regresar	Revenir	返回	Kembali
015008	Come/Go Into	Venir/Ir hacia	Entrer	来到，进入	Datang/Pergi Ke Dalam
015009	Come/Go Onto	Venir/Ir hacia	Monter	登上，骑上	Datang/Pergi Ke Atas
015010	Come/Go Up, Ascend	Subir, ascender	Descendre/Monter	上来／上去，上升	Datang/Pergi Naik, Mendaki
015011	Come/Go Down, Descend	Bajar, descender	Descendre	下来／下去，下降	Datang/Pergi Turun, Menuruni
015012	Fall	Caer	Tomber	掉落	Jatuh
015013	Gather, Cause To Come Together	Reunir, hacer que se reúna	Rassembler, faire venir ensemble	聚集，召集	Berkumpul, Membuat Berkumpul Bersama
015014	Disperse, Scatter	Dispersar, esparcir	Se disperser, se disperser	散开，驱散	Membubarkan, Mencerai-beraikan
015015	Come/Go Prior To	Venir/Ir antes de	Venir/Aller avant	先来／先去	Datang/Pergi Sebelum
015016	Come/Go In Front Of	Venir/ir delante de	Venir/Aller devant	走在前面	Datang/Pergi Di Depan
015017	Come/Go Behind	Venir/ir detrás de	Venir/Aller derrière	走在后面	Datang/Pergi Di Belakang
015018	Go Around, Surround	Ir alrededor, rodear	Contourner, entourer	绕着走，围绕	Mengelilingi, Mengepung
015019	Come/Go With, Travel With	Venir/ir con, viajar con	Venir/Aller avec, voyager avec	同行，结伴	Datang/Pergi Bersama, Bepergian Bersama
015020	Follow, Accompany	Seguir, Acompañar	Suivre, accompagner	跟随，伴随	Mengikuti, Menyertai
015021	Pursue, Follow	Perseguir, Seguir	Poursuivre, suivre	追赶，追逐	Mengejar, Membuntuti
015022	Drive Along, Carry Along	Conducir, Transportar (¿?)	Rouler, transporter	驱动，带动	Menggiring, Membawa Sepanjang Jalan
015023	Lead, Bring, Take	Llevar, traer, tomar	Diriger, apporter, prendre	引领，带来，带领	Memimpin, Membawa, Mengambil
015024	Carry, Bear	Llevar, soportar	Porter, soutenir, supporter	携带，负担	Mengangkut, Memikul
015025	Pull, Draw, Drag	Tirar, Remolcar, Arrastrar	Tirer, extraire, traîner/glisser	拉，拖，拽	Menarik, Menyeret
015026	Throw, Hurl	Lanzar, Arrojar	Lancer, jeter, projeter	投掷，扔掉	Melempar, Melontarkan
015027	Movement with Speed	Movimiento con Velocidad	Mouvement rapide	快速移动	Gerakan dengan Kecepatan
015028	Goal-Oriented Movement	Movimiento orientado a un objetivo	Mouvement orienté vers un but	向着目标移动	Gerakan Berorientasi Tujuan
015029	Walk, Step	Caminar, Pisar	Marcher, faire un pas	步行，踩踏	Berjalan, Melangkah
015030	Run	Correr	Courir	奔跑	Berlari
015031	Jump, Leap	Saltar, brincar	Sauter, bondir	跳起，跳跃	Melompat, Meloncat
015032	Dance	Bailar	Danser	跳舞	Menari
015033	Fly	Volar	Voler	飞行	Terbang
015034	Swim	Nadar	Nager	游泳	Berenang
015035	Roll	Rodar	Rouler	滚动	Berguling
016	Non-Linear Movement	Movimiento No Lineal	Mouvement non linéaire	非线性运动	Gerakan Non-Linier
017001	Stand	Pararse	Être debout	站立	Berdiri
017002	Sit	Sentarse	S'asseoir	坐下	Duduk
017003	Kneel	Arrodillarse	S'agenouiller	跪下	Berlutut
017004	Prostrate	Postrarse	Se prosterner	俯卧、趴着	Bersujud
017005	Prostrate as an Act of Reverence or Supplication	Postrarse como acto de reverencia o súplica	Se prosterner en signe de révérence ou de supplication	俯伏敬拜或恳求	Bersujud sebagai Tindakan Penghormatan atau Permohonan
017006	Recline [to eat]	Reclinarse [para comer]	Incliner [pour manger]	斜倚（用餐）	Berbaring [untuk makan]
017007	Lie	Acostarse	S'allonger	躺卧	Berbaring
017008	Bend Over, Straighten Up	Inclinarse, enderezarse	Se pencher, se redresser	弯身，挺直	Membungkuk, Menegakkan Diri
018001	Grasp, Hold	Agarrar, sostener	Saisir, tenir	抓紧，抓住	Menggenggam, Memegang
018002	Fasten, Stick To	Sujetar, Pegarse	Fixer, coller	系上，粘住	Menautkan, Melekat Pada
019001	Hit, Strike	Golpear, Pegar	Frapper, donner un coup	击打，撞击	Memukul, Menghantam
019002	Pierce, Cut	Perforar, Cortar	Transpercer, couper	刺穿，切割	Menusuk, Memotong
019003	Split, Tear	Dividir, desgarrar	Fendre, déchirer	裂开，撕破	Membelah, Merobek
019004	Break, Break Through	Romper, atravesar	Casser, briser	打破，冲破	Mematahkan, Menerobos
019005	Press	Presionar	Presser	挤压	Menekan
019006	Dig	Cavar	Creuser	挖掘	Menggali
020001	Violence	Violencia	Violence	暴力	Kekerasan
020002	Harm, Wound	Dañar, Herir	Blesser, blesser	伤害，伤口	Melukai, Menyakiti
020003	Destroy	Destruir	Détruire	摧毁	Menghancurkan
020004	Kill	Matar	Tuer	杀死	Membunuh
021001	Danger	Peligro	Danger	危险	Bahaya
021002	Expose Oneself to Danger	Exponerse a un peligro	S'exposer au danger	冒险	Mengekspos Diri pada Bahaya
021003	Safe, Free from Danger	Estar a Salvo, Liberarse del Peligro	Sécurité, à l'abri du danger	安全，没有危险	Aman, Bebas dari Bahaya
021004	Become Safe, Free from Danger	Convertirse en Seguro, Libre de Peligro	Devenir en sécurité, à l'abri du danger	变得安全，没有危险	Menjadi Aman, Bebas dari Bahaya
021005	Cause To Be Safe, Free from Danger	Hacer Estar a Salvo, Libre de Peligro	Rendre en sécurité, à l'abri du danger	使安全，没有危险	Membuat Aman, Bebas dari Bahaya
021006	Save in a Religious Sense	Salvar en un sentido religioso	Sauver au sens religieux	宗教意义上的拯救	Menyelamatkan dalam Arti Religius
022001	Trouble, Hardship, Distress	Problemas, Dificultades, Angustia	Problèmes, épreuves, détresse	烦恼，困难，危难	Kesulitan, Kesukaran, Kesengsaraan
022002	Experience Trouble, Hardship	Experimentar Problemas, Dificultades	Vivre des difficultés, des épreuves	经历烦恼、困难	Mengalami Kesulitan, Kesukaran
022003	Cause Trouble, Hardship	Ocasionar problemas, dificultades	Provoquer des difficultés, des épreuves	引起烦恼、困难	Menyebabkan Kesulitan, Kesukaran
022004	Difficult, Hard	Difícil, duro	Difficile, dur	困难的，艰难的	Sulit, Sukar
022005	Relief from Trouble	Alivio del problema	Soulagement des difficultés	摆脱烦恼	Kelegaan dari Kesulitan
022006	Easy, Light	Fácil, Ligero	Facile, léger	容易的，轻松的	Mudah, Ringan
022007	Favorable Circumstances or State	Circunstancias o estado favorables	Circonstances ou état favorables	有利的情况或状态	Keadaan atau Situasi yang Menguntungkan
023001	Eat, Drink	Comer, beber	Manger, boire	吃，喝	Makan, Minum
023002	Processes Involving the Mouth, Other Than Eating and Drinking	Procesos que implican la boca, aparte de comer y beber	Processus impliquant la bouche, autres que manger et boire	吃、喝以外，涉及口腔的活动	Proses yang Melibatkan Mulut, Selain Makan dan Minum
023003	Birth, Procreation	Nacimiento, Procreación	Naissance, procréation	诞生，生育	Kelahiran, Prokreasi
023004	Sexual Relations	Relaciones Sexuales	Relations sexuelles	性关系	Hubungan Seksual
023005	Sleep, Waking	Dormir, Despertar	Sommeil, éveil	睡觉，醒来	Tidur, Bangun
023006	Tire, Rest	Cansarse, Descansar	Fatigue, repos	疲倦，休息	Lelah, Istirahat
023007	Live, Die	Vivir, Morir	Vivre, mourir	活着，死去	Hidup, Mati
023008	Health, Vigor, Strength	Salud, Vigor, Fuerza	Santé, vigueur, force	健康，活力，力气	Kesehatan, Kebugaran, Kekuatan
023009	Sickness, Disease, Weakness	Enfermedad, dolencia, debilidad	Maladie, affaiblissement	疾病，恶疾，衰弱	Sakit, Penyakit, Kelemahan
023010	Breathe, Breath	Respirar, aliento (respiro)	Respirer, souffle	呼气，呼吸	Bernapas, Napas
023011	Grow, Growth	Crecer, Crecimiento	Grandir, croissance	生长	Tumbuh, Pertumbuhan
023012	Ripen, Produce Fruit, Bear Seed	Madurar, Producir Fruto, Tener Semilla	Mûrir, produire des fruits, porter des graines	成熟，结果子，结种籽	Matang, Menghasilkan Buah, Berbiji
023013	Rot, Decay	Pudrirse, Decaer	Pourrir, se décomposer	腐烂，腐朽	Membusuk, Membusuk
024001	See	Ver	Voir	看	Melihat
024002	Hear	Oír	Entendre	听	Mendengar
024003	Smell	Olfato	Sentir	嗅	Mencium (Bau)
024004	Taste	Gusto	Goûter	尝味	Mengecap
024005	Touch, Feel	Tocar, Sentir	Toucher, sentir	触摸，感觉	Menyentuh, Meraba
024006	Pain, Suffering	Dolor, Sufrimiento	Douleur, souffrance	痛苦，苦难	Rasa Sakit, Penderitaan
024007	General Sensory Perception	Percepción Sensorial General	Perception sensorielle générale	一般感官知觉	Persepsi Inderawi Umum
025001	Desire, Want, Wish	Deseo, querer, desear	Désirer, vouloir, souhaiter	意欲，希望，愿望	Keinginan, Kemauan, Hasrat
025002	Desire Strongly	Desear fuertemente	Désirer fortement	强烈地渴望	Sangat Menginginkan
025003	Love, Affection, Compassion	Amor, Afecto, Compasión	Amour, affection, compassion	爱，情感，同情	Kasih, Sayang, Belas Kasihan
025004	Hope, Look Forward To	Esperanza, mirar hacia delante	Espérer, avoir hâte de	盼望，期待	Harapan, Menantikan
025005	Be Willing	Estar dispuesto	Être disposé	愿意	Bersedia
025006	Be Eager, Be Earnest, In a Devoted Manner	Estar dispuesto, Ser Ferviente, en sentido de devoción	Être impatient, être sérieux, d’une manière dévouée	热切，认真，全心全意	Bersemangat, Bersungguh-sungguh, dengan Penuh Pengabdian
025007	Content, Satisfied	Contento, Satisfecho	Content, satisfait	知足，满足	Puas, Berkecukupan
025008	Acceptable To, To Be Pleased With	Aceptable a, Estar Complacido con	Acceptable, être satisfait de	蒙悦纳，喜悦	Berkenan Kepada, Merasa Senang Dengan
025009	Thankful, Grateful	Agradecido	Reconnaissance, gratitude	感恩的，感激的	Bersyukur, Berterima Kasih
025010	Enjoy, Take Pleasure In, Be Fond of Doing	Disfrutar, Complacerse en, Estar encantado de hacer	Apprécier, prendre plaisir à, aimer faire	享受，享乐，喜爱做	Menikmati, Bersenang Hati, Gemar Melakukan
025011	Happy, Glad, Joyful	Feliz, Contento, Alegre	Heureux, content, joyeux	快乐，高兴，喜乐	Bahagia, Gembira, Sukacita
025012	Laugh, Cry, Groan	Reír, Llorar, Gemir	Rire, pleurer, gémir	喜笑，哀哭，悲叹	Tertawa, Menangis, Mengerang
025013	Encouragement, Consolation	Ánimo, Consuelo	Encouragement, consolation	鼓励，安慰	Dorongan Semangat, Penghiburan
025014	Courage, Boldness	Valor, Coraje, Audacia	Courage, audace	勇气，胆量	Keberanian, Ketegasan
025015	Patience, Endurance, Perseverance	Paciencia, Resistencia, Perseverancia	Patience, endurance, persévérance	忍耐，忍受，容忍，坚忍	Kesabaran, Ketahanan, Ketekunan
025016	Offend, Be Offended	Ofender, Ser Ofendido	Offenser, être offensé	冒犯，被冒犯	Menyinggung, Tersinggung
025017	Abhor	Aborrecer	Détester	憎恶	Membenci, Muak
025018	Shame, Disgrace, Humiliation	Vergüenza, Desgracia, Humillación	Honte, déshonneur, humiliation	羞愧，耻辱，屈辱	Malu, Aib, Penghinaan
025019	Pride [legitimate]	Orgullo [legítimo]	Fierté [légitime]	自豪，骄傲，光荣	Kebanggaan [yang sah]
025020	Surprise, Astonish	Sorpresa, Asombro	Surprise, étonnement	惊奇，惊诧	Terkejut, Takjub
025021	Worry, Anxiety, Distress, Peace	Preocupación, Ansiedad, Angustia, Paz	Inquiétude, anxiété, détresse, paix	担忧，忧虑，忧伤，平静	Khawatir, Cemas, Gelisah, Damai
025022	Fear, Terror, Alarm	Miedo, Terror, Alarma	Peur, terreur, alarme	惧怕，惊骇，惊慌	Takut, Ngeri, Cemas
025023	Sorrow, Regret	Pena, Arrepentimiento	Chagrin, regret	悲伤，遗憾	Duka, Penyesalan
025024	Discouragement	Desánimo	Découragement	沮丧	Keputusasaan
026	Psychological Faculties	Facultades psicológicas	Facultés psychologiques	心理官能	Fakultas Psikologis
027001	Learn	Aprender	Apprendre	学习	Belajar
027002	Learn the Location of Something	Aprender la ubicación de algo	Apprendre l'emplacement de quelque chose	得知某物的位置	Mengetahui Lokasi Sesuatu
027003	Learn Something Against Someone	Aprender algo en contra alguien	Apprendre quelque chose contre quelqu'un	得知某人的错处	Mengetahui Sesuatu terhadap Seseorang
027004	Try To Learn	Intentar Aprender	Essayer d’apprendre	尝试学习	Berusaha Mengetahui
027005	Be Willing To Learn	Estar Dispuesto a Aprender	Être disposé à apprendre	愿意学习	Bersedia Belajar
027006	Be Ready To Learn, Pay Attention	Estar preparado para aprender, prestar atención	Être prêt à apprendre, prêter attention	准备好去学习，留心	Siap Belajar, Memberi Perhatian
027007	Recognize	Reconocer	Reconnaître	认出	Mengenali
028001	Know	Saber	Connaître	知道	Mengetahui
028002	Known [the content of knowledge]	Conocido [contenido del conocimiento]	Connu [le contenu de la connaissance]	已知的	Diketahui [isi pengetahuan]
028003	Well Known, Clearly Shown, Revealed	Bien Conocido, Mostrado Claramente, Revelado	Bien connu, clairement montré, révélé	知名的，清楚显示的，显露的	Terkenal, Ditunjukkan dengan Jelas, Dinyatakan
028004	Able To Be Known	Poder de ser conocido	Pouvant être connu	可知的	Dapat Diketahui
028005	Not Able To Be Known, Secret	No poder conocer, secreto	Ne pouvant être connu, secret	不可知的，秘密的	Tidak Dapat Diketahui, Rahasia
029001	Storing of Information	Almacenamiento de información	Stockage d’informations	资讯的储存	Menyimpan Informasi
029002	Recalling from Memory	Recuerdo de la memoria	Se souvenir	想起来	Mengingat Kembali dari Ingatan
029003	Not Remembering, Forgetting	No Recordar, Olvidar	Ne pas se souvenir, oublier	不记得，忘记	Tidak Mengingat, Melupakan
029004	Recalling and Responding with Appropriate Action	Recordar y Responder con la Acción Apropiada	Se souvenir et réagir par une action appropriée	回忆并以适当行动回应	Mengingat dan Menanggapi dengan Tindakan yang Tepat
030001	To Think, Thought	Pensar, Pensamiento	Penser, Pensée	思考，思想	Berpikir, Pikiran
030002	To Think About, with the Implied Purpose of Responding Appropriately	Pensar, con el propósito implícito de responder adecuadamente	Réfléchir, avec le but implicite de répondre de façon appropriée	探讨、考虑，有作出适当回应的隐含目的	Memikirkan, dengan Maksud Tersirat untuk Menanggapi dengan Tepat
030003	To Think Concerning Future Contingencies	Pensar sobre contingencias futuras	Penser concernant les éventualités futures	考虑未来的偶发事件	Memikirkan Kemungkinan Masa Depan
030004	To Intend, To Purpose, To Plan	Ser Intencional, Tener Propósito, Planificar	Avoir l'intention, se proposer, planifier	打算，企图，计划	Bermaksud, Berniat, Merencanakan
030005	To Decide, To Conclude	Decidir, Concluir	Décider, conclure	决定，作出结论	Memutuskan, Menyimpulkan
030006	To Choose, To Select, To Prefer	Elegir, Seleccionar, Preferir	Choisir, sélectionner, préférer	选择，拣选，宁取	Memilih, Menyeleksi, Lebih Menyukai
030007	To Distinguish, To Evaluate, To Judge	Distinguir, Evaluar, Juzgar	Distinguer, Évaluer, Juger	区别，评价，评断	Membedakan, Menilai, Menghakimi
031001	Have an Opinion, Hold a View	Tener una opinión, Sostener un punto de vista	Avoir une opinion, Avoir un point de vue	有意见，持有观点	Memiliki Opini, Memegang Pandangan
031002	Hold a Wrong View, Be Mistaken	Sostener una opinión equivocada, estar equivocado	Avoir un point de vue erroné, Se tromper	持有错误观点，被误导	Memegang Pandangan yang Salah, Keliru
031003	Agree, Consent	Estar de acuerdo, consentir	Être d'accord, consentir	赞同，同意	Setuju, Menyetujui
031004	Acknowledge	Reconocer	Reconnaissance	承认	Mengakui
031005	Suppose, Think Possible	Suponer, pensar que es posible	Supposer, penser que c'est possible	假设，认为有可能	Menduga, Menganggap Mungkin
031006	Believe To Be True	Creer que es verdad	Croire que c'est vrai	相信是真的	Percaya Itu Benar
031007	Accept As True	Aceptar como Verdadero	Accepter comme vrai	接受为真实的	Menerima Sebagai Benar
031008	Change an Opinion Concerning Truth	Cambiar de opinión con respecto a la verdad	Changer d'avis concernant la vérité	改变对事实／真理的看法	Mengubah Opini Mengenai Kebenaran
031009	Trust, Rely	Confiar, Apoyarse	Faire confiance, compter sur	信赖，依靠	Percaya, Bersandar
031010	Be a Believer, Christian Faith	Ser un creyente, fe cristiana	Être croyant, la foi chrétienne	成为信徒，对基督的信仰	Menjadi Orang Percaya, Iman Kristen
032001	Understand	Entender	Comprendre	理解	Memahami
