# source=llm; anchored on the original lemma (Hebrew/Greek), English gloss used only as a hint
strong	lemma_ref	en_ref	gloss
G1227	διαβλέπω	see clearly	स्पष्ट देखना
G1228	διάβολος	devilish	शैतान
G1229	διαγγέλλω	proclaim	घोषणा करना
G0123	αἰγιαλός	shore	तट
G1230	διαγίνομαι	pass	बीतना
G1231	διαγινώσκω	decide	निर्णय लेना
G1233	διάγνωσις	decision	निर्णय
G1234	διαγογγύζω	murmur	बुड़बुड़ाना
G1235	διαγρηγορέω	wake	जागना
G1236	διάγω	live	रहना
G1237	διαδέχομαι	receive in turn	क्रमानुसार लेना
G1238	διάδημα	diadem	मुकुट
G1239	διαδίδωμι	distribute	वितरित करना
G0124	Αἰγύπτιος	Egyptian	मिस्री
G1240	διάδοχος	successor	उत्तराधिकारी
G1241	διαζώννυμι	tie around	कमर में कसना
G1242	διαθήκη	covenant	वाचा
G1243	διαίρεσις	variety	विविधता
G1244	διαιρέω	distribute	बाँटना
G1245	διακαθαρίζω	clear out	साफ़ करना
G1246	διακατελέγχομαι	refute	खंडन करना
G1247	διακονέω	serve	सेवा करना
G1248	διακονία	service	सेवा
G1249	διάκονος	servant	सेवक
G0125	Αἴγυπτος	Egypt	मिस्र
G1250	διακόσιοι	two hundred	दो सौ
G1251	διακούω	give a hearing	सुनवाई देना
G1252	διακρίνω	judge	भेद करना
G1253	διάκρισις	discernment	विवेक
G1254	διακωλύω	hinder	बाधा डालना
G1255	διαλαλέω	discuss	आपस में बातचीत करना
G1256	διαλέγω	dispute	बहस करना
G1257	διαλίπω	stop	रुकना
G1258	διάλεκτος	language	भाषा
G1259	διαλλάσσω	be reconciled	मेल करना
G0126	ἀΐδιος	eternal	शाश्वत
G1260	διαλογίζομαι	discuss	विचार करना
G1261	διαλογισμός	reasoning	विचार
G1262	διαλύω	disperse	तितर-बितर करना
G1263	διαμαρτύρομαι	testify solemnly	दृढ़ता से गवाही देना
G1264	διαμάχομαι	contend sharply	कड़ाई से विरोध करना
G1265	διαμένω	remain	स्थिर रहना
G1266	διαμερίζω	divide	बाँटना
G1267	διαμερισμός	division	विभाजन
G1268	διανέμω	spread	फैलाना
G1269	διανεύω	signify	संकेत करना
G0127	αἰδώς	modesty	शर्मा
G1270	διανόημα	thought	विचार
G1271	διάνοια	mind	मन
G1272	διανοίγω	open up	खोलना
G1273	διανυκτερεύω	spend the night	रात भर बिताना
G1274	διανύω	continue	पूरा करना
G1275	διαπαρατριβή	always	विकृत
G1276	διαπεράω	cross	पार करना
G1277	διαπλέω	sail across	नाव से पार जाना
G1278	διαπονέω	be vexed	व्यथित होना
G1279	διαπορεύω	go through	आर-पार जाना
G0128	Αἰθίοψ	Ethiopian	कुश
G1280	διαπορέω	be perplexed	अलबेला होना
G1281	διαπραγματεύομαι	gain in trade	व्यापार में लाभ करना
G1282	διαπρίω	be furious	क्रोधित होना
G1283	διαρπάζω	rob	लूटना
G1284	διαρρήσσω	tear	फाड़ना
G1285	διασαφέω	explain	स्पष्ट करना
G1286	διασείω	extort	जबरदस्ती करना
G1287	διασκορπίζω	scatter	बिखेरना
G1288	διασπάω	tear apart	फाड़ना
G1289	διασπείρω	scatter	तितर-बितर करना
G0129	αἷμα	blood	रक्त
G1290	διασπορά	dispersion	प्रवासन
G1291	διαστέλλω	give orders	आदेश देना
G1292	διάστημα	interval	अंतराल
G1293	διαστολή	distinction	भेद
G1294	διαστρέφω	pervert	विकृत करना
G1295	διασῴζω	save	बचाना
G1296	διαταγή	ordinance	आदेश
G1297	διάταγμα	edict	फरमान
G1298	διαταράσσω	trouble	व्यथित करना
G1299	διατάσσω	direct	नियुक्त करना
G0013	Ἅγαβος	Agabus	अगबुस
G0130	αἱματεκχυσία	bloodshed	रक्तपात
G1300	διατελέω	continue	जारी रखना
G1301	διατηρέω	keep	रखना
G1302		why?	क्यों
G1303	διατίθημι	make a covenant	वाचा बाँधना
G1304	διατρίβω	remain	रहना
G1305	διατροφή	food	भोजन
G1306	διαυγάζω	shine through	चमकना
G1307		transparent	पारदर्शी
G1308	διαφέρω	spread	श्रेष्ठ होना
G1309	διαφεύγω	escape	बचकर जाना
G0131	αἱμορροέω	bleed	रक्तस्राव
G1310	διαφημίζω	publish abroad	सर्वत्र प्रसारित करना
G1311	διαφθείρω	destroy	नष्ट करना
G1312	διαφθορά	decay	क्षय
G1313	διάφορος	different	भिन्न
G1314	διαφυλάσσω	protect	रक्षा करना
G1315	διαχειρίζω	kill	मारना
G1316	διαχωριζω	be separated	अलग होना
G1317	διδακτικός	able to teach	शिक्षण में सक्षम
G1318	διδακτός	taught	सिखाया हुआ
G1319	διδασκαλία	teaching	शिक्षा
G0132	Αἰνέας	Aeneas	अनिया
G1320	διδάσκαλος	teacher	शिक्षक
G1321	διδάσκω	teach	सिखाना
G1322	διδαχή	teaching	शिक्षा
G1323	δίδραχμον	two-drachma	द्राचमा
G1324	Δίδυμος	Twin	जुड़वां
G1325	δίδωμι	give	देना
G1326	διεγείρω	arouse	जगाना
G1327	διέξοδος	thoroughfare	मार्ग
G1328	διερμηνευτής	interpreter	दुभाषिया
G1329	διερμηνεύω	interpret	व्याख्या करना
G0133	αἴνεσις	praise	स्तुति
G1330	διέρχομαι	pass through	पार करना
G1331	διερωτάω	ascertain	पूछना
G1332	διετής	two years old	दो साल का
G1333	διετία	two years	दो साल
G1334	διηγέομαι	relate fully	वर्णन करना
G1335	διήγησις	narrative	वृत्तांत
G1336	διηνεκής	perpetual	निरंतर
G1337	διθάλασσος	sandbar	रेत की पट्टी
G1338	διϊκνέομαι	penetrate	भेदना
G1339	διΐστημι	pass	अलग होना
G0134	αἰνέω	praise	प्रशंसा करना
G1340	διϊσχυρίζομαι	insist	जोर देना
G1341	δικαιοκρισία	justice	न्याय
G1342	δίκαιος	just	धर्मी
G1343	δικαιοσύνη	righteousness	धार्मिकता
G1344	δικαιόω	justify	न्यायसंगत ठहराना
G1345	δικαίωμα	righteous act	धर्मी कार्य
G1346	δικαίως	rightly	सही तरीके से
G1347	δικαίωσις	justification	न्यायसंगतता
G1348	δικαστής	magistrate	न्यायाधीश
G1349	δίκη	condemnation	दंड
G0135	αἴνιγμα	obscure thing	पहेली
G1350	δίκτυον	net	जाल
G1351	δίλογος	insincere	दुभाषी
G1352	διό	therefore	इसलिए
G1353	διοδεύω	go through	यात्रा करना
G1354	Διονύσιος	Dionysius	डायोनिसियस
G1355	διόπερ	for	इसलिए
G1356	διοπετής	fallen from heaven	आकाश से गिरा
G1357	διόρθωσις	reformation	सुधार
G1358	διορύσσω	break in	छेद करना
G1359	Διόσκουροι	twin gods	दिव्य जुड़वां
G0136	αἶνος	praise	प्रशंसा
G1360	διότι	because	क्योंकि
G1361	Διοτρέφης	Diotrephes	दिओत्रेफेस
G1362	διπλοῦς	double	दोहरा
G1363	διπλόω	double	दोगुना करना
G1364	δίς	twice	दो बार
G1365	διστάζω	doubt	संदेह करना
G1366	δίστομος	double-edged	दोधारी
G1367	δισχίλιοι	two thousand	दो हजार
G1368	διϋλίζω	strain out	छानना
G1369	διχάζω	disunite	विभाजित करना
G1370	διχοστασία	dissension	विभेद
G1371	διχοτομέω	cut in two	दो भागों में काटना
G1372	διψάω	thirst	प्यास लगना
G1373	δίψος	thirst	प्यास
G1374	δίψυχος	double-minded	दोमना
G1375	διωγμός	persecution	उत्पीड़न
G1376	διώκτης	persecutor	सताने वाला
G1377	διώκω	pursue	सताना
G1378	δόγμα	decree	आदेश
G1379	δογματίζω	decree	आदेश देना
G0138	αἱρέω	choose	चुनना
G1380	δοκέω	think	सोचना
G1381	δοκιμάζω	test	परीक्षा करना
G1382	δοκιμή	test	परीक्षा
G1383	δοκίμιον	testing	परीक्षण
G1384	δόκιμος	tested	परीक्षित
G1385	δοκός	plank	शहतीर
G1386	δόλιος	deceitful	धोखेबाज
G1387	δολιόω	deceive	धोखा देना
G1388	δόλος	deceit	धोखा
G1389	δολόω	distort	विकृत करना
G0139	αἵρεσις	sect	संप्रदाय
G1390	δόμα	gift	उपहार
G1391	δόξα	glory	महिमा
G1392	δοξάζω	glorify	महिमान्वित करना
G1393	δορκάς	Dorcas	डोरकास
G1394	δόσις	gift	देना
G1395	δότης	giver	दाता
G1396	δουλαγωγέω	enslave	दासत्व में करना
G1397	δουλεία	slavery	दासता
G1398	δουλεύω	be a slave	दास होना
G1399	δούλη	female slave	दासी
G0014	ἀγαθοεργέω	do good	भलाई करना
G0140	αἱρετίζω	choose	चुनना
G1400	δοῦλος	slave	दास
G1401	δοῦλος	slave	दास
G1402	δουλόω	enslave	दासत्व में डालना
G1403	δοχή	banquet	भोज
G1404	δράκων	dragon	अजगर
G1405	δράσσομαι	catch	पकड़ना
G1406	δραχμή	drachma	ड्रैक्मा
G1407	δρέπανον	sickle	दराँती
G1408	δρόμος	racecourse	दौड़
G1409	Δρούσιλλα	Drusilla	ड्रूसिल्ला
G0141	αἱρετικός	schismatic	विभाजनकारी
G1410	δύναμαι	be able	सक्षम होना
G1411	δύναμις	power	शक्ति
G1412	δυναμόω	empower	शक्तिशाली बनाना
G1413	δυνάστης	ruler	शासक
G1414	δυνατέω	be able	सक्षम होना
G1415	δυνατός	able	सक्षम
G1416	δύνω	set	अस्त होना
G1417	δύο	two	दो
G1418		hard	कठिन
G1419	δυσβάστακτος	ponderous	भारी
G0142	αἴρω	take up	उठाना
G1420	δυσεντέριον	dysentery	पेचिश
G1421	δυσερμήνευτος	hard to interpret	समझने में कठिन
G1422	δύσκολος	difficult	कठिन
G1423	δυσκόλως	difficultly	कठिनाई से
G1424	δυσμή	west	पश्चिम
G1425	δυσνόητος	hard to understand	समझने में कठिन
G1426	δυσφημία	slander	निंदा
G1427	δώδεκα	twelve	बारह
G1428	δωδέκατος	twelfth	बारहवाँ
G1429	δωδεκάφυλον	twelve tribes	बारह कुल
G0143	αἰσθάνομαι	perceive	समझना
G1430	δῶμα	housetop	छत
G1431	δωρεά	free gift	उपहार
G1432	δωρεάν	freely	बिना मूल्य
G1433	δωρέομαι	give	देना
G1434	δώρημα	free gift	वरदान
G1435	δῶρον	gift	भेंट
G1436	ἔα	ha!	अरे
G1437	ἐάν	if	यदि
G1438	ἑαυτοῦ	themself	स्वयं
G1439	ἐάω	allow	अनुमति देना
G0144	αἴσθησις	insight	बोध
G1440	ἑβδομήκοντα	seventy	सत्तर
G1441	ἑβδομηκοντάκις	seventy times	सत्तर बार
G1442	ἕβδομος	seventh	सातवाँ
G1443	Ἔβερ	Eber	एबेर
G1444		Hebrew	इब्रानी
G1445	Ἑβραῖος	Hebrew	यहूदी
G1446	Ἑβραΐς	Hebrew	इब्रानी
G1447	Ἑβραϊστί	Hebrew	इब्रानी
G1448	ἐγγίζω	come near	निकट आना
G1449	ἐνγράφω	write in	लिखना
G0145	αἰσθητήριον	sense	इंद्रिय
G1450	ἔγγυος	guarantor	जमानत
G1451	ἐγγύς	near	निकट
G1452	ἐγγύτερον	nearer	निकटतर
G1453	ἐγείρω	arise	उठना
G1454	ἔγερσις	resurrection	पुनरुत्थान
G1455	ἐνκακέω	spy	हार न मानना
G1456	ἐνκαίνια	Feast|Festival of Dedication	समर्पण पर्व
G1457	ἐνκαινίζω	inaugurate	प्रारंभ करना
G1458	ἐνκαλέω	accuse	आरोप लगाना
G1459	ἐγκαταλείπω	leave behind	त्याग देना
G0146	αἰσχροκερδής	greedy	लालची
G1460	ἐνκατοικέω	live among	निवास करना
G1461	ἐνκεντρίζω	ingraft	ग्राफ्ट करना
G1462	ἔγκλημα	accusation	आरोप
G1463	ἐγκομβόομαι	clothe oneself	पहनना
G1464	ἐνκοπή	hindrance	बाधा
G1465	ἐνκόπτω	impede	बाधा डालना
G1466	ἐνκράτεια	self-control	संयम
G1467	ἐγκρατεύομαι	self-control	संयम
G1468	ἐγκρατής	self-controlled	संयमी
G1469	ἐνκρίνω	classify	सम्मिलित करना
G0147	αἰσχροκερδῶς	greedily	लालची
G1470	ἐνκρύπτω	mix	मिलाना
G1471	ἔνκυος	pregnant	गर्भवती
G1472	ἐγχρίω	rub on	लगाना
G1473	ἐγώ	I	मैं
G1474	ἐδαφίζω	raze	ध्वस्त करना
G1475	ἔδαφος	ground	धरती
G1476	ἑδραῖος	steadfast	दृढ़
G1477	ἑδραίωμα	foundation	नींव
G1478	Ἑζεκίας	Hezekiah	हिजकिय्याह
G1479	ἐθελοθρησκεία	self-made religion	आत्मनिर्मित धर्म
G0148	αἰσχρολογία	obscenity	गंदी भाषा
G1480	ἐθίζω	be accustomed	आदी होना
G1481	ἐθνάρχης	governor	राज्यपाल
G1482	ἐθνικός	Gentile-like	अन्यजातीय
G1483	ἐθνικῶς	Gentile-way	अन्यजातीय ढंग से
G1484	ἔθνος	Gentiles	जाति
G1485	ἔθος	custom	रीति
G1486	ἔθω	have a custom	रीति होना
G1487	εἰ	if	यदि
G1488		you are	हो
G1489		if indeed	यदि वास्तव में
G0149		shameful	शर्मनाक
G1490		but if not	परंतु यदि नहीं
G1491	εἶδος	appearance	रूप
G1492	οἶδα	perceive	जानना
G1493	εἰδωλεῖον	idol's temple	मूर्ति-मंदिर
G1494	εἰδωλόθυτος	sacrificed to idols	मूर्तियों को अर्पित
G1495	εἰδωλολατρία	idolatry	मूर्तिपूजा
G1496	εἰδωλολάτρης	idolater	मूर्तिपूजक
G1497	εἴδωλον	idol	मूर्ति
G1498		may be	हो सकता है
G1499		if also	यदि भी
G0015	ἀγαθοποιέω	do good	भलाई करना
G0150	αἰσχρός	shameful	शर्मनाक
G1500	εἰκῇ	in vain	व्यर्थ
G1501	εἴκοσι	twenty	बीस
G1502	εἴκω	yield	झुकना
G1503	εἴκω	resemble	समान दिखना
G1504	εἰκών	image	प्रतिमा
G1505	εἰλικρίνεια	sincerity	निष्ठा
G1506	εἰλικρινής	pure	शुद्ध
G0151	αἰσχρότης	obscenity	अश्लीलता
G1510	εἰμί	be	होना
G1514	εἰρηνεύω	be at peace	शांति रखना
G1515	εἰρήνη	peace	शांति
G1516	εἰρηνικός	peaceful	शांतिपूर्ण
G1517	εἰρηνοποιέω	make peace	शांति स्थापित करना
G1518	εἰρηνοποιός	peacemaker	शांतिदूत
G1519	εἰς	toward	की ओर
G0152	αἰσχύνη	shame	शर्मिंदगी
G1520	εἷς	one	एक
G1521	εἰσάγω	bring in	अंदर ले आना
G1522	εἰσακούω	listen to	सुनना
G1523	εἰσδέχομαι	receive	स्वीकार करना
G1524	εἴσειμι	enter	प्रवेश करना
G1525	εἰσέρχομαι	enter	प्रवेश करना
G1528	εἰσκαλέω	invite	आमंत्रित करना
G1529	εἴσοδος	entry	प्रवेश
G0153	αἰσχύνω	be ashamed	शर्मिंदा होना
G1530	εἰσπηδάω	rush into	अंदर दौड़ना
G1531	εἰσπορεύομαι	enter	प्रवेश करना
G1532	εἰστρέχω	run in	अंदर दौड़ना
G1533	εἰσφέρω	bring in	अंदर ले आना
G1534	εἶτα	then	फिर
G1535	εἴτε	whether	चाहे
G1537	ἐκ	out from	से
G1538	ἕκαστος	each	प्रत्येक
G1539	ἑκάστοτε	always	हमेशा
G0154	αἰτέω	ask	माँगना
G1540	ἑκατόν	hundred	सौ
G1541	ἑκατονταετής	hundred years old	सौ वर्ष का
G1542	ἑκατονταπλασίονα	hundred times	सौ गुना
G1543	ἑκατοντάρχης	centurion	सूबेदार
G1544	ἐκβάλλω	expel	निकालना
G1545	ἔκβασις	way out	निकास
G1546	ἐκβολή	jettisoning	पोत फेंकना
G1547		marry	विवाह करना
G1548		give in marriage	विवाह देना
G1549	ἔκγονος	descendant	वंशज
G0155	αἴτημα	request	प्रार्थना
G1550	ἐκδαπανάω	expend	खर्च करना
G1551	ἐκδέχομαι	wait for	प्रतीक्षा करना
G1552	ἔκδηλος	clearly evident	प्रकट
G1553	ἐκδημέω	be away	अनुपस्थित रहना
G1554	ἐκδίδωμι	lease	पट्टे पर देना
G1555	ἐκδιηγέομαι	tell in detail	विस्तार से बताना
G1556	ἐκδικέω	avenge	बदला लेना
G1557	ἐκδίκησις	vengeance	प्रतिशोध
G1558	ἔκδικος	avenging	बदला लेने वाला
G1559	ἐκδιώκω	persecute	सताना
G0156	αἰτία	cause	कारण
G1560	ἔκδοτος	handed over	सौंपा हुआ
G1561	ἐκδοχή	expectation	प्रत्याशा
G1562	ἐκδύω	strip	उतारना
G1563	ἐκεῖ	there	वहाँ
G1564	ἐκεῖθεν	from there	वहाँ से
G1565	ἐκεῖνος	that	वह
G1566	ἐκεῖσε	there	वहाँ को
G1567	ἐκζητέω	seek out	खोज करना
G1568	ἐκθαμβέω	be awe-struck	अवाक रह जाना
G1569	ἐκθαυμάζω	astonished	आश्चर्यचकित होना
G0157	αἰτίωμα	charge	आरोप
G1570	ἔκθετος	exposed	त्यक्त
G1571	ἐκκαθαίρω	cleanse	शुद्ध करना
G1572	ἐκκαίω	be enflamed	प्रज्ज्वलित होना
