# source=tw (human-translated Translation-Words article titles) + llm (remainder); anchored on the original lemma
strong	lemma_ref	en_ref	gloss
G0166	αἰώνιος	eternity, everlasting, eternal, forever	abadi, kekal, kekekalan
G0169	ἀκάθαρτος	demon, evil spirit, unclean spirit	setan, roh jahat, roh najis
G0172	ἄκακος	innocent	tak berdosa
G0173	ἄκανθα	thorn, thorn bush, thistle	duri, onak duri, semak berduri
G0174	ἀκάνθινος	thorn, thorn bush, thistle	duri, onak duri, semak berduri
G0175	ἄκαρπος	fruit, fruitful, unfruitful	buah, buah-buahan, berbuah, tidak berbuah
G0185	ἀκέραιος	innocent	tak berdosa
G0189	ἀκοή	report, reported, tell, reputation	kabar, kabar-kabar, terkabar
G0191	ἀκούω	report, reported, tell, reputation	kabar, kabar-kabar, terkabar
G0192	ἀκρασία	self-control, self-controlled	penguasaan diri, menguasai diri
G0200	ἀκρίς	locust	belalang pelahap
G0203	ἀκροβυστία	circumcise, circumcised, circumcision, uncircumcised	menyunat, disunat, penyunatan, tidak disunat
G0204	ἀκρογωνιαῖος	cornerstone	batu penjuru
G0207	Ἀκύλας	Aquila	Akwila
G0212	ἀλαζονία	arrogant, presumptuous	sombong, orang sombong, kesombongan
G0218	ἀλείφω	anoint, anointed, anointing	mengurapi, diurapi
G0225	ἀλήθεια	Holy Spirit, Spirit of God, Spirit of the Lord, Spirit	Roh Kudus, Roh Allah, Roh Tuhan, roh
G0231	ἁλιεύς	fisherman, fishermen, fisher	penjala ikan, nelayan
G0241	ἀλλογενής	alien, foreigner, sojourn	orang asing, asing, orang luar
G0245	ἀλλότριος	alien, foreigner, sojourn	orang asing, asing, orang luar
G0248	ἀλοάω	thresh	mengirik, pengirikan
G0256	Ἁλφαῖος	James (son of Alphaeus)	Yakobus (anak Alfeus)
G0257	ἅλων	thresh	mengirik, pengirikan
G0259	ἅλωσις	captive, captivate, captivity, catch	Tawanan, Para Tawanan, Menawan, Ditawan
G0264	ἁμαρτάνω	sin, sinful, sinner, sinning	dosa, penuh dosa, pendosa, berbuat berdosa
G0265	ἁμάρτημα	sin, sinful, sinner, sinning	dosa, penuh dosa, pendosa, berbuat berdosa
G0266	ἁμαρτία	sin, sinful, sinner, sinning	dosa, penuh dosa, pendosa, berbuat berdosa
G0268	ἁμαρτωλός	sin, sinful, sinner, sinning	dosa, penuh dosa, pendosa, berbuat berdosa
G0269	ἄμαχος	peace, peaceful, peacemaker	damai, kedamaian, pembuat perdamaian
G0270	ἀμάω	harvest, reap	panen, dipanen, mesin penunai, pemanen
G0273	ἄμεμπτος	blameless	tidak bercela
G0286	ἀμνός	lamb, Lamb of God	domba, Anak domba Allah
G0288	ἄμπελος	vine	anggur, pokok anggur
G0290	ἀμπελών	vineyard	kebun anggur, kebun-kebun anggur
G0299	ἄμωμος	blameless	tidak bercela
G0310	ἀναβοάω	cry, cry out, outcry	menangis, berseru, seruan, menjerit
G0312	ἀναγγέλλω	declare, proclaim, announce	pernyataan, menyatakan
G0313	ἀναγεννάω	born again, born of God, new birth	dilahirkan kembali, lahir dari Allah, lahir baru
G0318	ἀνάγκη	hard, harder	keras, lebih sulit, paling sulit, mengeras
G0319	ἀναγνωρίζω	know, knew, knowledge, known	mengetahui, pengetahuan, memberitahukan, mengetahui sebelumnya
G0322	ἀναδείκνυμι	appoint, appointed	menunjuk, ditunjuk
G0324	ἀναδέχομαι	receive, welcome, taken up, acceptance	menerima, diterima, penerima
G0327	ἀναζητέω	seek, search, look for	mencari, dicari, pencarian
G0331	ἀνάθεμα	curse, cursed, cursing	kutukan, terkutuk
G0332	ἀναθεματίζω	curse, cursed, cursing	kutukan, terkutuk
G0338	ἀναίτιος	innocent	tak berdosa
G0349	ἀνακράζω	cry, cry out, outcry	menangis, berseru, seruan, menjerit
G0350	ἀνακρίνω	discern, discernment, distinguish	arif, kearifan, membedakan, ketajaman
G0355	ἀναλόω	consume, devour	mengonsumsi, memakan, melahap, memakan habis
G0378	ἀναπληρόω	fulfill, fulfilled, carried out	menggenapi
G0386	ἀνάστασις	resurrection	kebangkitan
G0388	ἀνασταυρόω	crucify, crucified	menyalibkan
G0399	ἀναφέρω	bear, bearer, bore, borne	menanggung, tanggungan, pembawa
G0400	ἀναφωνέω	cry, cry out, outcry	menangis, berseru, seruan, menjerit
G0405	ἀνδραποδιστής		memperbudak, dalam belenggu
G0406	Ἀνδρέας	Andrew	Andreas
G0410	ἀνέγκλητος	blameless	tidak bercela
G0420	ἀνεξίκακος	patient, patience, impatient	sabar, kesabaran, tidak sabar
G0422	ἀνεπαίσχυντος	shame, ashamed, disgrace, humiliate	malu, memalukan, merasa malu, dipermalukan
G0423	ἀνεπίλημπτος	shame, ashamed, disgrace, humiliate	malu, memalukan, merasa malu, dipermalukan
G0430	ἀνέχω	bear, bearer, bore, borne	menanggung, tanggungan, pembawa
G0444	ἄνθρωπος	Son of Man, son of man	Anak Manusia, anak manusia
G0452	Ἅννας	Annas	Hanas
G0453	ἀνόητος	fool, foolish, folly	orang bodoh, bodoh, kebodohan
G0454	ἄνοια	fool, foolish, folly	orang bodoh, bodoh, kebodohan
G0458	ἀνομία	lawful, unlawful, not lawful, lawless	halal, halal, melanggar hukum, tidak halal
G0459	ἄνομος	lawful, unlawful, not lawful, lawless	halal, halal, melanggar hukum, tidak halal
G0462	ἀνόσιος	godly, godliness, ungodly, godless	saleh, kesalehan, fasik, murtad
G0476	ἀντίδικος	adversary, enemy	penentang, lawan-lawan, musuh, musuh-musuh
G0480	ἀντίκειμαι	adversary, enemy	penentang, lawan-lawan, musuh, musuh-musuh
G0485	ἀντιλογία	rebel, rebellion, rebellious, rebelliousness	pemberontak, pemberontak-pemberontak, mendurhaka, memberontak
G0489	ἀντιμισθία	reward, prize, deserve	upah, upahan, memberikan upah, pemberi upah
G0490	Ἀντιόχεια	Antioch	﻿ Antiokhia
G0491	Ἀντιοχεύς	Antioch	﻿ Antiokhia
G0497	ἀντιστρατεύομαι	soldier, warrior	tentara, pejuang, prajurit
G0498	ἀντιτάσσω	rebel, rebellion, rebellious, rebelliousness	pemberontak, pemberontak-pemberontak, mendurhaka, memberontak
G0500	ἀντίχριστος	antichrist	anti-kristus
G0506	ἀνυπότακτος	rebel, rebellion, rebellious, rebelliousness	pemberontak, pemberontak-pemberontak, mendurhaka, memberontak
G0513	ἀξίνη	ax	kapak, kapak-kapak
G0518	ἀπαγγέλλω	report, reported, tell, reputation	kabar, kabar-kabar, terkabar
G0519	ἀπάγχω	hang, hung	menggantungkan, digantung, gantung, tirai
G0525	ἀπαλλάσσω	free, freed, freedom, freeman	bebas, kebebasan, kemerdekaan
G0536	ἀπαρχή	firstfruit, firstfruits	buah sulung
G0538	ἀπατάω	deceive, lie, deception, illusion	menipu, mendustakan, penipu, pendusta
G0539	ἀπάτη	deceive, lie, deception, illusion	menipu, mendustakan, penipu, pendusta
G0558	ἀπελεύθερος	free, freed, freedom, freeman	bebas, kebebasan, kemerdekaan
G0568	ἀπέχω	possess, possessed, possession, dispossess	dimiliki, dimiliki, dimiliki, dimiliki
G0569	ἀπιστέω	faithless, unfaithful, unfaithfulness	tak beriman, kekafiran
G0570	ἀπιστία	believe, believer, belief, unbeliever	percaya, percaya pada, keyakinan
G0571	ἄπιστος	believe, believer, belief, unbeliever	percaya, percaya pada, keyakinan
G0579	ἀπόβλητος	reject, rejected, rejection	menolak, ditolak, penolakan
G0580	ἀποβολή	reject, rejected, rejection	menolak, ditolak, penolakan
G0586	ἀποδεκατόω	tenth, tithe	sepersepuluh, persepuluhan, berzakat, perpuluhan
G0588	ἀποδέχομαι	receive, welcome, taken up, acceptance	menerima, diterima, penerima
G0591	ἀποδίδωμι	reward, prize, deserve	upah, upahan, memberikan upah, pemberi upah
G0593	ἀποδοκιμάζω	reject, rejected, rejection	menolak, ditolak, penolakan
G0599	ἀποθνῄσκω	perish	binasa, dibinasakan, kebinasaan, dapat binasa
G0604	ἀποκαταλλάσσω	reconcile, reconciled, reconciliation	mendamaikan, didamaikan, rekonsiliasi
G0605	ἀποκατάστασις	restore, restoration	memulihkan, restorasi
G0618	ἀπολαμβάνω	receive, welcome, taken up, acceptance	menerima, diterima, penerima
G0622	ἀπόλλυμι	perish	binasa, dibinasakan, kebinasaan, dapat binasa
G0625	Ἀπολλῶς	Apollos	Apollos
G0629	ἀπολύτρωσις	redeem, redeemer, redemption	menebus, penebusan, penebus
G0635	ἀποπλανάω	deceive, lie, deception, illusion	menipu, mendustakan, penipu, pendusta
G0651	ἀποστολή	apostle, apostleship	rasul, kerasulan
G0652	ἀπόστολος	apostle, apostleship	rasul, kerasulan
G0677	ἀπρόσκοπος	blameless	tidak bercela
G0679	ἄπταιστος	stumble, reeling	tersandung, terantuk, terbentur, kesandung
G0683	ἀπωθέω	reject, rejected, rejection	menolak, ditolak, penolakan
G0684	ἀπώλεια	waste, wasted, wasteland, becomes weak	limbah, terbuang, menyia-nyiakan, tanah pembuangan
G0688	Ἀραβία	Arabia, Arabian	Arabia, orang Arabian
G0690	Ἄραψ	Arabia, Arabian	Arabia, orang Arabian
G0693	ἀργυροῦς	silver	perak
G0694	ἀργύριον	silver	perak
G0696	ἄργυρος	silver	perak
G0704	ἀρήν	lamb, Lamb of God	domba, Anak domba Allah
G0715	ἄρκος	bear	beruang, beruang-beruang
G0716	ἅρμα	chariot, charioteer	Kereta Perang, Kereta-kereta Perang, Kusir
G0720	ἀρνέομαι	reject, rejected, rejection	menolak, ditolak, penolakan
G0721	ἀρνίον	lamb, Lamb of God	domba, Anak domba Allah
G0722	ἀροτριάω	plow, plower, plowman, plowmen	bajak, dibajak, pembajak tanah, mata bajak
G0723	ἄροτρον	plow, plower, plowman, plowmen	bajak, dibajak, pembajak tanah, mata bajak
G0726	ἁρπάζω	seize, seizure, capture	merebut, direbut, penyitaan
G0728	ἀρραβών	pledge	ikrar, diikrarkan
G0740	ἄρτος	bread	Roti
G0743	ἀρχάγγελος	angel, archangel	malaikat, penghulu malaikat
G0746	ἀρχή	rule, reign, ruler, prefect	aturan, peraturan-peraturan, menguasai, penguasa
G0747	ἀρχηγός	prince, princess, governor, provincial governor	pangeran, putra mahkota, putri, putri
G0748	ἀρχιερατικός	high priest, chief priest	imam besar
G0749	ἀρχιερεύς	high priest, chief priest	imam besar
G0750	ἀρχιποίμην	shepherd, herder, pastor	gembala, menggembalakan, penggembalaan
G0754	ἀρχιτελώνης	tax, tribute, taxation, taxpayer	cukai, pajak, kena pajak, perpajakan
G0757	ἄρχω	rule, reign, ruler, prefect	aturan, peraturan-peraturan, menguasai, penguasa
G0758	ἄρχων	rule, reign, ruler, prefect	aturan, peraturan-peraturan, menguasai, penguasa
G0760	Ἀσάφ	Asa	Asa
G0763	ἀσέβεια	godly, godliness, ungodly, godless	saleh, kesalehan, fasik, murtad
G0765	ἀσεβής	godly, godliness, ungodly, godless	saleh, kesalehan, fasik, murtad
G0768	Ἀσήρ	Asher	Asyer
G0773	Ἀσία	Asia	Asia
G0779	ἀσκός	wine, wineskin, new wine	anggur, alat pemeras anggur, penekan anggur, kantung anggur
G0801	ἀσύνετος	fool, foolish, folly	orang bodoh, bodoh, kebodohan
G0808	ἀσχημοσύνη	shame, ashamed, disgrace, humiliate	malu, memalukan, merasa malu, dipermalukan
G0818	ἀτιμάζω	shame, ashamed, disgrace, humiliate	malu, memalukan, merasa malu, dipermalukan
G0819	ἀτιμία	dishonor, dishonored, dishonorable	menghina, hina
G0824	ἄτοπος	wrong, wronged, wrongdoer, mistreat	salah, pelanggar, berbuat salah, menganiaya
G0831	αὐθεντέω	authority	kekuasaan
G0832	αὐλέω	flute, pipe	serunai, serunai-serunai, seruling, seruling-seruling
G0833	αὐλή	palace, house	istana
G0834	αὐλητής	flute, pipe	serunai, serunai-serunai, seruling, seruling-seruling
G0836	αὐλός	flute, pipe	serunai, serunai-serunai, seruling, seruling-seruling
G0845	αὐτόπτης	testimony, testify, witness, eyewitness	kesaksian, bersaksi, saksi, saksi-saksi
G0853	ἀφανίζω	perish	binasa, dibinasakan, kebinasaan, dapat binasa
G0859	ἄφεσις	forgive, forgiven, forgiveness, pardon	mengampuni, pengampunan
G0863	ἀφίημι	forgive, forgiven, forgiveness, pardon	mengampuni, pengampunan
G0877	ἀφροσύνη	fool, foolish, folly	orang bodoh, bodoh, kebodohan
G0878	ἄφρων	fool, foolish, folly	orang bodoh, bodoh, kebodohan
G0881	Ἀχάζ	Ahaz	Ahas
G0892	ἄχυρον	chaff	Sekam
G0896	Βάαλ	Baal	Baal
G0897	Βαβυλών	Babylon, Babylonia, Babylonian	Babel, orang Babel
G0903	Βαλαάμ	Balaam	Bileam
G0906	βάλλω	sow, sower, plant, planted	menanam, ditanam kembali, ditransplantasikan, menabur benih
G0907	βαπτίζω	baptize, baptized, baptism	membaptis, baptisan
G0908	βάπτισμα	baptize, baptized, baptism	membaptis, baptisan
G0909	βαπτισμός	baptize, baptized, baptism	membaptis, baptisan
G0910	βαπτιστής	John (the Baptist)	Yohanes (Pembaptis)
G0912	Βαραββᾶς	Barabbas	Barabas
G0918	Βαρθολομαῖος	Bartholomew	Bartolomeus
G0920	Βαριωνᾶ	Peter, Simon Peter, Cephas	Petrus, Simon Petrus, Kefas
G0921	Βαρναβᾶς	Barnabas	Barnabas
G0928	βασανίζω	torment, tormented, tormentor	siksaan, disiksa, menyiksa, para penyiksa
G0929	βασανισμός	torment, tormented, tormentor	siksaan, disiksa, menyiksa, para penyiksa
G0931	βάσανος	torment, tormented, tormentor	siksaan, disiksa, menyiksa, para penyiksa
G0932	βασιλεία	kingdom of God, kingdom of heaven	kerajaan Allah, kerajaan Surga
G0934	βασίλειος	palace, house	istana
G0935	βασιλεύς	king, kingship	raja, kerajaan
G0936	βασιλεύω	reign, rule	bertahta, memerintah
G0937	βασιλικός	royal, royalty, king’s, queen’s	kerajaan, keluarga kerajaan
G0938	βασίλισσα	queen	ratu, ratu-ratu
G0941	βαστάζω	bear, bearer, bore, borne	menanggung, tanggungan, pembawa
G0946	βδέλυγμα	abomination, abominable	yang dibenci
G0947	βδελυκτός	detest, detested, detestable	benci, jijik, membenci, menjijikkan
G0948	βδελύσσομαι	abomination, abominable	yang dibenci
G0950	βεβαιόω	confirm, confirmation	meneguhkan, peneguhan, diteguhkan, konfirmasi
G0952	βέβηλος	profane, profaned	kotor, dinajiskan, mencemarkan nama baik
G0953	βεβηλόω	profane, profaned	kotor, dinajiskan, mencemarkan nama baik
G0954	Βεελζεβούλ	Beelzebul	Beelzebul
G0958	Βενιαμείν	Benjamin, Benjaminite	Benyamin
G0960	Βέροια	Berea	Berea
G0961	Βεροιαῖος	Berea	Berea
G0963	Βηθανία	Bethany	Betania
G0965	Βηθλέεμ	Bethlehem, Ephrathah	Betlehem, Efrata
G0968	βῆμα	throne, enthroned	takhta, dinobatkan
G0974	βιβλαρίδιον	scroll	gulungan, gulungan-gulungan
G0975	βιβλίον	scroll	gulungan, gulungan-gulungan
G0976	βίβλος	Book of Life	Kitab Kehidupan
G0987	βλασφημέω	blasphemy, blaspheme, blasphemous	penghujatan, menghujat
G0988	βλασφημία	blasphemy, blaspheme, blasphemous	penghujatan, menghujat
G0989	βλάσφημος	blasphemy, blaspheme, blasphemous	penghujatan, menghujat
G0991	βλέπω	watch, guard, take heed, beware	menonton, mengawasi, menyaksikan, penjaga
G0994	βοάω	cry, cry out, outcry	menangis, berseru, seruan, menjerit
G0999	βόθυνος	pit, pitfall, trench, cistern	lubang, jebakan
G1000	βολή	throwing	jangkauan
G1001	βολίζω	sound	mengukur
G1002		arrow	panah
G1003	Βόες	Boaz	Boas
G1004	βόρβορος	mire	lumpur
G1005	βορρᾶς	north	utara
G1006	βόσκω	feed	menggembalakan
G1007	Βοσόρ	Beor	Beor
G1008	βοτάνη	crop	tumbuhan
G1009	βότρυς	bunch of grapes	ikat anggur
G1010	βουλευτής	council	majelis
G1011	βουλεύω	advice, advise, advisor, counsel	nasihat, konselor, saran, penasihat
G1012	βουλή	advice, advise, advisor, counsel	nasihat, konselor, saran, penasihat
G1013	βούλημα	will of God	kehendak Allah
G1014	βούλομαι	plan	menghendaki
G1015	βουνός	hill	bukit
G1016	βοῦς	cow, bull, calf, cattle	sapi, lembu, banteng, anak lembu
G1017	βραβεῖον	prize	hadiah
G1018	βραβεύω	rule, reign, ruler, prefect	aturan, peraturan-peraturan, menguasai, penguasa
G1019	βραδύνω	delay	menunda
G1020	βραδυπλοέω	sail slowly	berlayar lambat
G1021	βραδύς	slow	lambat
G1022	βραδύτης	slowness	kelambatan
G1023	βραχίων	arm	lengan
G1024	βραχύς	little	pendek
G1025	βρέφος	infant	bayi
G1026	βρέχω	rain down	hujan
G1027	βροντή	thunder	guntur
G1028	βροχή	rain	hujan
G1029	βρόχος	restraint	ikatan
G1030	βρυγμός	gnashing	decitan
G1031	βρύχω	gnash	menggertakkan
G1032	βρύω	pour	memancar
G1033	βρῶμα	food	makanan
G1034	βρώσιμος	edible	dapat dimakan
G1035	βρῶσις	eating	makanan
G1036	βυθίζω	sink	tenggelam
G1037	βυθός	deep	kedalaman
G1038	βυρσεύς	tanner	pengrajin kulit
G1039	βύσσινος	fine linen	kain halus
G1040	βύσσος	fine linen	kain halus
G1041	βωμός	altar	mezbah
G1042	Γαββαθᾶ	Gabbatha	Gabbata
G1043	Γαβριήλ	Gabriel	Gabriel
G1044	γάγγραινα	gangrene	gangren
G1045	Γάδ	Gad	Gad
G1046	Γαδαρηνός	Gadara	Gadarena
G1047	γάζα	treasury	perbendaharaan
G1048	Γάζα	Gaza	Gaza
G1049	γαζοφυλάκιον	treasury	perbendaharaan
G1050	Γάϊος	Gaius	Gayus
G1051	γάλα	milk	susu
G1052	Γαλάτης	Galatia, Galatians	Galatia, Galatia
G1053	Γαλατία	Galatia, Galatians	Galatia, Galatia
G1054	Γαλατικός	Galatia, Galatians	Galatia, Galatia
G1055	γαλήνη	calm	tenang
G1056	Γαλιλαία	Galilee, Galilean	Galilea, Orang Galilea, orang-orang Galilea
G1057	Γαλιλαῖος	Galilee, Galilean	Galilea, Orang Galilea, orang-orang Galilea
G1058	Γαλλίων	Gallio	Galio
G1059	Γαμαλιήλ	Gamaliel	Gamaliel
G1060	γαμέω	marry	kawin
G1061	γαμίζω	give in marriage	mengawinkan
G1062	γάμος	feast, feasting	pesta
G1064	γαστήρ	womb	rahim, kandungan
G1065	γέ	indeed	sesungguhnya
G1066	Γεδεών	Gideon	Gideon
G1067	Γέεννα	hell, lake of fire	neraka, lautan api
G1068	Γεθσημανεί	Gethsemane	Getsemani
G1069	γείτων	neighbor, neighborhood, neighboring	tetangga, bertetangga
G1070	γελάω	laugh	tertawa
G1071	γέλως	laughter	tawa
G1072	γεμίζω	fill	mengisi
G1073	γέμω	be full	penuh
G1074	γενεά	generation	generasi
G1075	γενεαλογέω	trace genealogy	menelusuri keturunan
G1076	γενεαλογία	genealogy	silsilah
G1077	γενέσια	birthday	ulang tahun
G1078	γένεσις	origin	asal
G1079	γενετή	birth	kelahiran
G1080	γεννάω	born again, born of God, new birth	dilahirkan kembali, lahir dari Allah, lahir baru
G1081	γένημα	fruit, fruitful, unfruitful	buah, buah-buahan, berbuah, tidak berbuah
G1082	Γεννησαρέτ	Sea of Galilee, Sea of Kinnereth, lake of Gennesaret, Sea of Tiberias	Laut Galilea, Laut Kineret, Danau Genesaret, Laut Tiberias
G1083		birth	kelahiran
G1084	γεννητός	born	lahir
G1085	γένος	descend, descendant	keturunan
G1086		Gerasene	Gerasena
G1087	γερουσία	council of elders	dewan tua
G1088	γέρων	old man	orang tua
G1089	γεύομαι	taste	mencicipi
G1090	γεωργέω	farm	mengusahakan
G1091	γεώργιον	farm field	ladang
G1092	γεωργός	farmer	petani
G1093	γῆ	earth, land	bumi, duniawi
G1094	γῆρας	old age	usia tua
G1095	γηράσκω	grow old	menua
G1096	γίνομαι	be	menjadi
G1097	γινώσκω	know, knew, knowledge, known	mengetahui, pengetahuan, memberitahukan, mengetahui sebelumnya
G1098	γλεῦκος	sweet wine	anggur manis
G1099	γλυκύς	sweet	manis
G1100	γλῶσσα	tongue, language	lidah, lidah-lidah
G1101	γλωσσόκομον	moneybag	kas
G1102	γναφεύς	one who bleaches	penjemput
G1103	γνήσιος	genuine	asli
G1104	γνησίως	genuinely	sungguh-sungguh
G1105	γνόφος	darkness	kegelapan
G1106	γνώμη	judge, judgment	Menghakimi, penghakiman
G1107	γνωρίζω	know, knew, knowledge, known	mengetahui, pengetahuan, memberitahukan, mengetahui sebelumnya
G1108	γνῶσις	know, knew, knowledge, known	mengetahui, pengetahuan, memberitahukan, mengetahui sebelumnya
G1109	γνώστης	expert in	ahli
G1110	γνωστός	know, knew, knowledge, known	mengetahui, pengetahuan, memberitahukan, mengetahui sebelumnya
G1111	γογγύζω	murmur	bersungut
G1112	γογγυσμός	murmuring	bisikan
G1113	γογγυστής	murmurer	pembisik
G1114	γόης	imposter	penipu
G1115	Γολγοθᾶ	Golgotha	Golgota
G1116	Γόμορρα	Gomorrah	Gomora
G1117	γόμος	cargo	muatan
G1118	γονεύς	parent	orang tua
G1119	γόνυ	knee	lutut
G1120	γονυπετέω	bow, bow down, kneel, bend	berlutut, membungkuk, bersujud
G1121	γράμμα	word of God, word of Yahweh, word of the Lord, word of truth	firman Allah, firman-firman Tuhan, firman TUHAN, firman kebenaran
G1122	γραμματεύς	scribe	penulis, pengarang
G1123	γραπτός	written	tertulis
G1124	γραφή	word of God, word of Yahweh, word of the Lord, word of truth	firman Allah, firman-firman Tuhan, firman TUHAN, firman kebenaran
G1125	γράφω	write	menulis
G1126	γραώδης	old wives’ tale	dongeng tua
G1127	γρηγορέω	watch, guard, take heed, beware	menonton, mengawasi, menyaksikan, penjaga
G1128	γυμνάζω	train	melatih
G1129	γυμνασία	training	latihan
G1130	γυμνιτεύω	be naked	telanjang
G1131	γυμνός	naked	telanjang
G1132	γυμνότης	nakedness	ketelanjangan
