# LLM direction adjudication (claude-haiku-4-5-20251001) of build_hierarchy_dag.py's dropped-edge
# pool (dropped_edges.tsv). verdict: agree = Haiku confirmed broader_strong as
# the broader term; disagree = Haiku picked narrower_strong instead. Side (a/b)
# was randomized per pair before prompting. See adjudicate_direction_llm.py.
broader_strong	narrower_strong	sources	verdict
H3548	H0376	apposition:1	disagree
H3548	H0802	apposition:1	disagree
H3548	H1121	apposition:10	disagree
H3548	H3605	apposition:1	disagree
H3556	H3605	apposition:1	disagree
H3556	H6635	apposition:1	agree
H3556	H8064	apposition:1	agree
H3563	H2534	apposition:1	agree
H3610	H8162	apposition:1	agree
H3618	H0802	apposition:1	disagree
H3627	H0376	apposition:1	agree
H3627	H0430	apposition:2	agree
H3627	H1004	apposition:1	agree
H3669	H0776	apposition:3	agree
H3669	H3427	apposition:2	disagree
H3669	H4428	apposition:2	disagree
H3701	H0430	apposition:1	disagree
H3701	H1004	apposition:1	agree
H3778	H1471	apposition:1	agree
H3824	H0001	apposition:1	agree
H3851	H0068	apposition:1	agree
H3851	H1259	apposition:1	agree
H3871	H1285	apposition:2	disagree
H3878	H0376	apposition:1	disagree
H3878	H0802	apposition:2	disagree
H3878	H1004	apposition:1	disagree
H3878	H1121	apposition:3	agree
H3878	H1323	apposition:1	disagree
H3878	H3548	apposition:1	disagree
H3878	H3605	apposition:1	agree
H3882	H5175	apposition:2	disagree
H3914	H4174	apposition:1	agree
H3914	H4639	apposition:1	agree
H3974	H1419	apposition:1	disagree
H4033	H0776	apposition:2	agree
H4033	H3605	apposition:1	disagree
H4057	H0776	apposition:2	agree
H4057	H3605	apposition:1	agree
H4093	H0376	apposition:1	agree
H4150	H0376	apposition:1	agree
H4150	H8034	apposition:1	agree
H4194	H1121	apposition:1	agree
H4194	H5650	apposition:1	disagree
H4196	H0430	apposition:3	disagree
H4196	H3027	apposition:1	agree
H4210	H7892	apposition:2	disagree
H4268	H0430	apposition:1	agree
H4275	H2506	apposition:1	disagree
H4283	H3117	apposition:1	disagree
H4294	H0001	apposition:2	disagree
H4294	H1121	apposition:1	agree
H4294	H7626	apposition:1	agree
H4334	H4467	apposition:1	disagree
H4334	H5892	apposition:1	agree
H4407	H5892	apposition:1	disagree
H4421	H2428	apposition:1	disagree
H4428	H1121	apposition:1	agree
H4437	H4428	apposition:1	agree
H4437	H6346	apposition:1	agree
H4438	H4428	apposition:2	agree
H4455	H3499	apposition:1	disagree
H4581	H5869	apposition:1	disagree
H4581	H8597	apposition:1	disagree
H4583	H8064	apposition:2	disagree
H4682	H3899	apposition:1	disagree
H4682	H6040	apposition:1	agree
H4687	H0113	apposition:1	disagree
H4687	H0430	apposition:2	disagree
H4687	H1121	apposition:1	agree
H4720	H0430	apposition:1	agree
H4720	H5315	apposition:1	agree
H4720	H5797	apposition:1	agree
H4720	H5869	apposition:1	agree
H4725	H0776	apposition:1	agree
H4725	H2022	apposition:1	agree
H4725	H3027	apposition:1	agree
H4725	H8064	apposition:2	agree
H4735	H0120	apposition:1	agree
H4735	H2543	apposition:1	agree
H4735	H5315	apposition:1	agree
H4735	H6629	apposition:1	agree
H4756	H4428	apposition:1	agree
H4794	H1121	apposition:1	disagree
H4818	H0113	apposition:1	agree
H4818	H1004	apposition:1	agree
H4854	H1121	apposition:1	agree
H4854	H1323	apposition:1	agree
H4864	H0430	apposition:1	agree
H4864	H5650	apposition:1	disagree
H4885	H7151	apposition:1	agree
H4899	H2233	apposition:2	agree
H4908	H0168	apposition:1	agree
H4908	H3605	apposition:1	agree
H4908	H3627	apposition:1	agree
H4931	H0430	apposition:1	disagree
H4940	H1121	apposition:7	agree
H4940	H3878	apposition:1	disagree
H5002	H0430	apposition:1	agree
H5002	H6635	apposition:1	disagree
H5016	H5030	apposition:1	disagree
H5030	H3820	apposition:1	agree
H5031	H0802	apposition:1	disagree
H5104	H0776	apposition:1	agree
H5104	H3027	apposition:1	agree
H5104	H3605	apposition:1	agree
H5158	H5869	apposition:1	disagree
H5159	H0251	apposition:1	disagree
H5159	H2022	apposition:1	disagree
H5257	H0776	apposition:1	agree
H5257	H3427	apposition:1	disagree
H5278	H0430	apposition:1	agree
H5288	H0376	apposition:1	disagree
H5288	H0430	apposition:1	disagree
H5288	H1004	apposition:1	agree
H5288	H1121	apposition:1	disagree
H5288	H4428	apposition:1	disagree
H5288	H5030	apposition:1	disagree
H5288	H5650	apposition:1	disagree
H5315	H1121	apposition:1	agree
H5359	H8141	apposition:1	disagree
H5360	H1964	apposition:1	disagree
H5387	H0001	apposition:3	disagree
H5387	H1004	apposition:1	agree
H5387	H1121	apposition:6	disagree
H5387	H4150	apposition:1	agree
H5387	H7218	apposition:4	disagree
H5411	H0802	apposition:1	agree
H5411	H1121	apposition:1	disagree
H5411	H1323	apposition:1	agree
H5439	H1323	apposition:1	disagree
H5439	H6430	apposition:1	disagree
H5483	H5971	apposition:1	disagree
H5566	H2145	apposition:1	agree
H5566	H5347	apposition:1	agree
H5566	H8403	apposition:1	agree
H5608	H6635	apposition:1	agree
H5608	H8269	apposition:1	disagree
H5612	H0430	apposition:1	disagree
H5612	H8451	apposition:1	agree
H5631	H0802	apposition:2	disagree
H5631	H8104	apposition:3	agree
H5631	H8269	apposition:2	agree
H5632	H5461	apposition:1	disagree
H5632	H6346	apposition:1	agree
H5650	H0001	apposition:5	agree
H5650	H0376	apposition:1	disagree
H5650	H1004	apposition:1	disagree
H5650	H1121	apposition:1	agree
H5650	H4428	apposition:1	agree
H5668	H0269	apposition:1	disagree
H5668	H5650	apposition:1	agree
H5674	H4421	apposition:1	agree
H5676	H4217	apposition:1	disagree
H5676	H8121	apposition:1	agree
H5680	H5650	apposition:1	disagree
H5695	H1121	apposition:1	disagree
H5695	H4541	apposition:2	agree
H5695	H8141	apposition:1	agree
H5713	H0001	apposition:1	agree
H5739	H1004	apposition:1	agree
H5739	H1471	apposition:1	agree
H5739	H2416	apposition:1	disagree
H5739	H3605	apposition:1	disagree
H5869	H0430	apposition:1	agree
H5869	H1121	apposition:2	agree
H5892	H0001	apposition:2	agree
H5892	H0376	apposition:1	disagree
H5892	H0430	apposition:1	agree
H5892	H1004	apposition:1	disagree
H5892	H3605	apposition:1	agree
H5895	H1121	apposition:1	agree
H5930	H1320	apposition:1	agree
H5930	H1818	apposition:1	disagree
H5945	H0776	apposition:1	disagree
H5945	H8064	apposition:1	agree
H5971	H3605	apposition:5	agree
H6038	H3374	apposition:1	disagree
H6160	H3220	apposition:3	agree
H6231	H1323	apposition:1	disagree
H6231	H1330	apposition:1	disagree
H6363	H1060	apposition:1	agree
H6363	H3605	apposition:1	disagree
H6382	H0001	apposition:1	agree
H6382	H0413	apposition:1	disagree
H6382	H1368	apposition:1	agree
H6382	H5704	apposition:1	agree
H6382	H7965	apposition:1	agree
H6382	H8269	apposition:1	disagree
H6389	H4325	apposition:1	disagree
H6440	H0430	apposition:8	disagree
H6440	H0776	apposition:1	agree
H6440	H1121	apposition:1	disagree
H6440	H3605	apposition:1	agree
H6440	H4428	apposition:2	agree
H6485	H8269	apposition:2	agree
H6499	H1121	apposition:23	disagree
H6499	H1241	apposition:23	disagree
H6522	H0776	apposition:1	agree
H6522	H1706	apposition:1	agree
H6522	H2100	apposition:1	disagree
H6522	H2461	apposition:1	agree
H6529	H1121	apposition:1	agree
H6529	H1320	apposition:1	disagree
H6529	H1323	apposition:1	agree
H6529	H5158	apposition:1	disagree
H6529	H6086	apposition:1	agree
H6547	H1419	apposition:1	agree
H6547	H4428	apposition:23	agree
H6588	H2233	apposition:1	disagree
H6588	H8267	apposition:1	disagree
H6635	H0430	apposition:45	agree
H6635	H2022	apposition:1	disagree
H6635	H4428	apposition:1	agree
H6635	H5892	apposition:1	disagree
H6635	H5971	apposition:1	agree
H6677	H0251	apposition:1	agree
H6731	H5145	apposition:1	disagree
H6731	H6944	apposition:1	agree
H6754	H8251	apposition:1	agree
H6918	H4428	apposition:1	disagree
H6944	H2022	apposition:2	disagree
H6944	H8064	apposition:2	disagree
H6953	H1121	apposition:1	disagree
H6956	H4720	apposition:1	disagree
H6956	H5375	apposition:1	disagree
H6963	H0430	apposition:3	agree
H7017	H2859	apposition:1	disagree
H7045	H1121	apposition:1	agree
H7121	H0001	apposition:1	agree
H7121	H4294	apposition:1	agree
H7121	H5387	apposition:1	agree
H7130	H8179	apposition:1	agree
H7148	H0376	apposition:1	agree
H7148	H8034	apposition:1	agree
H7218	H0001	apposition:1	agree
H7218	H3548	apposition:1	agree
H7218	H4428	apposition:2	agree
H7307	H1121	apposition:2	disagree
H7307	H1419	apposition:1	disagree
H7307	H3548	apposition:1	agree
H7307	H4428	apposition:1	disagree
H7311	H1121	apposition:1	disagree
H7323	H7392	apposition:1	agree
H7342	H0776	apposition:1	agree
H7342	H1706	apposition:1	disagree
H7342	H2100	apposition:1	agree
H7342	H2461	apposition:1	disagree
H7358	H1060	apposition:1	agree
H7358	H3605	apposition:1	disagree
H7386	H1100	apposition:1	agree
H7386	H1121	apposition:1	disagree
H7393	H5971	apposition:1	disagree
H7416	H0776	apposition:1	agree
H7416	H1706	apposition:1	disagree
H7416	H2132	apposition:1	disagree
H7416	H8081	apposition:1	disagree
H7462	H1697	apposition:1	disagree
H7462	H3605	apposition:1	disagree
H7474	H3303	apposition:1	disagree
H7523	H5315	apposition:1	disagree
H7545	H4639	apposition:1	disagree
H7558	H4428	apposition:1	disagree
H7605	H0802	apposition:1	agree
H7605	H1121	apposition:1	agree
H7605	H1323	apposition:1	agree
H7605	H3878	apposition:1	agree
H7607	H0001	apposition:1	agree
H7611	H3605	apposition:1	disagree
H7622	H1323	apposition:2	agree
H7626	H2022	apposition:2	disagree
H7676	H3117	apposition:1	disagree
H7676	H6944	apposition:1	agree
H7677	H2146	apposition:1	disagree
H7677	H4744	apposition:2	disagree
H7677	H6944	apposition:2	agree
H7677	H8643	apposition:1	disagree
H7704	H1004	apposition:2	disagree
H7778	H0251	apposition:1	disagree
H7778	H0802	apposition:1	agree
H7778	H1121	apposition:1	disagree
H7778	H1323	apposition:1	agree
H7891	H0802	apposition:1	disagree
H7891	H1121	apposition:2	agree
H7891	H1323	apposition:1	agree
H7892	H0376	apposition:1	agree
H7892	H0430	apposition:1	disagree
H8034	H0430	apposition:1	agree
H8034	H2022	apposition:1	disagree
H8034	H3548	apposition:1	agree
H8034	H7218	apposition:1	agree
H8048	H0776	apposition:2	agree
H8048	H5769	apposition:1	disagree
H8048	H6160	apposition:1	disagree
H8121	H3605	apposition:1	disagree
H8121	H6635	apposition:1	disagree
H8121	H8064	apposition:1	disagree
H8130	H1323	apposition:1	agree
H8130	H6430	apposition:1	disagree
H8184	H0776	apposition:1	agree
H8184	H1706	apposition:1	disagree
H8184	H2132	apposition:1	agree
H8184	H8081	apposition:1	agree
H8316	H0784	apposition:1	agree
H8333	H4639	apposition:1	agree
H8333	H5688	apposition:1	disagree
H8384	H0776	apposition:1	disagree
H8384	H1706	apposition:1	agree
H8384	H2132	apposition:1	agree
H8384	H8081	apposition:1	agree
H8441	H0430	apposition:1	disagree
H8451	H0376	apposition:1	disagree
H8451	H0430	apposition:2	agree
H8451	H5650	apposition:1	agree
H8478	H0001	apposition:6	disagree
H8478	H1121	apposition:1	disagree
H8478	H3548	apposition:1	disagree
H8478	H3605	apposition:1	disagree
H8478	H4428	apposition:1	agree
H8510	H8077	apposition:1	agree
H8544	H2145	apposition:1	agree
H8544	H5347	apposition:1	agree
H8544	H8403	apposition:1	agree
H8605	H1121	apposition:1	agree
