# semantic field per MACULA lexeme (high+prior tiers, homograph-precise); CC0
strong	lexeme	lexeme_gloss	neighbor_strong	neighbor_lexeme	neighbor_gloss	relation	confidence	score
H0006	hbo:0006#2	certainly.(perish)	H7843	hbo:7843#1	destroy	similar	prior	0.5
H0006	hbo:0006#2	certainly.(perish)	H7843	hbo:7843#3	it.had.corrupted	similar	prior	0.5
H0006	hbo:0006#2	certainly.(perish)	H7843	hbo:7843#2	tashcheth	similar	prior	0.5
H0006	hbo:0006#2	certainly.(perish)	H7843	hbo:7843#_nosense		similar	prior	0.5
H0006	hbo:0006#2	certainly.(perish)	H4191	hbo:4191#1	he.died	similar	prior	0.5
H0006	hbo:0006#2	certainly.(perish)	H4191	hbo:4191#_nosense		similar	prior	0.5
H0006	hbo:0006#2	certainly.(perish)	H4191	hbo:4191#2	someone.will.die	similar	prior	0.5
H0006	hbo:0006#2	certainly.(perish)	H0009	hbo:0009#1	thing.lost	similar	prior	0.5
H0006	hbo:0006#2	certainly.(perish)	H0010	hbo:0010a	Abaddon	similar	prior	0.5
H0006	hbo:0006#2	certainly.(perish)	H0013	hbo:0013	the.destruction	similar	prior	0.5
H0006	hbo:0006#2	certainly.(perish)	H0012	hbo:0012	destruction	similar	prior	0.5
H0006	hbo:0006#2	certainly.(perish)	H0007	hbo:0007	destroy	similar	prior	0.5
H0006	hbo:0006#3	wandering	H3772	hbo:3772#1	it.will.be.cut.off	similar	prior	0.5
H0006	hbo:0006#3	wandering	H3772	hbo:3772#_nosense		similar	prior	0.5
H0006	hbo:0006#3	wandering	H3772	hbo:3772#2	it.was.chewed	similar	prior	0.5
H0006	hbo:0006#3	wandering	H7843	hbo:7843#1	destroy	similar	prior	0.5
H0006	hbo:0006#3	wandering	H7843	hbo:7843#3	it.had.corrupted	similar	prior	0.5
H0006	hbo:0006#3	wandering	H7843	hbo:7843#2	tashcheth	similar	prior	0.5
H0006	hbo:0006#3	wandering	H7843	hbo:7843#_nosense		similar	prior	0.5
H0006	hbo:0006#3	wandering	H8045	hbo:8045#1	destroy	similar	prior	0.5
H0006	hbo:0006#3	wandering	H8045	hbo:8045#_nosense		similar	prior	0.5
H0006	hbo:0006#3	wandering	H4191	hbo:4191#1	he.died	similar	prior	0.5
H0006	hbo:0006#3	wandering	H4191	hbo:4191#_nosense		similar	prior	0.5
H0006	hbo:0006#3	wandering	H4191	hbo:4191#2	someone.will.die	similar	prior	0.5
H0006	hbo:0006#3	wandering	H0009	hbo:0009#1	thing.lost	similar	prior	0.5
H0006	hbo:0006#3	wandering	H0010	hbo:0010a	Abaddon	similar	prior	0.5
H0006	hbo:0006#3	wandering	H0013	hbo:0013	the.destruction	similar	prior	0.5
H0006	hbo:0006#3	wandering	H0012	hbo:0012	destruction	similar	prior	0.5
H0006	hbo:0006#3	wandering	H0007	hbo:0007	destroy	similar	prior	0.5
H0006	hbo:0006#_nosense		H8045	hbo:8045#_nosense		similar	high	0.905
H0006	hbo:0006#_nosense		H8045	hbo:8045#1	destroy	similar	high	0.853
H0006	hbo:0006#_nosense		H3772	hbo:3772#_nosense		similar	high	0.809
H0006	hbo:0006#_nosense		H7843	hbo:7843#_nosense		similar	high	0.695
H0006	hbo:0006#_nosense		H7843	hbo:7843#1	destroy	similar	high	0.69
H0006	hbo:0006#_nosense		H3772	hbo:3772#1	it.will.be.cut.off	similar	prior	0.5
H0006	hbo:0006#_nosense		H3772	hbo:3772#2	it.was.chewed	similar	prior	0.5
H0006	hbo:0006#_nosense		H7843	hbo:7843#3	it.had.corrupted	similar	prior	0.5
H0006	hbo:0006#_nosense		H7843	hbo:7843#2	tashcheth	similar	prior	0.5
H0006	hbo:0006#_nosense		H4191	hbo:4191#1	he.died	similar	prior	0.5
H0006	hbo:0006#_nosense		H4191	hbo:4191#_nosense		similar	prior	0.5
H0006	hbo:0006#_nosense		H4191	hbo:4191#2	someone.will.die	similar	prior	0.5
H0006	hbo:0006#_nosense		H0009	hbo:0009#1	thing.lost	similar	prior	0.5
H0006	hbo:0006#_nosense		H0010	hbo:0010a	Abaddon	similar	prior	0.5
H0006	hbo:0006#_nosense		H0013	hbo:0013	the.destruction	similar	prior	0.5
H0006	hbo:0006#_nosense		H0012	hbo:0012	destruction	similar	prior	0.5
H0006	hbo:0006#_nosense		H0007	hbo:0007	destroy	similar	prior	0.5
H0008	hbo:0008	destruction	H0009	hbo:0009#1	thing.lost	similar	prior	0.5
H0008	hbo:0008	destruction	H0013	hbo:0013	the.destruction	similar	prior	0.5
H0008	hbo:0008	destruction	H0010	hbo:0010a	Abaddon	similar	prior	0.5
H0008	hbo:0008	destruction	H0012	hbo:0012	destruction	similar	prior	0.5
H0008	hbo:0008	destruction	H0006	hbo:0006#1	destroy	similar	prior	0.5
H0008	hbo:0008	destruction	H0006	hbo:0006#2	certainly.(perish)	similar	prior	0.5
H0008	hbo:0008	destruction	H0006	hbo:0006#_nosense		similar	prior	0.5
H0008	hbo:0008	destruction	H0006	hbo:0006#3	wandering	similar	prior	0.5
H0008	hbo:0008	destruction	H0007	hbo:0007	destroy	similar	prior	0.5
H0009	hbo:0009#1	thing.lost	H0012	hbo:0012	destruction	similar	prior	0.5
H0009	hbo:0009#1	thing.lost	H0010	hbo:0010a	Abaddon	similar	prior	0.5
H0012	hbo:0012	destruction	H0010	hbo:0010a	Abaddon	similar	prior	0.5
H0013	hbo:0013	the.destruction	H0010	hbo:0010a	Abaddon	similar	prior	0.5
H0013	hbo:0013	the.destruction	H0009	hbo:0009#1	thing.lost	similar	prior	0.5
H0013	hbo:0013	the.destruction	H0012	hbo:0012	destruction	similar	prior	0.5
H0014	hbo:0014#1	he.was.willing	H2974	hbo:2974#1	be.willing	similar	high	0.82
H0014	hbo:0014#1	he.was.willing	H3985	hbo:3985#1	he.refused	antonym	recall	0.707
H0014	hbo:0014#1	he.was.willing	H0225	hbo:0225#1	we.will.agree	similar	prior	0.5
H0014	hbo:0014#1	he.was.willing	H7521	hbo:7521#_nosense		similar	prior	0.5
H0014	hbo:0014#1	he.was.willing	H7521	hbo:7521#1	it.will.be.accepted	similar	prior	0.5
H0014	hbo:0014#1	he.was.willing	H7521	hbo:7521a#1	it.will.accept	similar	prior	0.5
H0014	hbo:0014#1	he.was.willing	H0016	hbo:0016	of.reed	similar	prior	0.5
H0014	hbo:0014#2	you.will.yield	H2654	hbo:2654#1	he.delights	similar	high	0.629
H0014	hbo:0014#2	you.will.yield	H0225	hbo:0225#1	we.will.agree	similar	prior	0.5
H0014	hbo:0014#2	you.will.yield	H7521	hbo:7521#_nosense		similar	prior	0.5
H0014	hbo:0014#2	you.will.yield	H7521	hbo:7521#1	it.will.be.accepted	similar	prior	0.5
H0014	hbo:0014#2	you.will.yield	H7521	hbo:7521a#1	it.will.accept	similar	prior	0.5
H0014	hbo:0014#2	you.will.yield	H0016	hbo:0016	of.reed	similar	prior	0.5
H0018	hbo:0018	the.feeding.trough	H0723	hbo:0723#1	stalls	similar	prior	0.5
H0034	hbo:0034#1	needy	H6041	hbo:6041#1	poor	similar	high	1.0
H0034	hbo:0034#1	needy	H1800	hbo:1800#1	poor.[people]	similar	high	1.0
H0034	hbo:0034#1	needy	H6041	hbo:6041#_nosense		similar	high	0.873
H0034	hbo:0034#1	needy	H7326	hbo:7326#1	[one.who.is].poor	similar	high	0.77
H0034	hbo:0034#1	needy	H6223	hbo:6223#1	a.rich.[person]	antonym	recall	0.543
H0034	hbo:0034#1	needy	H6041	hbo:6041#2	O.afflicted.[one]	similar	prior	0.5
H0034	hbo:0034#1	needy	H0035	hbo:0035	caper-berry	similar	prior	0.5
H0034	hbo:0034#1	needy	H0016	hbo:0016	of.reed	similar	prior	0.5
H0034	hbo:0034#1	needy	H0014	hbo:0014#1	he.was.willing	similar	prior	0.5
H0034	hbo:0034#1	needy	H0014	hbo:0014#2	you.will.yield	similar	prior	0.5
H0034	hbo:0034#_nosense		H6041	hbo:6041#1	poor	similar	high	0.978
H0034	hbo:0034#_nosense		H1800	hbo:1800#1	poor.[people]	similar	high	0.951
H0034	hbo:0034#_nosense		H6041	hbo:6041#_nosense		similar	high	0.938
H0034	hbo:0034#_nosense		H1800	hbo:1800#_nosense		similar	high	0.905
H0034	hbo:0034#_nosense		H7326	hbo:7326#1	[one.who.is].poor	similar	high	0.772
H0034	hbo:0034#_nosense		H6223	hbo:6223#1	a.rich.[person]	antonym	recall	0.519
H0034	hbo:0034#_nosense		H6041	hbo:6041#2	O.afflicted.[one]	similar	prior	0.5
H0034	hbo:0034#_nosense		H0035	hbo:0035	caper-berry	similar	prior	0.5
H0034	hbo:0034#_nosense		H0016	hbo:0016	of.reed	similar	prior	0.5
H0034	hbo:0034#_nosense		H0014	hbo:0014#1	he.was.willing	similar	prior	0.5
H0034	hbo:0034#_nosense		H0014	hbo:0014#2	you.will.yield	similar	prior	0.5
H0035	hbo:0035	caper-berry	H0016	hbo:0016	of.reed	similar	prior	0.5
H0035	hbo:0035	caper-berry	H0014	hbo:0014#1	he.was.willing	similar	prior	0.5
H0035	hbo:0035	caper-berry	H0014	hbo:0014#2	you.will.yield	similar	prior	0.5
H0046	hbo:0046#1	the.mighty.one	H0352	hbo:0352#1	rams	similar	prior	0.5
H0046	hbo:0046#1	the.mighty.one	H0352	hbo:0352b#1	pillars	similar	prior	0.5
H0046	hbo:0046#1	the.mighty.one	H0352	hbo:0352a#1	oaks	similar	prior	0.5
H0046	hbo:0046#1	the.mighty.one	H0083	hbo:0083#1	wing[s]	similar	prior	0.5
H0047	hbo:0047#1	mighty.[bulls]	H3524	hbo:3524#1	mighty	similar	prior	0.5
H0047	hbo:0047#1	mighty.[bulls]	H5794	hbo:5794#1	strong	similar	prior	0.5
H0047	hbo:0047#1	mighty.[bulls]	H0117	hbo:0117#1	majestic	similar	prior	0.5
H0047	hbo:0047#1	mighty.[bulls]	H2389	hbo:2389#1	strong	similar	prior	0.5
H0047	hbo:0047#1	mighty.[bulls]	H0083	hbo:0083#1	wing[s]	similar	prior	0.5
H0047	hbo:0047#1	mighty.[bulls]	H0046	hbo:0046#1	the.mighty.one	similar	prior	0.5
H0047	hbo:0047#_nosense		H1368	hbo:1368#_nosense		similar	high	0.685
H0047	hbo:0047#_nosense		H3524	hbo:3524#1	mighty	similar	prior	0.5
H0047	hbo:0047#_nosense		H5794	hbo:5794#1	strong	similar	prior	0.5
H0047	hbo:0047#_nosense		H0117	hbo:0117#1	majestic	similar	prior	0.5
H0047	hbo:0047#_nosense		H0117	hbo:0117#_nosense		similar	prior	0.5
H0047	hbo:0047#_nosense		H2389	hbo:2389#1	strong	similar	prior	0.5
H0047	hbo:0047#_nosense		H0083	hbo:0083#1	wing[s]	similar	prior	0.5
H0047	hbo:0047#_nosense		H0046	hbo:0046#1	the.mighty.one	similar	prior	0.5
H0056	hbo:0056#1	he.mourned	H1058	hbo:1058#1	he.wept	similar	high	0.69
H0056	hbo:0056#1	he.mourned	H5594	hbo:5594#1	mourn	similar	high	0.574
H0056	hbo:0056#1	he.mourned	H5162	hbo:5162#1	comfort	antonym	recall	0.522
H0056	hbo:0056#1	he.mourned	H6969	hbo:6969	he.made.a.lament	similar	prior	0.5
H0056	hbo:0056#1	he.mourned	H0535	hbo:0535#1	it.has.languished	similar	prior	0.5
H0056	hbo:0056#1	he.mourned	H8056	hbo:8056#1	joyful	antonym	recall	0.436
H0056	hbo:0056#1	he.mourned	H8055	hbo:8055#_nosense		antonym	recall	0.4
H0056	hbo:0056#1	he.mourned	H5162	hbo:5162#2	he.will.have.compassion	antonym	recall	0.398
H0056	hbo:0056a#2	it.has.dried.up	H6969	hbo:6969	he.made.a.lament	similar	prior	0.5
H0056	hbo:0056a#2	it.has.dried.up	H1058	hbo:1058#1	he.wept	similar	prior	0.5
H0056	hbo:0056a#2	it.has.dried.up	H0535	hbo:0535#1	it.has.languished	similar	prior	0.5
H0056	hbo:0056a#2	it.has.dried.up	H0060	hbo:0060#1	mourning	similar	prior	0.5
H0056	hbo:0056a#2	it.has.dried.up	H0057	hbo:0057#2	mourning	similar	prior	0.5
H0056	hbo:0056a#2	it.has.dried.up	H0057	hbo:0057#1	mourners	similar	prior	0.5
H0057	hbo:0057#1	mourners	H0060	hbo:0060#1	mourning	similar	high	0.712
H0057	hbo:0057#2	mourning	H0060	hbo:0060#1	mourning	similar	high	0.895
H0057	hbo:0057#2	mourning	H8057	hbo:8057#1	joy	antonym	recall	0.328
H0060	hbo:0060#1	mourning	H0057	hbo:0057#2	mourning	similar	high	0.895
H0060	hbo:0060#1	mourning	H4553	hbo:4553#1	wailing	similar	high	0.739
H0060	hbo:0060#1	mourning	H0057	hbo:0057#1	mourners	similar	high	0.712
H0060	hbo:0060#1	mourning	H5594	hbo:5594#1	mourn	similar	high	0.554
H0060	hbo:0060#1	mourning	H8057	hbo:8057#1	joy	antonym	recall	0.533
H0060	hbo:0060#1	mourning	H6912	hbo:6912#1	he.was.buried	similar	prior	0.5
H0060	hbo:0060#1	mourning	H6912	hbo:6912#_nosense		similar	prior	0.5
H0060	hbo:0060#1	mourning	H6685	hbo:6685#_nosense		similar	prior	0.5
H0060	hbo:0060#1	mourning	H8424	hbo:8424#1	grief	similar	prior	0.5
H0068	hbo:0068#1	stones	H3871	hbo:3871#1	tablets	similar	high	0.787
H0068	hbo:0068#1	stones	H1496	hbo:1496#1	of.hewn.[stone]	similar	high	0.783
H0068	hbo:0068#1	stones	H6438	hbo:6438#1	the.corners	similar	prior	0.5
H0068	hbo:0068#1	stones	H5619	hbo:5619#_nosense		similar	prior	0.5
H0068	hbo:0068#1	stones	H5619	hbo:5619#1	it.will.be.stoned.to.death	similar	prior	0.5
H0070	hbo:0070	stones	H0068	hbo:0068#1	stones	similar	prior	0.5
H0073	hbo:0073#1	a.sash	H2805	hbo:2805#1	the.girdle	similar	high	0.708
H0073	hbo:0073#1	a.sash	H0247	hbo:0247#1	gird.yourselves	similar	prior	0.5
H0073	hbo:0073#1	a.sash	H0247	hbo:0247#_nosense		similar	prior	0.5
H0073	hbo:0073#1	a.sash	H2289	hbo:2289	girded	similar	prior	0.5
H0075	hbo:0075	fattened	H0018	hbo:0018	the.feeding.trough	similar	prior	0.5
H0075	hbo:0075	fattened	H3965	hbo:3965	granaries	similar	prior	0.5
H0080	hbo:0080#1	dust	H6083	hbo:6083#1	dust	similar	high	0.708
H0080	hbo:0080#1	dust	H7834	hbo:7834#1	clouds	similar	prior	0.5
H0080	hbo:0080#1	dust	H0081	hbo:0081	[the].scent-powder	similar	prior	0.5
H0082	hbo:0082	does.it.soar	H0047	hbo:0047#_nosense		similar	prior	0.5
H0082	hbo:0082	does.it.soar	H0047	hbo:0047#1	mighty.[bulls]	similar	prior	0.5
H0082	hbo:0082	does.it.soar	H0084	hbo:0084#1	pinion	similar	prior	0.5
H0082	hbo:0082	does.it.soar	H0046	hbo:0046#1	the.mighty.one	similar	prior	0.5
H0082	hbo:0082	does.it.soar	H0083	hbo:0083#1	wing[s]	similar	prior	0.5
H0083	hbo:0083#1	wing[s]	H3671	hbo:3671#1	wings	similar	prior	0.5
H0084	hbo:0084#1	pinion	H5133	hbo:5133#1	plumage	similar	high	0.525
H0084	hbo:0084#1	pinion	H3671	hbo:3671#1	wings	similar	high	0.509
H0084	hbo:0084#1	pinion	H0083	hbo:0083#1	wing[s]	similar	prior	0.5
H0084	hbo:0084#1	pinion	H0047	hbo:0047#_nosense		similar	prior	0.5
H0084	hbo:0084#1	pinion	H0047	hbo:0047#1	mighty.[bulls]	similar	prior	0.5
H0084	hbo:0084#1	pinion	H0046	hbo:0046#1	the.mighty.one	similar	prior	0.5
H0092	hbo:0092	band	H2256	hbo:2256#1	ropes	similar	prior	0.5
H0092	hbo:0092	band	H6872	hbo:6872#1	the.bag	similar	prior	0.5
H0098	hbo:0098#1	pools	H4599	hbo:4599#1	a.spring	similar	high	0.605
H0099	hbo:0099	[will.be].grieved	H0098	hbo:0098#1	pools	similar	prior	0.5
H0100	hbo:0100#1	bulrush	H5488	hbo:5488#1	of.reed[s]	similar	prior	0.5
H0100	hbo:0100#1	bulrush	H1573	hbo:1573#1	of.papyrus	similar	prior	0.5
H0101	hbo:0101#1	bowls	H7086	hbo:7086#1	[was].a.dish	similar	prior	0.5
H0101	hbo:0101#1	bowls	H5592	hbo:5592a#1	basins	similar	prior	0.5
H0101	hbo:0101#1	bowls	H5592	hbo:5592#1	the.threshold	similar	prior	0.5
H0101	hbo:0101#1	bowls	H3713	hbo:3713a#1	hoar-frost	similar	prior	0.5
H0101	hbo:0101#1	bowls	H3713	hbo:3713#1	a.bowl	similar	prior	0.5
H0101	hbo:0101#1	bowls	H3563	hbo:3563#1	cup	similar	prior	0.5
H0101	hbo:0101#1	bowls	H3563	hbo:3563a#1	owl	similar	prior	0.5
H0102	hbo:0102#1	troops	H6635	hbo:6635#1	of.hosts	similar	prior	0.5
H0102	hbo:0102#1	troops	H6635	hbo:6635#2	of.warfare	similar	prior	0.5
H0102	hbo:0102#1	troops	H4255	hbo:4255	classes	similar	prior	0.5
H0103	hbo:0103#1	you.will.gather	H0686	hbo:0686	they.have.stored.up	similar	prior	0.5
H0107	hbo:0107#1	letters	H5612	hbo:5612#1	the.scroll	similar	high	0.831
H0107	hbo:0107#1	letters	H0095	hbo:0095	a.payment	similar	prior	0.5
H0108	hbo:0108	water	H6227	hbo:6227#1	smoke	similar	prior	0.5
H0108	hbo:0108	water	H0181	hbo:0181#1	a.piece.of.firewood	similar	prior	0.5
H0113	hbo:0113#1	lord	H0136	hbo:0136#1	Lord	similar	high	1.0
H0113	hbo:0113#1	lord	H0136	hbo:0136#_nosense		similar	high	1.0
H0113	hbo:0113#1	lord	H5650	hbo:5650#1	servant	antonym	recall	0.749
H0113	hbo:0113#1	lord	H4428	hbo:4428#1	the.king	similar	high	0.668
H0113	hbo:0113#1	lord	H1404	hbo:1404#1	mistress	similar	prior	0.5
H0113	hbo:0113#1	lord	H8269	hbo:8269#1	officials	similar	prior	0.5
H0113	hbo:0113#1	lord	H4756	hbo:4756#1	lord	similar	prior	0.5
H0113	hbo:0113#1	lord	H0134	hbo:0134#1	bases	similar	prior	0.5
H0117	hbo:0117#1	majestic	H1368	hbo:1368#_nosense		similar	high	0.63
H0117	hbo:0117#1	majestic	H3524	hbo:3524#1	mighty	similar	prior	0.5
H0117	hbo:0117#1	majestic	H0142	hbo:0142#1	[was].glorious	similar	prior	0.5
H0117	hbo:0117#1	majestic	H0145	hbo:0145	a.mantle	similar	prior	0.5
H0117	hbo:0117#1	majestic	H0155	hbo:0155#1	cloak	similar	prior	0.5
H0117	hbo:0117#_nosense		H1368	hbo:1368#_nosense		similar	high	0.537
H0117	hbo:0117#_nosense		H0047	hbo:0047#1	mighty.[bulls]	similar	high	0.519
H0117	hbo:0117#_nosense		H3524	hbo:3524#1	mighty	similar	prior	0.5
H0117	hbo:0117#_nosense		H0142	hbo:0142#1	[was].glorious	similar	prior	0.5
H0117	hbo:0117#_nosense		H0145	hbo:0145	a.mantle	similar	prior	0.5
H0117	hbo:0117#_nosense		H0155	hbo:0155#1	cloak	similar	prior	0.5
H0119	hbo:0119#1	dyed.red	H8438	hbo:8438#1	scarlet.stuff	similar	high	0.737
H0119	hbo:0119#1	dyed.red	H8144	hbo:8144#1	of.scarlet	similar	high	0.721
H0119	hbo:0119#1	dyed.red	H0122	hbo:0122#1	red	similar	prior	0.5
H0120	hbo:0120#1	of.humankind	H1121	hbo:1121#2	O.son	similar	high	0.933
H0120	hbo:0120#1	of.humankind	H0582	hbo:0582#_nosense		similar	high	0.862
H0120	hbo:0120#1	of.humankind	H4962	hbo:4962#1	men	similar	prior	0.5
H0120	hbo:0120#1	of.humankind	H1121	hbo:1121#1	the.son	similar	prior	0.5
H0120	hbo:0120#1	of.humankind	H1121	hbo:1121#_nosense		similar	prior	0.5
H0120	hbo:0120#1	of.humankind	H1121	hbo:1121#5	O.descendants	similar	prior	0.5
H0120	hbo:0120#1	of.humankind	H1121	hbo:1121#6	than.[the].sons	similar	prior	0.5
H0120	hbo:0120#1	of.humankind	H1121	hbo:1121#3	O.people	similar	prior	0.5
H0120	hbo:0120#1	of.humankind	H1121	hbo:1121#4	O.children	similar	prior	0.5
H0124	hbo:0124#1	of.a.ruby	H6357	hbo:6357#1	a.topaz	similar	high	1.0
H0124	hbo:0124#1	of.a.ruby	H3471	hbo:3471#1	a.jasper	similar	high	0.942
H0124	hbo:0124#1	of.a.ruby	H3095	hbo:3095#1	an.emerald	similar	high	0.903
H0124	hbo:0124#1	of.a.ruby	H5306	hbo:5306#1	turquoise	similar	high	0.873
H0124	hbo:0124#1	of.a.ruby	H7718	hbo:7718#1	of.onyx	similar	high	0.747
H0124	hbo:0124#1	of.a.ruby	H1304	hbo:1304	a.beryl	similar	prior	0.5
H0124	hbo:0124#1	of.a.ruby	H0122	hbo:0122#1	red	similar	prior	0.5
H0125	hbo:0125#1	reddish	H3422	hbo:3422#1	greenish	similar	high	1.0
H0125	hbo:0125#1	reddish	H0122	hbo:0122#1	red	similar	prior	0.5
H0125	hbo:0125#1	reddish	H0124	hbo:0124#1	of.a.ruby	similar	prior	0.5
H0125	hbo:0125#1	reddish	H0119	hbo:0119#1	dyed.red	similar	prior	0.5
H0127	hbo:0127#1	land	H0776	hbo:0776#1	the.land	similar	high	1.0
H0127	hbo:0127#1	land	H0776	hbo:0776#_nosense		similar	prior	0.5
H0127	hbo:0127#1	land	H0776	hbo:0776#2	O.earth	similar	prior	0.5
H0127	hbo:0127#1	land	H7704	hbo:7704a#1	of.[the].field	similar	prior	0.5
H0127	hbo:0127#1	land	H0120	hbo:0120#1	of.humankind	similar	prior	0.5
H0130	hbo:0130#_nosense		H5984	hbo:5984#1	Ammonite	similar	high	0.794
H0130	hbo:0130#_nosense		H4125	hbo:4125#1	Moabites	similar	high	0.768
H0130	hbo:0130#_nosense		H4125	hbo:4125#_nosense		similar	prior	0.5
H0130	hbo:0130#_nosense		H5984	hbo:5984#_nosense		similar	prior	0.5
H0130	hbo:0130#_nosense		H0119	hbo:0119#1	dyed.red	similar	prior	0.5
H0130	hbo:0130#_nosense		H0132	hbo:0132#1	red	similar	prior	0.5
H0130	hbo:0130#_nosense		H0124	hbo:0124#1	of.a.ruby	similar	prior	0.5
H0130	hbo:0130#_nosense		H0125	hbo:0125#1	reddish	similar	prior	0.5
H0130	hbo:0130#_nosense		H0122	hbo:0122#1	red	similar	prior	0.5
H0132	hbo:0132#1	red	H0124	hbo:0124#1	of.a.ruby	similar	prior	0.5
H0132	hbo:0132#1	red	H0122	hbo:0122#1	red	similar	prior	0.5
H0132	hbo:0132#1	red	H0119	hbo:0119#1	dyed.red	similar	prior	0.5
H0132	hbo:0132#1	red	H0125	hbo:0125#1	reddish	similar	prior	0.5
H0134	hbo:0134#1	bases	H7175	hbo:7175#1	frames	similar	high	1.0
H0136	hbo:0136#1	Lord	H0113	hbo:0113#1	lord	similar	high	1.0
H0136	hbo:0136#1	Lord	H0430	hbo:0430#1	God	similar	high	0.816
H0136	hbo:0136#1	Lord	H0134	hbo:0134#1	bases	similar	prior	0.5
H0136	hbo:0136#_nosense		H0113	hbo:0113#1	lord	similar	high	1.0
H0136	hbo:0136#_nosense		H0430	hbo:0430#1	God	similar	high	0.694
H0136	hbo:0136#_nosense		H0134	hbo:0134#1	bases	similar	prior	0.5
H0145	hbo:0145	a.mantle	H0142	hbo:0142#1	[was].glorious	similar	prior	0.5
H0145	hbo:0145	a.mantle	H0155	hbo:0155#1	cloak	similar	prior	0.5
H0153	hbo:0153	force	H7463	hbo:7463#1	the.friend	similar	prior	0.5
H0155	hbo:0155#1	cloak	H4598	hbo:4598#1	the.robe	similar	high	0.529
H0155	hbo:0155#1	cloak	H3801	hbo:3801#1	tunics	similar	high	0.515
H0155	hbo:0155#1	cloak	H0899	hbo:0899#1	garments	similar	high	0.505
H0155	hbo:0155#1	cloak	H8071	hbo:8071#1	clothes	similar	prior	0.5
H0155	hbo:0155#1	cloak	H0142	hbo:0142#1	[was].glorious	similar	prior	0.5
H0157	hbo:0157#1	love	H0160	hbo:0160#1	love	similar	high	1.0
H0157	hbo:0157#1	love	H8130	hbo:8130#1	[those	antonym	recall	0.779
H0157	hbo:0157#1	love	H8130	hbo:8130#_nosense		antonym	recall	0.763
H0157	hbo:0157#1	love	H8135	hbo:8135#1	hatred	antonym	recall	0.518
H0157	hbo:0157#1	love	H7521	hbo:7521#_nosense		similar	prior	0.5
H0157	hbo:0157#1	love	H7521	hbo:7521#1	it.will.be.accepted	similar	prior	0.5
H0157	hbo:0157#1	love	H7521	hbo:7521a#1	it.will.accept	similar	prior	0.5
H0157	hbo:0157#1	love	H7463	hbo:7463#1	the.friend	similar	prior	0.5
H0157	hbo:0157#1	love	H0158	hbo:0158	loves	similar	prior	0.5
H0157	hbo:0157#2	one].whom.it.loves	H1730	hbo:1730#1	lover	similar	high	0.594
H0157	hbo:0157#2	one].whom.it.loves	H7521	hbo:7521#_nosense		similar	prior	0.5
H0157	hbo:0157#2	one].whom.it.loves	H7521	hbo:7521#1	it.will.be.accepted	similar	prior	0.5
H0157	hbo:0157#2	one].whom.it.loves	H7521	hbo:7521a#1	it.will.accept	similar	prior	0.5
H0157	hbo:0157#2	one].whom.it.loves	H7463	hbo:7463#1	the.friend	similar	prior	0.5
