# semantic field per Strong's (high+prior tiers, rolled from lexeme neighbors); CC0
strong	neighbor	neighbor_gloss	relation	confidence	score
H0117	H0145	robe	similar	prior	0.5
H0117	H0155	clothing	similar	prior	0.5
H0119	H8438	worm	similar	high	0.737
H0119	H8144	scarlet	similar	high	0.721
H0119	H0122	red	similar	prior	0.5
H0120	H1121	son	similar	high	0.933
H0120	H0582	human	similar	high	0.862
H0120	H4962	man	similar	prior	0.5
H0124	H6357	topaz	similar	high	1.0
H0124	H3471	jasper	similar	high	0.942
H0124	H3095	jasper	similar	high	0.903
H0124	H5306	emerald	similar	high	0.873
H0124	H7718	onyx	similar	high	0.747
H0124	H1304	gem	similar	prior	0.5
H0124	H0122	red	similar	prior	0.5
H0125	H3422	greenish	similar	high	1.0
H0125	H0122	red	similar	prior	0.5
H0125	H0124	sardius	similar	prior	0.5
H0125	H0119	redden	similar	prior	0.5
H0127	H0776	land	similar	high	1.0
H0127	H7704	Sirion	similar	prior	0.5
H0127	H0120	man	similar	prior	0.5
H0130	H5984	Meunite	similar	high	0.794
H0130	H4125	Moabite	similar	high	0.768
H0130	H0119	redden	similar	prior	0.5
H0130	H0132	red	similar	prior	0.5
H0130	H0124	sardius	similar	prior	0.5
H0130	H0125	reddish	similar	prior	0.5
H0130	H0122	red	similar	prior	0.5
H0132	H0124	sardius	similar	prior	0.5
H0132	H0122	red	similar	prior	0.5
H0132	H0119	redden	similar	prior	0.5
H0132	H0125	reddish	similar	prior	0.5
H0134	H7175	board	similar	high	1.0
H0136	H0113	lord	similar	high	1.0
H0136	H0430	God	similar	high	0.816
H0136	H0134	socket	similar	prior	0.5
H0145	H0142	be glorious	similar	prior	0.5
H0145	H0155	clothing	similar	prior	0.5
H0153	H7463	friend	similar	prior	0.5
H0155	H4598	robe	similar	high	0.529
H0155	H3801	tunic	similar	high	0.515
H0155	H0899	treachery	similar	high	0.505
H0155	H8071	mantle	similar	prior	0.5
H0155	H0142	be glorious	similar	prior	0.5
H0157	H0160	love	similar	high	1.0
H0157	H8130	hate	antonym	recall	0.779
H0157	H1730	beloved	similar	high	0.594
H0157	H8135	hating	antonym	recall	0.518
H0157	H7521	accept	similar	prior	0.5
H0157	H7463	friend	similar	prior	0.5
H0157	H0158	lover	similar	prior	0.5
H0159	H0157	love	similar	prior	0.5
H0159	H0160	love	similar	prior	0.5
H0159	H0158	lover	similar	prior	0.5
H0160	H0157	love	similar	high	1.0
H0160	H8135	hating	antonym	recall	0.657
H0160	H2617	kindness	similar	high	0.56
H0160	H1730	beloved	similar	prior	0.5
H0160	H2836	desire	similar	prior	0.5
H0160	H0158	lover	similar	prior	0.5
H0167	H0168	tent	similar	high	0.566
H0167	H5265	set out	similar	prior	0.5
H0168	H4908	tabernacle	similar	high	1.0
H0168	H3407	curtain	similar	prior	0.5
H0168	H1004	place	similar	prior	0.5
H0168	H4583	habitation	similar	prior	0.5
H0174	H4753	myrrh	similar	high	0.949
H0174	H7076	cinnamon	similar	high	0.883
H0174	H1314	spice	similar	high	0.625
H0174	H6916	cassia	similar	prior	0.5
H0178	H3049	spiritist	similar	high	1.0
H0178	H6049	cloud	similar	high	0.692
H0178	H7081	divination	similar	prior	0.5
H0182	H1697	word	similar	high	0.673
H0182	H0108	mist	similar	prior	0.5
H0182	H0181	firebrand	similar	prior	0.5
H0183	H8378	desire	similar	high	0.914
H0183	H2530	desire	similar	high	0.71
H0183	H3700	long	similar	high	0.64
H0185	H0183	desire	similar	high	0.739
H0185	H5315	soul	similar	high	0.644
H0185	H2530	desire	similar	prior	0.5
H0185	H8378	desire	similar	prior	0.5
H0185	H3970	desire	similar	prior	0.5
H0191	H0200	folly	similar	high	0.993
H0191	H5530	fool	similar	prior	0.5
H0191	H1198	stupid	similar	prior	0.5
H0191	H6612	simple	similar	prior	0.5
H0193	H0352	ram	similar	prior	0.5
H0193	H0424	oak	similar	prior	0.5
H0193	H0355	doe	similar	prior	0.5
H0193	H0354	deer	similar	prior	0.5
H0193	H0361	arches	similar	prior	0.5
H0196	H0191	fool(ish)	similar	prior	0.5
H0196	H0200	folly	similar	prior	0.5
H0200	H0191	fool(ish)	similar	high	0.993
H0200	H5531	folly	similar	high	0.829
H0200	H8394	understanding	antonym	recall	0.57
H0205	H5999	trouble	similar	high	0.876
H0205	H7723	vanity	similar	high	0.693
H0205	H8383	toil	similar	prior	0.5
H0212	H1534	wheel	similar	high	0.711
H0212	H4818	chariot	similar	high	0.686
H0212	H1550	turned	similar	prior	0.5
H0212	H0655	time	similar	prior	0.5
H0213	H4116	hasten	similar	prior	0.5
H0213	H2648	hurry	similar	prior	0.5
H0213	H6484	press	similar	prior	0.5
H0213	H1765	hasten	similar	prior	0.5
H0214	H3957	chamber	similar	prior	0.5
H0214	H0686	store	similar	prior	0.5
H0215	H0216	light	similar	high	0.873
H0215	H2821	darken	antonym	recall	0.542
H0215	H3975	hole	similar	prior	0.5
H0215	H0217	flame	similar	prior	0.5
H0216	H0215	light	similar	high	0.873
H0216	H2822	darkness	antonym	recall	0.77
H0216	H5051	brightness	similar	high	0.754
H0216	H0653	darkness	antonym	recall	0.605
H0216	H0652	darkness	antonym	recall	0.568
H0216	H3940	torch	similar	prior	0.5
H0216	H7160	shine	similar	prior	0.5
H0216	H0219	light	similar	prior	0.5
H0216	H0217	flame	similar	prior	0.5
H0216	H0224	Urim	similar	prior	0.5
H0216	H3975	hole	similar	prior	0.5
H0219	H3975	hole	similar	prior	0.5
H0219	H0217	flame	similar	prior	0.5
H0219	H0215	light	similar	prior	0.5
H0220	H0723	stall	similar	prior	0.5
H0220	H0738	lion	similar	prior	0.5
H0224	H0217	flame	similar	prior	0.5
H0224	H3975	hole	similar	prior	0.5
H0224	H0215	light	similar	prior	0.5
H0224	H0219	light	similar	prior	0.5
H0226	H4159	wonder	similar	high	0.913
H0226	H2903	phylacteries	similar	high	0.664
H0226	H1714	standard	similar	prior	0.5
H0226	H0184	mark	similar	prior	0.5
H0226	H0225	consent	similar	prior	0.5
H0231	H8144	scarlet	similar	high	0.781
H0231	H0730	cedar	similar	prior	0.5
H0232	H0247	gird	similar	prior	0.5
H0234	H4503	offering	similar	high	0.902
H0238	H8085	hear	similar	prior	0.5
H0238	H0240	weapon	similar	prior	0.5
H0241	H8085	hear	similar	high	0.831
H0241	H8571	lobe	similar	prior	0.5
H0241	H5869	eye	similar	prior	0.5
H0241	H6310	lip	similar	prior	0.5
H0241	H0240	weapon	similar	prior	0.5
H0241	H0238	listen	similar	prior	0.5
H0247	H2296	gird	similar	high	0.73
H0248	H2220	arm	similar	prior	0.5
H0249	H1616	sojourner	antonym	recall	0.82
H0249	H8453	sojourner	antonym	recall	0.587
H0249	H3211	born	similar	prior	0.5
H0249	H2225	dawning	similar	prior	0.5
H0249	H2224	rise	similar	prior	0.5
H0249	H4217	East (Gate)	similar	prior	0.5
H0260	H3734	kor	similar	prior	0.5
H0264	H0266	Ahohite	similar	prior	0.5
H0264	H0251	brother	similar	prior	0.5
H0264	H0269	sister	similar	prior	0.5
H0268	H0314	last	similar	prior	0.5
H0268	H0309	delay	similar	prior	0.5
H0268	H0319	end	similar	prior	0.5
H0268	H0312	another	similar	prior	0.5
H0268	H6440	face	antonym	recall	0.378
H0269	H0251	brother	similar	prior	0.5
H0269	H1733	aunt	similar	prior	0.5
H0270	H2388	strengthen	similar	high	0.858
H0270	H8610	capture	similar	high	0.788
H0270	H3947	take	similar	high	0.753
H0272	H5159	inheritance	similar	high	0.824
H0272	H4181	possession	similar	prior	0.5
H0272	H0270	grasp	similar	prior	0.5
H0309	H4102	delay	similar	high	0.487
H0312	H0309	delay	similar	prior	0.5
H0314	H7223	first	antonym	recall	0.627
H0314	H0309	delay	similar	prior	0.5
H0314	H0312	another	similar	prior	0.5
H0317	H0312	another	similar	prior	0.5
H0319	H7093	end	similar	high	0.639
H0319	H0309	delay	similar	prior	0.5
H0319	H0312	another	similar	prior	0.5
H0319	H0314	last	similar	prior	0.5
H0320	H0317	another	similar	prior	0.5
H0320	H0321	another	similar	prior	0.5
H0321	H0312	another	similar	prior	0.5
H0331	H5462	shut	similar	prior	0.5
H0331	H0330	fine linen	similar	prior	0.5
H0334	H0332	shut	similar	prior	0.5
H0338	H0344	falcon	similar	prior	0.5
H0339	H0776	land	similar	prior	0.5
H0339	H3220	sea	similar	prior	0.5
H0339	H2348	coast	similar	prior	0.5
H0340	H7852	hate	similar	prior	0.5
H0340	H0341	enemy	similar	prior	0.5
H0341	H6862	narrow	similar	high	0.936
H0341	H6887	confine	similar	high	0.828
H0341	H7854	Satan	similar	prior	0.5
H0342	H8135	hating	similar	high	0.596
H0342	H4895	hatred	similar	prior	0.5
H0342	H7852	hate	similar	prior	0.5
H0342	H0340	be hostile	similar	prior	0.5
H0342	H0341	enemy	similar	prior	0.5
H0343	H7722	ravage	similar	prior	0.5
H0343	H7451	bad	similar	prior	0.5
H0343	H6365	disaster	similar	prior	0.5
H0343	H1943	misfortune	similar	prior	0.5
H0343	H1942	desire	similar	prior	0.5
H0343	H0108	mist	similar	prior	0.5
H0343	H0182	because	similar	prior	0.5
H0343	H0181	firebrand	similar	prior	0.5
H0352	H3532	lamb	similar	high	1.0
H0352	H3733	saddle	similar	high	0.506
H0353	H0360	strength	similar	prior	0.5
H0354	H6643	beauty	similar	high	1.0
H0354	H0352	ram	similar	prior	0.5
H0355	H0354	deer	similar	prior	0.5
H0355	H0352	ram	similar	prior	0.5
H0355	H0424	oak	similar	prior	0.5
H0355	H0361	arches	similar	prior	0.5
H0361	H0352	ram	similar	prior	0.5
H0361	H0424	oak	similar	prior	0.5
H0361	H0354	deer	similar	prior	0.5
H0363	H6086	tree	similar	prior	0.5
H0365	H6646	gazelle	similar	prior	0.5
H0365	H3280	doe	similar	prior	0.5
H0365	H0354	deer	similar	prior	0.5
H0365	H6643	beauty	similar	prior	0.5
H0365	H0424	oak	similar	prior	0.5
H0365	H0436	Oak	similar	prior	0.5
H0365	H0193	strength	similar	prior	0.5
H0365	H0355	doe	similar	prior	0.5
H0365	H0361	arches	similar	prior	0.5
H0365	H0352	ram	similar	prior	0.5
H0366	H2847	terror	similar	prior	0.5
H0367	H6343	dread	similar	high	0.826
H0367	H0928	dismay	similar	prior	0.5
H0367	H4288	terror	similar	prior	0.5
H0367	H2851	terror	similar	prior	0.5
H0367	H1091	terror	similar	prior	0.5
H0367	H0366	terrible	similar	prior	0.5
H0374	H1969	hin	similar	high	0.929
H0374	H6241	tenth	similar	high	0.87
H0374	H3734	kor	similar	prior	0.5
H0376	H1167	master	similar	high	0.828
H0376	H1368	mighty man	similar	high	0.717
H0376	H0802	woman	antonym	recall	0.664
H0376	H0606	man	similar	prior	0.5
H0376	H4962	man	similar	prior	0.5
H0376	H0120	man	similar	prior	0.5
H0376	H0380	pupil	similar	prior	0.5
H0377	H0808	foundation	similar	prior	0.5
H0377	H0809	raisin bun	similar	prior	0.5
H0380	H5869	eye	similar	prior	0.5
H0386	H5794	strong	similar	prior	0.5
H0386	H2389	strong	similar	prior	0.5
H0391	H3577	lie	similar	prior	0.5
H0393	H7186	severe	similar	prior	0.5
H0393	H0394	cruel	similar	prior	0.5
H0393	H0395	cruel	similar	prior	0.5
H0394	H0395	cruel	similar	prior	0.5
H0398	H8354	drink	similar	high	0.912
H0398	H3898	fight	similar	high	0.566
H0398	H3978	food	similar	prior	0.5
H0398	H2938	perceive	similar	prior	0.5
H0398	H7703	ruin	similar	prior	0.5
H0398	H3980	fuel	similar	prior	0.5
H0398	H0402	food	similar	prior	0.5
H0398	H0396	food	similar	prior	0.5
H0398	H4361	food	similar	prior	0.5
H0398	H3979	knife	similar	prior	0.5
H0398	H0400	food	similar	prior	0.5
H0400	H3899	food	similar	high	0.8
H0400	H3978	food	similar	prior	0.5
H0400	H0737	ration	similar	prior	0.5
H0400	H0396	food	similar	prior	0.5
H0402	H3978	food	similar	high	1.0
H0402	H7607	flesh	similar	prior	0.5
H0402	H0396	food	similar	prior	0.5
H0402	H0400	food	similar	prior	0.5
H0404	H0405	burden	similar	prior	0.5
H0406	H3755	tend vineyards	similar	high	0.657
H0406	H3009	till	similar	prior	0.5
H0406	H2790	plow	similar	prior	0.5
H0410	H0046	mighty	similar	prior	0.5
H0410	H0430	God	similar	prior	0.5
H0410	H0433	god	similar	prior	0.5
H0410	H0136	Lord	similar	prior	0.5
H0417	H1259	hail	similar	high	0.734
H0418	H0417	hail	similar	prior	0.5
H0421	H5092	wailing	similar	prior	0.5
H0421	H0451	fat tail	similar	prior	0.5
H0422	H8381	curse	similar	prior	0.5
H0422	H0423	oath	similar	prior	0.5
H0423	H7045	curse	similar	high	1.0
H0423	H7621	oath	similar	high	0.774
H0423	H7650	swear	similar	high	0.624
H0423	H1285	covenant	similar	high	0.622
H0423	H8381	curse	similar	prior	0.5
H0424	H0436	Oak	similar	high	0.713
H0424	H0354	deer	similar	prior	0.5
H0424	H0352	ram	similar	prior	0.5
H0427	H0424	oak	similar	prior	0.5
H0430	H0136	Lord	similar	high	0.816
H0430	H0433	god	similar	prior	0.5
H0436	H1265	cypress	similar	prior	0.5
H0436	H0427	oak	similar	prior	0.5
H0436	H0355	doe	similar	prior	0.5
H0436	H0352	ram	similar	prior	0.5
H0436	H0193	strength	similar	prior	0.5
H0436	H0354	deer	similar	prior	0.5
H0436	H0361	arches	similar	prior	0.5
H0437	H0424	oak	similar	prior	0.5
H0437	H0730	cedar	similar	prior	0.5
H0437	H0427	oak	similar	prior	0.5
H0441	H8269	ruler	similar	prior	0.5
H0441	H5387	leader	similar	prior	0.5
H0441	H7218	head	similar	prior	0.5
H0441	H2270	companion	similar	prior	0.5
H0441	H4910	rule	similar	prior	0.5
H0441	H5057	leader	similar	prior	0.5
H0441	H0505	thousand	similar	prior	0.5
H0441	H0502	teach	similar	prior	0.5
H0441	H0504	cattle	similar	prior	0.5
H0441	H0503	produce thousands	similar	prior	0.5
H0451	H3629	kidney	similar	high	0.954
H0457	H6091	idol	similar	high	0.848
H0457	H6456	idol	similar	high	0.758
H0457	H6459	idol	similar	high	0.663
H0457	H4541	liquid	similar	high	0.642
H0459	H0479	these	similar	high	0.965
H0479	H0459	these	similar	high	0.965
H0482	H0483	mute	similar	prior	0.5
H0482	H0485	sheaf	similar	prior	0.5
H0483	H2795	deaf	similar	high	0.614
H0483	H5787	blind	similar	high	0.576
H0483	H0485	sheaf	similar	prior	0.5
H0484	H0417	hail	similar	prior	0.5
H0484	H0418	algum	similar	prior	0.5
H0485	H7641	stream	similar	high	0.53
H0490	H3490	orphan	similar	high	1.0
H0490	H0491	widowhood	similar	high	0.585
H0491	H0490	widow	similar	high	0.585
H0502	H3925	learn	similar	prior	0.5
H0504	H0502	teach	similar	prior	0.5
H0505	H0503	produce thousands	similar	prior	0.5
H0517	H0001	father	antonym	recall	0.774
H0517	H1121	son	similar	prior	0.5
H0517	H0523	people	similar	prior	0.5
H0517	H0520	cubit	similar	prior	0.5
H0519	H8198	maidservant	similar	high	0.964
H0519	H5650	servant	similar	high	0.801
H0520	H2239	span	similar	high	0.827
H0520	H2948	handbreadth	similar	high	0.804
H0520	H4060	measure	similar	high	0.746
H0520	H8168	handful	similar	prior	0.5
H0523	H4294	tribe	similar	prior	0.5
H0523	H0520	cubit	similar	prior	0.5
H0525	H0544	faithfulness	similar	prior	0.5
H0525	H0571	truth	similar	prior	0.5
H0525	H0542	artisan	similar	prior	0.5
H0525	H0548	sure	similar	prior	0.5
H0525	H0545	brought up	similar	prior	0.5
H0525	H0539	be faithful	similar	prior	0.5
H0529	H0530	faithfulness	similar	high	0.829
H0529	H0539	be faithful	similar	prior	0.5
H0529	H2617	kindness	similar	prior	0.5
H0529	H0525	artisan	similar	prior	0.5
H0529	H0542	artisan	similar	prior	0.5
H0529	H0545	brought up	similar	prior	0.5
H0529	H0544	faithfulness	similar	prior	0.5
H0529	H0571	truth	similar	prior	0.5
H0529	H0548	sure	similar	prior	0.5
H0530	H0571	truth	similar	high	1.0
H0530	H0539	be faithful	similar	high	0.866
H0530	H0529	faithful	similar	high	0.829
H0530	H2617	kindness	similar	high	0.801
H0530	H0548	sure	similar	prior	0.5
H0530	H0542	artisan	similar	prior	0.5
H0530	H0545	brought up	similar	prior	0.5
H0530	H0547	pillar	similar	prior	0.5
H0530	H0525	artisan	similar	prior	0.5
H0530	H0544	faithfulness	similar	prior	0.5
H0533	H1368	mighty man	similar	high	0.544
H0533	H3981	power	similar	prior	0.5
H0533	H0553	strengthen	similar	prior	0.5
H0533	H0554	strong	similar	prior	0.5
H0533	H7504	weak	antonym	recall	0.43
H0536	H0535	weaken	similar	prior	0.5
H0537	H0535	weaken	similar	prior	0.5
H0537	H0536	weak	similar	prior	0.5
H0539	H0530	faithfulness	similar	high	0.866
H0539	H0982	trust	similar	high	0.706
H0539	H8266	deal	antonym	recall	0.595
H0539	H2617	kindness	similar	prior	0.5
H0539	H0545	brought up	similar	prior	0.5
H0539	H0571	truth	similar	prior	0.5
H0539	H0542	artisan	similar	prior	0.5
H0539	H0544	faithfulness	similar	prior	0.5
H0544	H0542	artisan	similar	prior	0.5
H0545	H0544	faithfulness	similar	prior	0.5
H0545	H0542	artisan	similar	prior	0.5
H0547	H0542	artisan	similar	prior	0.5
H0547	H0525	artisan	similar	prior	0.5
H0547	H0544	faithfulness	similar	prior	0.5
H0547	H0539	be faithful	similar	prior	0.5
H0547	H0548	sure	similar	prior	0.5
H0547	H0545	brought up	similar	prior	0.5
H0547	H0529	faithful	similar	prior	0.5
H0547	H0571	truth	similar	prior	0.5
H0548	H0571	truth	similar	prior	0.5
H0548	H0539	be faithful	similar	prior	0.5
H0548	H0542	artisan	similar	prior	0.5
H0548	H0545	brought up	similar	prior	0.5
H0548	H0544	faithfulness	similar	prior	0.5
H0553	H2388	strengthen	similar	high	0.871
H0553	H7503	slacken	antonym	recall	0.41
H0554	H0553	strengthen	similar	prior	0.5
H0555	H0533	strong	similar	prior	0.5
H0555	H0554	strong	similar	prior	0.5
H0555	H3981	power	similar	prior	0.5
H0555	H0553	strengthen	similar	prior	0.5
H0556	H0533	strong	similar	prior	0.5
H0556	H0553	strengthen	similar	prior	0.5
H0556	H3981	power	similar	prior	0.5
H0556	H0554	strong	similar	prior	0.5
H0556	H0555	strength	similar	prior	0.5
H0559	H6030	dwell	similar	high	1.0
H0559	H7121	call	similar	prior	0.5
H0559	H5046	tell	similar	prior	0.5
H0559	H4448	speak	similar	prior	0.5
H0559	H1696	speak	similar	prior	0.5
H0559	H5002	utterance	similar	prior	0.5
H0559	H6680	command	similar	prior	0.5
H0559	H0562	word	similar	prior	0.5
H0559	H0561	word	similar	prior	0.5
H0559	H0534	top	similar	prior	0.5
H0559	H3982	command	similar	prior	0.5
H0559	H0565	word	similar	prior	0.5
H0560	H0563	lamb	similar	prior	0.5
H0561	H4405	speech	similar	high	0.941
H0561	H1697	word	similar	prior	0.5
H0561	H0562	word	similar	prior	0.5
H0561	H1696	speak	similar	prior	0.5
H0561	H0565	word	similar	prior	0.5
H0561	H0534	top	similar	prior	0.5
H0561	H3982	command	similar	prior	0.5
H0562	H0534	top	similar	prior	0.5
H0565	H0562	word	similar	prior	0.5
H0565	H0534	top	similar	prior	0.5
H0567	H2983	Jebusite	similar	high	1.0
H0567	H3669	Canaanite	similar	high	1.0
H0567	H2340	Hivite	similar	high	1.0
H0567	H2850	Hittite	similar	high	1.0
H0567	H6522	Perizzite	similar	high	1.0
H0567	H1622	Girgashite	similar	high	0.99
H0571	H2617	kindness	similar	high	1.0
H0571	H6664	righteousness	similar	high	1.0
H0571	H0530	faithfulness	similar	high	1.0
H0571	H8267	deception	antonym	recall	0.536
H0571	H0545	brought up	similar	prior	0.5
H0571	H0542	artisan	similar	prior	0.5
H0571	H0544	faithfulness	similar	prior	0.5
H0572	H8242	sackcloth	similar	prior	0.5
H0572	H3627	article	similar	prior	0.5
H0572	H4969	spread	similar	prior	0.5
H0579	H8385	estrous	similar	prior	0.5
H0582	H0120	man	similar	high	0.862
H0582	H0606	man	similar	prior	0.5
H0582	H4962	man	similar	prior	0.5
H0582	H0380	pupil	similar	prior	0.5
H0584	H5009	groan	similar	prior	0.5
H0584	H5008	groan	similar	prior	0.5
H0584	H2199	cry out	similar	prior	0.5
H0584	H0602	groan	similar	prior	0.5
H0585	H5092	wailing	similar	prior	0.5
H0585	H0603	groaning	similar	prior	0.5
H0585	H6682	outcry	similar	prior	0.5
H0585	H2201	outcry	similar	prior	0.5
H0585	H3215	wailing	similar	prior	0.5
H0590	H0591	fleet	similar	high	0.746
H0590	H2259	pilot	similar	prior	0.5
H0590	H4419	mariner	similar	prior	0.5
H0590	H6716	ship	similar	prior	0.5
H0591	H0590	fleet	similar	high	0.746
H0591	H6716	ship	similar	high	0.675
H0591	H4536	merchandise	similar	prior	0.5
H0592	H3015	sorrow	similar	prior	0.5
H0592	H8386	mourning	similar	prior	0.5
H0594	H6957	cord	similar	prior	0.5
H0594	H4949	level	similar	prior	0.5
H0599	H2734	incensed	similar	high	0.856
H0599	H0639	face	similar	high	0.794
H0599	H5674	pass	similar	high	0.659
H0599	H3707	provoke	similar	prior	0.5
H0599	H2194	be indignant	similar	prior	0.5
H0599	H7107	be angry	similar	prior	0.5
H0599	H2196	enrage	similar	prior	0.5
H0599	H0601	heron	similar	prior	0.5
H0603	H0602	groan	similar	prior	0.5
H0603	H0604	gecko	similar	prior	0.5
H0604	H0602	groan	similar	prior	0.5
H0606	H0120	man	similar	prior	0.5
H0610	H5480	anoint	similar	prior	0.5
H0611	H5999	trouble	similar	prior	0.5
H0612	H0631	bind	similar	high	0.87
H0612	H5178	bronze	similar	high	0.738
H0612	H2131	missile	similar	prior	0.5
H0612	H3628	prison	similar	prior	0.5
H0613	H0612	bond	similar	prior	0.5
H0613	H3628	prison	similar	prior	0.5
H0614	H0624	storehouse	similar	prior	0.5
H0615	H0631	bind	similar	high	0.568
H0615	H5470	prison	similar	high	0.556
H0615	H0616	prisoner	similar	prior	0.5
H0615	H0612	bond	similar	prior	0.5
H0615	H4147	bond	similar	prior	0.5
H0615	H4562	pledge	similar	prior	0.5
H0616	H7628	captivity	similar	prior	0.5
H0616	H0612	bond	similar	prior	0.5
H0616	H4562	pledge	similar	prior	0.5
H0616	H4147	bond	similar	prior	0.5
H0622	H6908	gather	similar	high	1.0
H0622	H6950	gather	similar	high	0.802
H0622	H3664	gather	similar	high	0.647
H0622	H5595	snatch	similar	high	0.579
H0622	H7408	gather	similar	prior	0.5
H0622	H1478	die	similar	prior	0.5
