# source=derived from resources/aligned_lex/asm.tsv + strongs_freq.tsv (roadmap R2: function-word stopwords); license=inherits aligned_lex
surface	codes	max_share
সন্তাপৰ	G3754,G3759	0.640
সন্মুখত	G1715,G1799	0.257
সাত	G2033	0.810
সাতোটা	G2033	0.968
সি	G0846,G3588	0.111
সিজনক	G0240,G1438	0.769
সিজনৰ	G0240,G1438	0.875
সেই	G3588	0.334
সেইদৰে	G3668,G3779	0.237
সেইবোৰ	G0846,G3588,G3739	0.257
সেইবোৰৰ	G0846,G3588	0.500
সেয়ে	G3588,G3767	0.230
সৈতে	G3326,G4862	0.345
স্বৰূপকৈ	G0281	0.964
হায়	G3759	0.943
হেতুকে	G1223,G1352,G3767	0.410
