# source=derived from resources/aligned_lex/ben.tsv + strongs_freq.tsv (roadmap R2: function-word stopwords); license=inherits aligned_lex
surface	codes	max_share
গিয়ে	G0846	0.114
গোপনে	G1722,G2398,G2977	0.182
জন	G5100	0.237
জন্য	G1519	0.163
জন্যই	G1063,G1223,G1519	0.143
তখন	G1161,G2532	0.243
তখনও	G2089,G3767,G3768	0.438
তবুও	G0235,G1161,G2532	0.182
তবে	G1161,G2532	0.157
তা	G3588	0.127
তাঁকে	G0846	0.643
তাঁর	G0846	0.707
তাঁরই	G0846	0.312
তাঁরা	G0846	0.155
তাকে	G0846	0.601
তাতে	G1161,G2532	0.343
তার	G0846	0.437
তারপর	G2532,G3767	0.375
তারপরে	G1534,G1899,G3326,G3767	0.227
তারা	G0846	0.155
তাহলে	G0686,G2532	0.188
তিনি	G0846	0.190
তিনিই	G0846,G3778	0.214
তুমি	G4771	0.164
তুমিই	G4771	0.733
তুমিও	G4771	0.923
তেমন	G2531,G3779,G5613	0.138
তেমনি	G2531,G3779,G5613	0.316
তো	G1063	0.135
তোমরা	G5210	0.110
তোমরাই	G5210	0.842
তোমরাও	G2532,G5210	0.490
তোমাকে	G4571,G4671	0.460
তোমাদের	G5209,G5213,G5216	0.306
তোমাদেরকে	G5209,G5213	0.425
তোমার	G4671,G4675	0.517
থেকে	G0575,G1537	0.263
থেকেই	G0575,G1537	0.516
দিকে	G1519,G4314	0.250
দুই	G1417	0.448
দুটি	G1417	0.615
দেখ	G2400	0.708
দ্বারা	G1223,G1722,G5259	0.241
ধিক	G3759	1.000
নই	G3756,G3765	0.750
নও	G3361,G3756,G3760,G3765	0.700
নয়	G0235,G3756	0.308
না	G3361,G3756	0.339
নি	G3361,G3756	0.580
নিজ	G0846,G1438,G2398	0.250
নিজে	G0846,G1438	0.388
নিজেকে	G1438,G4572	0.465
নিজেদের	G0846,G1438	0.338
নিজেদেরকে	G1438	0.742
নিজের	G0846,G1438	0.306
নিজেরাই	G0846,G1438	0.471
নেই	G3361,G3756	0.545
পড়ল	G0846,G2532,G3778	0.389
পর	G3326	0.151
পরে	G1161,G2532	0.325
পরের	G1887	0.323
পর্যন্ত	G0891,G2193	0.330
পাঁচটি	G4002	0.867
পায়	G2532,G3588	0.242
প্রতি	G1519	0.138
বরং	G0235	0.449
বা	G2228,G2532	0.326
বারো	G1427	0.926
বিরুদ্ধে	G1519,G1909,G2596	0.274
মত	G5613	0.427
মতো	G5613	0.432
মধ্য	G1537,G1722	0.414
মধ্যে	G1722	0.441
মাধ্যমে	G1223,G1722	0.479
মাধ্যমেই	G1223,G1537	0.571
যখন	G3752,G3753	0.153
যতক্ষণ	G2193	0.464
যদি	G1437,G1487	0.446
যদিও	G1161,G1487	0.298
যা	G3588,G3739	0.226
যাঁর	G3588,G3739	0.553
যাঁরা	G3588,G3739,G3748	0.333
যাকে	G3588,G3739	0.562
যাতে	G2443	0.404
যাদের	G3588,G3739	0.371
যার	G3588,G3739	0.304
যারা	G3588	0.477
যিনি	G3588,G3739	0.344
যিরূশালেমে	G1519,G1722	0.656
যে	G3588,G3754	0.226
যেখানে	G3699,G3757	0.518
যেন	G2443	0.444
যেমন	G2531,G5613	0.419
সঙ্গে	G3326,G4862	0.229
সম্পর্কে	G3588,G4012	0.517
সাত	G2033	0.720
সাতটা	G2033,G3588	0.727
সাতটি	G2033	0.923
সাথে	G3326	0.227
সামনে	G1715,G1799	0.390
সুতরাং	G3767	0.402
সে	G0846	0.118
সেই	G3588	0.261
সেইজন্য	G1223,G2443,G3767	0.139
সেইভাবে	G3668,G3779	0.310
সেখান	G1564,G2547	0.324
সেখানে	G1563	0.212
হঠাৎ	G0869,G1810,G3916	0.417
হয়	G2532	0.137
হয়েছিল	G3588	0.107
হয়েছে	G2532,G3588	0.125
হয়ো	G3361	0.895
হ্যাঁ	G3483	0.727
