lex	stem	sense	gloss	count	share
<KR[	qal	2	[those	1	0.1
<KR[	qal	3	O trouble	1	0.1
<KS/		1	bangle, anklet	2	1.0
<KSH/		1	Acsah	5	1.0
<KW/		1	Acco	1	1.0
<KWR/		1	Achor	5	1.0
<L		1	on, upon, against, over (prep); on account of; opposite to	990	0.997
<L		2	against	2	0.002
<L		3	there-	1	0.001
<L/		1	yoke	38	1.0
<L</		1	rib	1	1.0
<L>		1	above	1	1.0
<L>/		1	Ulla	1	1.0
<LG/		1	stammerer	1	1.0
<LH/		1	burnt offering	285	0.997
<LH/		2	than burnt offerings	1	0.003
<LH=/		1	leaves, leaf	13	0.722
<LH=/		2	leaves	5	0.278
<LH[	hif	1	bring, lead up, cause to rise	205	0.962
<LH[	hif	2	about to bring up	2	0.009
<LH[	hif	3	they made go up	1	0.005
<LH[	hif	4	they will go up	1	0.005
<LH[	hif	5	[one	1	0.005
<LH[	hif	6	stir up	1	0.005
<LH[	hif	7	people will offer up	1	0.005
<LH[	hif	8	they have caused to rise	1	0.005
<LH[	hit	1	lift oneself up	1	1.0
<LH[	hof	1	be sacrificed, carried away; be inserted	1	0.333
<LH[	hof	2	it was taken away	1	0.333
<LH[	hof	3	it was recorded	1	0.333
<LH[	nif	1	be taken up, be exalted; withdraw; be talked about	11	0.688
<LH[	nif	2	he is exalted	2	0.125
<LH[	nif	3	they took themselves up	1	0.062
<LH[	nif	4	it had abandoned pursuit	1	0.062
<LH[	nif	5	were led up	1	0.062
<LH[	qal	1	go up	577	0.986
<LH[	qal	2	mount	2	0.003
<LH[	qal	3	spring up	1	0.002
<LH[	qal	4	about to go up	1	0.002
<LH[	qal	5	people went up	1	0.002
<LH[	qal	6	someone will go up	1	0.002
<LH[	qal	7	it had grown up	1	0.002
<LH[	qal	8	when came up	1	0.002
<LJ/		1	upper	2	1.0
<LJ=/		1	pestle	1	1.0
<LJ==/		1	Eli	33	1.0
<LJH/		1	roof-chamber	18	0.9
<LJH/		2	the roof-chamber	2	0.1
<LJL/		1	(uncertain)	1	1.0
<LJLH/		1	deed, action	21	1.0
<LJLJH/		1	deed	1	1.0
<LJWN/		1	upper; Most High	50	0.962
<LJWN/		2	O Most High	2	0.038
<LJZ/		1	rejoicing; presumptuous	7	1.0
<LLWT/		1	gleaning	6	1.0
<LL[	hit	1	deal wantonly with	3	0.375
<LL[	hit	2	he dealt wantonly	2	0.25
<LL[	hit	3	I have dealt ruthlessly	1	0.125
<LL[	hit	4	they abused	1	0.125
<LL[	hit	5	practice	1	0.125
<LL[	piel	1	deal with; glean	3	0.333
<LL[	piel	2	you will glean	2	0.222
<LL[	piel	3	thoroughly (glean)	2	0.222
<LL[	piel	4	acting like children	1	0.111
<LL[	piel	5	deal severely	1	0.111
<LM/		1	young man	1	0.5
<LM/		2	man	1	0.5
<LMH/		1	young woman	3	0.429
<LMH/		2	young women	3	0.429
<LMH/		3	a young woman	1	0.143
<LMT/		1	Alemeth	1	1.0
<LMT=/		1	Alemeth	3	1.0
<LMWN/		1	Almon	1	1.0
<LM[	hif	1	conceal	7	0.7
<LM[	hif	2	he has hidden	2	0.2
<LM[	hif	3	concealing	1	0.1
<LM[	hit	1	hide oneself	6	1.0
<LM[	nif	1	be hidden	11	1.0
<LM[	qal	1	secret, what is hidden (qal participle)	1	1.0
<LPH/		1	(uncertain)	1	1.0
<LP[	hit	1	to enwrap oneself; faint	2	0.667
<LP[	hit	2	they will become faint	1	0.333
<LP[	pual	1	be covered with; faint	1	0.5
<LP[	pual	2	covered	1	0.5
<LS[	hit	1	delight in	1	1.0
<LS[	nif	1	flap joyously	1	1.0
<LS[	qal	1	enjoy	1	1.0
<LVH/		1	darkness	4	1.0
<LWH=/		1	Alvah	2	1.0
<LWN/		1	Alvan	1	1.0
<LWQH/		1	leech	1	1.0
<LY[	qal	1	rejoice	6	0.75
<LY[	qal	2	rejoice	2	0.25
<LZ/		1	rejoicing	1	1.0
<M		1	with; (together) with; just as	16	0.941
<M		2	than	1	0.059
<M/		1	people; kinship; relative	1862	1.0
<M<D/		1	Amad	1	1.0
<MCSJ/		1	Amashsai	1	1.0
<MD/		1	company; with	1	1.0
<MD=/		1	standing-place	9	1.0
<MDH/		1	standing-ground	1	1.0
<MD[	hif	1	cause to stand, set, appoint	61	0.938
<MD[	hif	2	he will raise up	2	0.031
<MD[	hif	3	fulfill	1	0.015
<MD[	hif	4	holding upright	1	0.015
<MD[	hof	1	be set up	1	0.5
<MD[	hof	2	placed	1	0.5
<MD[	qal	1	take a stand, stand; stop	415	0.972
<MD[	qal	2	it has stayed	3	0.007
<MD[	qal	3	he made a stand	3	0.007
<MD[	qal	4	he will stand firm	1	0.002
<MD[	qal	5	those who] stood	1	0.002
<MD[	qal	6	it will remain standing	1	0.002
<MD[	qal	7	they will stand their ground	1	0.002
<MD[	qal	8	he will present himself	1	0.002
<MD[	qal	9	they stand forth	1	0.002
<MF>/		1	Amasa	16	1.0
<MFJ/		1	Amasai	5	1.0
<MH/		1	just like; close to, at (prep); side by side	1	0.5
<MH/		2	exactly as	1	0.5
<MH=/		1	Ummah	1	1.0
<MJ>L/		1	Ammiel	6	1.0
<MJCDJ/		1	Ammishaddai	5	1.0
<MJHWD/		1	Ammihud	10	1.0
<MJNDB/		1	Amminadab	13	1.0
<MJQ/		1	deep	1	1.0
<MJR/		1	swath, row of fallen grain	3	0.75
<MJR/		2	grain	1	0.25
<MJT/		1	fellow, comrade	10	0.833
<MJT/		2	your fellow citizen	2	0.167
<MJZBD/		1	Ammizabad	1	1.0
<ML/		1	labor, labour, effort; distress, trouble	55	1.0
<ML=/		1	toiling; labourer	5	0.556
<ML=/		2	of laborers	2	0.222
<ML=/		3	a sufferer	2	0.222
<MLQ/		1	Amalek	39	1.0
<MLQJ/		1	Amalekite	12	1.0
<MM=[	hof	1	become dark	1	1.0
<MM[	qal	1	ally oneself, be a match for	1	1.0
<MQ/		1	valley; the lowland	65	1.0
<MQ=/		1	deep, impenetrable	16	0.941
<MQ=/		2	unfathomable	1	0.059
<MQ==/		1	unintelligible	3	1.0
<MQ===/		1	depth	2	1.0
<MR/		1	gomer (grain-measure)	6	1.0
<MR=/		1	sheaf, cut grain	6	0.75
<MR=/		2	sheaves	2	0.25
<MRH/		1	Gomorrah	19	1.0
<MRJ/		1	Omri	18	1.0
<MRM/		1	Amram	14	1.0
<MRMJ/		1	Amramite	2	1.0
<MR[	hit	1	treat violently	2	1.0
<MSJH/		1	Amasiah	1	1.0
<MS[	hif	1	lay upon	2	1.0
<MS[	qal	1	load; carry	3	0.429
<MS[	qal	2	he loaded	2	0.286
<MS[	qal	3	[those	1	0.143
<MS[	qal	4	he carries a load	1	0.143
<MWD/		1	pillar, column	110	0.991
<MWD/		2	posts	1	0.009
<MWN/		1	Ammon	106	1.0
<MWNJ/		1	Ammonite	17	1.0
<MWQ/		1	Amok	2	1.0
<MWS/		1	Amos	5	0.714
<MWS/		2	O Amos	2	0.286
<NB/		1	grape (cluster)	19	1.0
<NB=/		1	Anab	2	1.0
<NC/		1	fine	2	1.0
<NC[	nif	1	be fined	2	0.667
<NC[	nif	2	he will be fined	1	0.333
<NC[	qal	1	fine	4	0.8
<NC[	qal	2	certainly (fine)	1	0.2
<ND[	qal	1	bind around	1	1.0
<NG/		1	dainty	2	1.0
<NG=/		1	delight	2	1.0
<NG[	hit	1	pamper oneself	7	0.778
<NG[	hit	2	was delicate	1	0.111
<NG[	hit	3	are you making fun	1	0.111
<NH=/		1	Anah	12	1.0
<NH=[	hit	1	be afflicted; sumbit	3	0.5
<NH=[	hit	2	you were afflicted	3	0.5
<NH=[	nif	1	humble oneself, be humbled	3	0.75
<NH=[	nif	2	humble yourself	1	0.25
<NH=[	piel	1	oppress, humiliate	30	0.811
<NH=[	piel	2	people afflicted	2	0.054
<NH=[	piel	3	you will mistreat	1	0.027
<NH=[	piel	4	they abused	1	0.027
<NH=[	piel	5	[those	1	0.027
<NH=[	piel	6	he violates	1	0.027
<NH=[	piel	7	men have humiliated	1	0.027
<NH=[	pual	1	be humbled, humble oneself	2	0.667
<NH=[	pual	2	it will humble	1	0.333
<NH=[	qal	1	bend down, be afflicted, be humble	3	0.6
<NH=[	qal	2	he will quieten	1	0.2
<NH=[	qal	3	it cringes	1	0.2
<NH[	hif	1	answer?; take heed?	2	1.0
<NH[	nif	1	be answered; let oneself be brought to answer	3	0.6
<NH[	nif	2	let myself give an answer	2	0.4
<NH[	qal	1	answer	245	0.988
<NH[	qal	2	[one	2	0.008
<NH[	qal	3	will anyone answer	1	0.004
<NJ/		1	afflicted, poor; humble	64	0.955
<NJ/		2	O afflicted	3	0.045
<NJ=/		1	misery, affliction, poverty	35	0.972
<NJ=/		2	than affliction	1	0.028
<NJ==/		1	Unni	3	1.0
<NJH/		1	Anaiah	2	1.0
<NJM/		1	Anim	1	1.0
<NJN/		1	occupation, task	8	1.0
<NM/		1	Anem	1	1.0
<NMJM/		1	Anamites	2	1.0
<NMLK/		1	Anammelech	1	1.0
<NN/		1	clouds, cloud-mass	86	1.0
<NNH/		1	cloud	1	1.0
<NNJ/		1	Anani	1	1.0
<NNJH/		1	Ananiah	1	1.0
<NNJH=/		1	Ananiah	1	1.0
<NN[	piel	1	cause to appear, conjure up	7	0.7
<NN[	piel	2	he practiced soothsaying	3	0.3
<NP/		1	branch, branches	7	1.0
<NP=/		1	full of branches	1	1.0
<NQ=/		1	necklace	3	1.0
<NQ[	hif	1	put on one's neck, equip with	2	1.0
<NR/		1	Aner	2	1.0
<NR=/		1	Aner	1	1.0
<NT/		1	Anath	2	1.0
<NTTJ/		1	Anathothite	5	1.0
<NTTJH/		1	Anthothijah	1	1.0
<NTWT/		1	Anathoth	13	1.0
<NTWT=/		1	Anathoth	2	1.0
<NW/		1	poor, humble, meek	21	1.0
<NWB/		1	Anub	1	1.0
<NWH=/		1	humility	5	1.0
<NWQ/		1	Anak	1	1.0
<NWT/		1	affliction?	1	1.0
<PJ/		1	foliage	3	1.0
<PL[	hif	1	show heedlessness	1	1.0
<PL[	pual	1	be bloated?	1	1.0
<PNJ/		1	Ophni	1	1.0
<PR/		1	dust, dry earth; rubbish	108	0.982
<PR/		2	of ground	2	0.018
<PR=/		1	young gazelle, roe	5	1.0
<PR==/		1	Epher	4	1.0
<PRH/		1	Ophrah	6	1.0
<PRH==/		1	Ophrah	1	1.0
<PRT/		1	lead	9	1.0
<PRWN/		1	Ephron	12	1.0
<PRWN=/		1	Ephron	1	1.0
<QB/		1	result, reward; (unto the) end; because of	15	1.0
<QB=/		1	heel; footprint	14	1.0
<QB==/		1	something steep, hilly; something deceitful	1	0.5
<QB==/		2	tracked	1	0.5
<QBH/		1	insidiousness	1	1.0
<QB[	qal	1	seize at the heel, overreach	1	1.0
<QC/		1	perverted	8	0.727
<QC/		2	than the perverse	2	0.182
<QC/		3	twisted	1	0.091
<QCWT/		1	crookedness	2	1.0
<QD/		1	striped	7	1.0
<QD[	qal	1	bind	1	1.0
<QH/		1	pressure	1	1.0
<QLQL/		1	crooked	2	1.0
<QLTWN/		1	coiling	1	1.0
<QL[	pual	1	be crooked	1	1.0
<QN/		1	Akan	1	1.0
<QR/		1	barren	10	0.833
<QR/		2	a sterile	1	0.083
<QR/		3	O barren	1	0.083
<QR=/		1	offspring	1	1.0
<QRB/		1	scorpion; scourge	6	1.0
<QRWN/		1	Ekron	22	1.0
<QRWNJ/		1	from Ekron	2	1.0
<QR[	nif	1	be rooted up	1	1.0
<QR[	piel	1	lame by cutting hamstring	4	0.8
<QR[	piel	2	you will hamstring	1	0.2
<QR[	qal	1	root up	1	1.0
<QWB/		1	Akkub	8	1.0
<R<R/		1	naked, stripped; juniper	1	0.5
<R<R/		2	the destitute person	1	0.5
<R<RJ/		1	Aroerite	1	1.0
<R<WR/		1	Aroer	1	1.0
<R=/		1	Er	10	1.0
<R==/		1	Ar	6	1.0
<RB/		1	evening	123	0.918
<RB/		2	evenings	11	0.082
<RB=/		1	stinging insects	7	0.778
<RB=/		2	a swarm of flies	2	0.222
<RB==/		1	weaving?	9	1.0
<RB===/		1	raven	10	1.0
<RB====/		1	mixture, mixed company	3	0.6
<RB====/		2	a mixed company	1	0.2
<RB====/		3	person of mixed ancestry	1	0.2
<RB=[	hif	1	do in the evening	1	1.0
<RB=[	qal	1	become evening	2	1.0
<RBH/		1	desert, plain	58	0.967
<RBH/		2	its desert	1	0.017
<RBH/		3	clouds	1	0.017
<RBH==/		1	pledge; token	2	1.0
<RBJ/		1	Arab	7	1.0
<RBJ=/		1	Arab	2	1.0
<RBTJ/		1	Arbathite	2	1.0
<RBWN/		1	pledge	3	1.0
<RB[	hit	1	make a wager	2	1.0
<RB[	qal	1	stand (as) surety	7	0.5
<RB[	qal	2	stand	2	0.143
<RB[	qal	3	pledging	2	0.143
<RB[	qal	4	trade	1	0.071
<RB[	qal	5	the traders	1	0.071
<RB[	qal	6	mortgaging	1	0.071
<RD/		1	Arad	4	1.0
<RD=/		1	Arad	1	1.0
<RF/		1	bedstead, couch	8	0.8
<RF/		2	sarcophagus	2	0.2
<RG[	qal	1	long for	3	1.0
<RH[	hif	1	make naked; pour out	2	0.667
<RH[	hif	2	he poured out	1	0.333
<RH[	hit	1	make oneself naked	1	0.5
<RH[	hit	2	you will make yourself naked	1	0.5
<RH[	nif	1	be poured out	1	1.0
<RH[	piel	1	empty out	4	0.444
<RH[	piel	2	pour out	3	0.333
<RH[	piel	3	it laid bare	2	0.222
<RJ=/		1	Eri	2	1.0
<RJH/		1	nakedness	6	1.0
<RJRJ/		1	childless	4	1.0
<RJSH/		1	dough?	4	1.0
<RJY/		1	violent, mighty (adj); master (n)	18	0.947
<RJY/		2	ruthless person	1	0.053
<RK/		1	layer, row; equipment, accessories	28	0.966
<RK/		2	an order	1	0.034
<RK[	hif	1	value, tax	3	0.75
<RK[	hif	2	he taxed	1	0.25
<RK[	qal	1	arrange, set in order	54	0.844
<RK[	qal	2	deploy	3	0.047
<RK[	qal	3	to compare	2	0.031
<RK[	qal	4	prepare	2	0.031
<RK[	qal	5	he drew up in formation	2	0.031
<RK[	qal	6	is he comparable	1	0.016
<RL/		1	uncircumcised	32	1.0
<RLH/		1	foreskin	16	1.0
<RL[	nif	1	show foreskin	1	1.0
<RL[	qal	1	leave unharvested	1	1.0
<RMH/		1	prudence	3	0.6
<RMH/		2	cunning	2	0.4
<RMWN/		1	plane-tree	2	1.0
<RM[	nif	1	be heaped up	1	1.0
<RN/		1	Eran	1	1.0
<RNJ/		1	Eranite	1	1.0
<RP/		1	neck, nape	33	1.0
<RP=[	qal	1	break neck	2	0.5
<RP=[	qal	2	necked	1	0.25
<RP=[	qal	3	he will break	1	0.25
<RPH/		1	Orpah	2	1.0
<RPL/		1	darkness, gloom	15	1.0
<RP[	qal	1	drip	2	1.0
<RQJ/		1	Arkite	2	1.0
<RQ[	qal	1	gnaw	2	1.0
<RR[	hit	1	be demolished	1	1.0
<RR[	piel	1	lay bare, demolish	1	0.5
<RR[	piel	2	utterly (laid bare)	1	0.5
<RR[	qal	1	strip oneself	1	1.0
<RW<R=/		1	Aroer	15	1.0
<RWD/		1	wild ass	1	1.0
<RWGH/		1	garden bed	4	1.0
<RWH/		1	nakedness; private parts; shame	53	0.981
<RWH/		2	own nakedness	1	0.019
<RWM/		1	naked	16	1.0
<RWM=/		1	subtle, crafty, shrewd	8	0.727
<RWM=/		2	crafty	3	0.273
<RWY/		1	slope	1	1.0
<RY[	hif	1	treat with awe, cause to tremble	2	1.0
<RY[	nif	1	be terrible	1	1.0
<RY[	qal	1	be afraid, alarmed	10	1.0
<SJS/		1	grape juice	3	0.6
<SJS/		2	wine	1	0.2
<SJS/		3	of the juice	1	0.2
<SS[	qal	1	tread down	1	1.0
<T/		1	time	295	0.997
<T/		2	than a time	1	0.003
<TD[	hit	1	be prepared, destined	1	1.0
<TD[	piel	1	prepare	1	1.0
<TH		1	now	432	0.998
<TH		2	than now	1	0.002
<TJ/		1	ready	1	1.0
<TJD/		1	ready; coming; store	4	0.8
