strong	lemma	en	es	fr	pt	zh	zh-Hant
G0103	ᾄδω	sing	cantar	chanter		唱歌	唱歌
G0104	ἀεί	always	siempre	toujours		总是;一直;连续地	總是;一直;連續地
G0105	ἀετός	eagle	águila	aigle		鹰;秃鹫	鷹;禿鷲
G0106	ἄζυμος	unleavened	sin levadura	sans levain		无酵;除酵	無酵;除酵
G0107	Ἀζώρ	Azor	Azor	Azor		亚所;《思》阿左尔	亞所;《思》阿左爾
G0108	Ἄζωτος	Azotus	Azoto	Azot		亚锁都;《思》阿左托	亞鎖都;《思》阿左托
G0109	ἀήρ	air	aire	air		空中	空中
G0110	ἀθανασία	immortality	inmortalidad	immortalité		不死;不朽;不朽坏	不死;不朽;不朽壞
G0111	ἀθέμιτος	unlawful	no permitido	non autorisé		不容许的;禁止的	不容許的;禁止的
G0112	ἄθεος	without God	estar sin Dios	être sans Dieu		没有上帝	沒有上帝
G0113	ἄθεσμος	lawless	ilegal	non-droit		不法的;不遵守法律的;不服约束的	不法的;不遵守法律的;不服約束的
G0114	ἀθετέω	reject	no confiar en	ne pas compter sur		不信赖;不理会;弃绝	不信賴;不理會;棄絕
G0115	ἀθέτησις	nullification	rechazar	rejeter		拒绝;弃绝;视为无效;废弃	拒絕;棄絕;視為無效;廢棄
G0116	Ἀθῆναι	Athens	Atenas	Athènes		雅典	雅典
G0117	Ἀθηναῖος	Athenian	ateniense	Athénien		雅典的	雅典的
G0118	ἀθλέω	compete	competir	concourir		竞争;竞赛	競爭;競賽
G0119	ἀθροίζω	struggle	lucha	lutter: lutte		争战;冲突	爭戰;衝突
G0120	ἀθυμέω	be discouraged	desanimarse	se décourager		灰心丧志;沮丧	灰心喪志;沮喪
G0121	ἀθῷος	innocent	inocente	non-coupable		无罪的;无辜的	無罪的;無辜的
G0122	αἴγιος	goat's	de una cabra	de chèvre		山羊的	山羊的
G0123	αἰγιαλός	shore	playa	plage		海滩;岸边	海灘;岸邊
G0124	Αἰγύπτιος	Egyptian	egipcio	égyptien		埃及人的;埃及的	埃及人的;埃及的
G0125	Αἴγυπτος	Egypt	Egipto	Égypte		埃及	埃及
G0126	ἀΐδιος	eternal	eterno	éternel		永恒的;永远的;永久的;永存的	永恆的;永遠的;永久的;永存的
G0127	αἰδώς	modesty	modestia	modestie		庄重;朴素	莊重;樸素
G0128	Αἰθίοψ	Ethiopian	etíope	un Éthiopien		《和2010》埃塞俄比亚人;《现》衣索匹亚人;《和》埃提阿伯人;《思》厄提约丕雅人	《和2010》埃塞俄比亞人;《現》衣索匹亞人;《和》埃提阿伯人;《思》厄提約丕雅人
G0129	αἷμα	blood	sangre	sang		血	血
G0130	αἱματεκχυσία	bloodshed	causar sangrado	faire saigner		使流血;使血流出来;流血	使流血;使血流出來;流血
G0131	αἱμορροέω	bleed	sangrar	saigner		流血;患血漏;患血崩	流血;患血漏;患血崩
G0132	Αἰνέας	Aeneas	Eneas	Énée		以尼雅;《思》艾乃阿	以尼雅;《思》艾乃阿
G0133	αἴνεσις	praise	elogiar	louer		赞美;颂赞	讚美;頌讚
G0134	αἰνέω	praise	elogiar	louer		赞美;颂赞	讚美;頌讚
G0135	αἴνιγμα	obscure thing	lo que es desconcertante	ce qui est troublant		令人困惑的事情;难以理解的事情;谜语	令人困惑的事情;難以理解的事情;謎語
G0136	αἶνος	praise	elogiar	louer		赞美;颂赞	讚美;頌讚
G0137	Αἰνών	Aenon	Enón	Énon		哀嫩;《思》艾农	哀嫩;《思》艾農
G0138	αἱρέω	choose	escoger	choisir		选择;挑选;宁愿;宁可	選擇;挑選;寧願;寧可
G0139	αἵρεσις	sect	partido religioso	parti religieux		宗教党派;教派	宗教黨派;教派
G0140	αἱρετίζω	choose	elegir	choisir		选择;拣选	選擇;揀選
G0141	αἱρετικός	schismatic	divisivo	dissension		分裂;制造分裂的人;制造纷争的人;分门结党的人	分裂;製造分裂的人;製造紛爭的人;分門結黨的人
G0142	αἴρω	take up	llevar (lejos)	(trans)porter		带走;移走;拿去	帶走;移走;拿去
G0143	αἰσθάνομαι	perceive	ser capaz de percibir	être capable de discerner		能够理解;具有理解能力;理解力	能够理解;具有理解能力;理解力
G0144	αἴσθησις	insight	ser capaz de percibir	être capable de discerner		能够理解;具有理解能力;理解力	能够理解;具有理解能力;理解力
G0145	αἰσθητήριον	sense	ser capaz de percibir	être capable de discerner		能够理解;具有理解能力;理解力	能够理解;具有理解能力;理解力
G0146	αἰσχροκερδής	greedy	ganancias deshonestas	honteusement avide		贪不义之财;贪婪	貪不義之財;貪婪
G0147	αἰσχροκερδῶς	greedily	ganancias deshonestas	honteusement avide		贪不义之财;贪婪	貪不義之財;貪婪
G0148	αἰσχρολογία	obscenity	lenguaje vulgar	parole vulgaire		粗俗的言论;下流的言论;污秽的言语	粗俗的言論;下流的言論;污穢的言語
G0149		shameful	vergonzoso *				
G0150	αἰσχρός	shameful	deshonroso	inconvenant		不名誉的;可耻的	不名譽的;可恥的
G0151	αἰσχρότης	obscenity	actuar vergonzosamente	agir de façon honteuse		行为可耻;不正派的行为;可耻的行为	行為可恥;不正派的行為;可恥的行為
G0152	αἰσχύνη	shame	vergüenza	honte		羞愧;羞耻	羞愧;羞恥
G0153	αἰσχύνω	be ashamed	estar avergonzado	avoir honte		惭愧;感到羞耻;觉得羞愧	慚愧;感到羞恥;覺得羞愧
G0154	αἰτέω	ask	pedir	demander		要求;需求;恳求	要求;需求;懇求
G0155	αἴτημα	request	solicitud	requête		请求;需求;所要求的东西	請求;需求;所要求的東西
G0156	αἰτία	cause	razón	raison		原因;理由;缘由;由于	原因;理由;緣由;由於
G0157	αἰτίωμα	charge	acusación *				
G0158		reason for charge	razón	raison		原因;理由;缘由;由于	原因;理由;緣由;由於
G0159	αἴτιος	causer	culpable *				
G0160	αἰφνίδιος	sudden	repentinamente	soudainement		忽然;立即;立刻	忽然;立即;立刻
G0161	αἰχμαλωσία	captivity	cautividad	captivité		囚禁;被掳;俘虏	囚禁;被擄;俘虜
G0162	αἰχμαλωτεύω	take captive	hacer cautivo	faire prisonnier		俘虏;俘获;掳掠;掳获;在战争中俘虏某人	俘虜;俘獲;擄掠;擄獲;在戰爭中俘虜某人
G0163	αἰχμαλωτίζω	capture	hacer cautivo	faire prisonnier		俘虏;俘获;掳掠;掳获;在战争中俘虏某人	俘虜;俘獲;擄掠;擄獲;在戰爭中俘虜某人
G0164	αἰχμάλωτος	captive	cautivo	captif		俘虏;战俘;被掳的	俘虜;戰俘;被擄的
G0165	αἰών	age	años	âge, ère		时代;世代;现世	時代;世代;現世
G0166	αἰώνιος	eternal	eterno	éternel		永恒的;永远的;永久的;永存的	永恆的;永遠的;永久的;永存的
G0167	ἀκαθαρσία	impurity	impureza	impureté		不纯洁;不道德;污秽	不純潔;不道德;污穢
G0168		uncleanness	inmundicia *				
G0169	ἀκάθαρτος	unclean	contaminado	souillé		污秽的;礼仪上不洁净的	污穢的;禮儀上不潔淨的
G0170	ἀκαιρέομαι	lack opportunity	carecer de oportunidades	manquer une occasion		没有机会;没得机会;缺少机会	沒有機會;沒得機會;缺少機會
G0171	ἀκαίρως	unseasonably	desfavorable	non-favorable		不方便;不合时机;时间不理想;不得时;不合时	不方便;不合時機;時間不理想;不得時;不合時
G0172	ἄκακος	innocent	sin culpa	sans défaut		没有过错;纯真的;无邪的	沒有過錯;純真的;無邪的
G0173	ἄκανθα	thorn	espino	plante épineuse		有刺植物;荆棘;蒺藜	有刺植物;荊棘;蒺藜
G0174	ἀκάνθινος	thorny	corona de espina	couronne d'épines		荆棘冠冕	荊棘冠冕
G0175	ἄκαρπος	unfruitful	sin fruto	sans fruit		没有果子;无法结出果实;没有收成	沒有果子;無法結出果實;沒有收成
G0176	ἀκατάγνωστος	beyond reproach	por encima de la crítica	exempt de critique		无可指责;无可批评;无可非议	無可指責;無可批評;無可非議
G0177	ἀκατακάλυπτος	uncovered	descubierto	découvert		没有遮盖的;不蒙着的	沒有遮蓋的;不蒙著的
G0178	ἀκατάκριτος	uncondemned	sin juicio (legal)	sans procès		未经审讯的;没有被定罪的;未判罪的	未經審訊的;沒有被定罪的;未判罪的
G0179	ἀκατάλυτος	indestructible	no puede ser llevado a su fin	ne peut mettre fin à		不能结束的	不能結束的
G0180	ἀκατάπαυστος	unceasing	sin cesar	sans cesse		从未停止;不停止;止不住	從未停止;不停止;止不住
G0181	ἀκαταστασία	disorder	rebelarse contra	se rebeller contre		反抗;造反;叛乱	反抗;造反;叛亂
G0182	ἀκατάστατος	restless	no controlado por	non contrôlé par		不被控制;不受管制;不受控制	不被控制;不受管制;不受控制
G0183		uncontrollable	incontrolable *				
G0184	Ἁκελδαμάχ	Akeldama	Acéldama	Hakeldama		亚革大马;《思》哈刻达玛	亞革大馬;《思》哈刻達瑪
G0185	ἀκέραιος	innocent	puro	pur		纯洁的;没有玷污的	純潔的;沒有玷污的
G0186	ἀκλινής	unwavering	sin vacilar	sans hésitation		毫不动摇;坚定地	毫不動搖;堅定地
G0187	ἀκμάζω	ripen	madurar	mûrir		使成熟;成熟的	使成熟;成熟的
G0188	ἀκμήν	still	todavía	encore		还;仍然;也	還;仍然;也
G0189	ἀκοή	hearing	escuchar	entendre		听声的能力;听觉	聽見{N:001}
G0190	ἀκολουθέω	follow	seguir	suivre		跟在后面;后随	跟在後面;後隨
G0191	ἀκούω	hear	escuchar	entendre		能听见;听力;听见	聽見{N:001}
G0192	ἀκρασία	self-indulgence	falta de autocontrol	manque de maîtrise de soi		缺乏自控;不能控制自己	缺乏自控;不能控制自己
G0193	ἀκρατής	intemperate	sin control	incontrôlable		没有控制住的;缺乏自控	沒有控制住的;缺乏自控
G0194	ἄκρατος	undiluted	concentrado	à pleine puissance		没有稀释的;没有杂质的;纯粹的;纯一不杂的	沒有稀釋的;沒有雜質的;純粹的;純一不雜的
G0195	ἀκρίβεια	strictness	rigurosidad	rigueur		严格;严格遵循;严紧;准确	嚴格;嚴格遵循;嚴緊;準確
G0196	ἀκριβέστατος	strictest	preciso	précis		准确的;准确地;严格的;严格地;详细;详细地;仔细;详尽地	準確的;準確地;嚴格的;嚴格地;詳細;詳細地;仔細;詳盡地
G0197	ἀκριβέστερον	stricter	más exacto *				
G0198	ἀκριβόω	be exactly	aprender exactamente	apprendre exactement		准确地得知;准确地找出;查明;查问;仔细询问	準確地得知;準確地找出;查明;查問;仔細詢問
G0199	ἀκριβῶς	exactly	preciso	précis		准确的;准确地;严格的;严格地;详细;详细地;仔细地;详尽地;明确地;清楚地	準確的;準確地;嚴格的;嚴格地;詳細;詳細地;仔細地;詳盡地;明確地;清楚地
G0200	ἀκρίς	locust	saltamontes	sauterelle		蝗虫	蝗蟲
G0201	ἀκροατήριον	hall	sala de audiencias	hall d'audience		大厅;礼堂	大廳;禮堂
G0202	ἀκροατής	hearer	oyente	celui qui écoute		听者;听见的人	聽者;聽見的人
G0203	ἀκροβυστία	uncircumcision	ser incircunciso	être incirconcis		未受割礼;包皮未割除	未受割禮;包皮未割除
G0204	ἀκρογωνιαῖος	cornerstone	piedra angular	pierre d'angle		房角石;重要的石	房角石;重要的石
G0205	ἀκροθίνιον	fine spoils	lo mejor del botín	le meilleur du butin		最好的战利品;最上等的战利品;最贵重的掠夺物	最好的戰利品;最上等的戰利品;最貴重的掠奪物
G0206	ἄκρον	end	límite extremo	frontière extrême		极限边界;最终极限;尽头;地极;天边	極限邊界;最終極限;盡頭;地極;天邊
G0207	Ἀκύλας	Aquila	Aquila	Aquilas		亚居拉;《思》阿桂拉	亞居拉;《思》阿桂拉
G0208	ἀκυρόω	nullify	invalidar la autoridad de	infirmer l'autorité de		使权威无效;拒绝;废除;废弃;废掉	使權威無效;拒絕;廢除;廢棄;廢掉
G0209	ἀκωλύτως	freely	sin obstáculos	sans obstacle		没有阻碍地;自由地;无限制地	沒有阻礙地;自由地;無限制地
G0210	ἄκων	unwilling	no estar dispuesto	ne voulant pas		不情愿;不是出于自己自由意志的;不是自由选择的;不是自愿的	不情願;不是出於自己自由意志的;不是自由選擇的;不是自願的
G0211	ἀλάβαστρος	jar	frasco de alabastro	flacon d'albâtre		玉瓶	玉瓶
G0212	ἀλαζονία	boasting	falsa arrogancia	fausse arrogance		张狂;自负;傲慢;骄傲	張狂;自負;傲慢;驕傲
G0213	ἀλαζών	braggart	fanfarrón	fanfaron		自夸的人;傲慢的人	自誇的人;傲慢的人
G0214	ἀλαλάζω	wail	retiñir	résonner		叮当地响	叮噹地響
G0215	ἀλάλητος	inexpressible	lo que no se puede expresar con palabras	que les mots ne peuvent exprimer		无法用言语表达的事情	無法用言語表達的事情
G0216	ἄλαλος	mute	mudo	muet		哑的;无声的;不能言语;不会说话	啞的;無聲的;不能言語;不會說話
G0217	ἅλας	salt	sal	sel		盐	鹽
G0218	ἀλείφω	anoint	ungir	faire une onction		抹油;用油涂抹;用香膏抹	抹油;用油塗抹;用香膏抹
G0219	ἀλεκτοροφωνία	crowing	antes del amanecer	avant l'aube		在黎明之前;天亮以前;鸡叫的时候	在黎明之前;天亮以前;雞叫的時候
G0220	ἀλέκτωρ	rooster	gallo	coq		公鸡	公雞
G0221	Ἀλεξανδρεύς	Alexandrian	alejandrino	un Alexandrin		亚历山大人;《思》亚历山大里亚人	亞歷山大人;《思》亞歷山大里亞人
G0222	Ἀλεξανδρῖνος	Alexandria	alejandrino	d'Alexandrie		亚历山大的;从亚历山大来的	亞歷山大的;從亞歷山大來的
G0223	Ἀλέξανδρος	Alexander	Alejandro	Alexandre		亚历山大;《思》亚历山大	亞歷山大;《思》亞歷山大
G0224	ἄλευρον	flour	harina de trigo	farine de blé		小麦面粉	小麥麵粉
G0225	ἀλήθεια	truth	verdad	vérité		真理;真相;实情	真理;真相;實情
G0226	ἀληθεύω	be truthful	decir la verdad	dire la vérité		说真话;说出真相	說真話;說出真相
G0227	ἀληθής	true	verdadero	vrai		真实的;事实	真實的;事實
G0228	ἀληθινός	true	real	réel		真的;真实的;真正;确实	真的;真實的;真正;確實
G0229	ἀλήθω	grind	moler el grano	moudre du grain		磨谷物;推磨	磨穀物;推磨
G0230	ἀληθῶς	truly	real	réel		真的;真实的;真正;确实	真的;真實的;真正;確實
G0231	ἁλιεύς	fisherman	pescador	pêcheur		渔夫;打鱼的人	漁夫;打魚的人
G0232	ἁλιεύω	fish	pescar	pêcher		打鱼;捕鱼;钓鱼	打魚;捕魚;釣魚
G0233	ἁλίζω	salt	aplicar sal a algo	mettre du sel sur une chose		用盐腌;使再有咸味	用鹽醃;使再有鹹味
G0234	ἀλίσγημα	defilement	una cosa profanada	une chose souillée		被玷污的物;不洁净的东西;污秽	被玷污的物;不潔淨的東西;污穢
G0235	ἀλλά	but	pero	mais		但是;然而;相反地	但是;然而;相反地
G0236	ἀλλάσσω	change	cambiar	changer		改变;改换;使不同	改變;改換;使不同
G0237	ἀλλαχοῦ	from elsewhere	de otro lugar	d'ailleurs		从别处;从别的道路	從別處;從別的道路
G0238	ἀλληγορέω	use an analogy	hablar alegóricamente	parler de façon allégorique		以寓言方式表达;使用比喻;使用类比	以寓言方式表達;使用比喻;使用類比
G0239	ἁλληλουϊά	hallelujah	aleluya	alléluia		哈利路亚;赞美上帝	哈利路亞;讚美上帝
G0240	ἀλλήλων	one another	cada uno	l'un l'autre		互相;彼此	互相;彼此
G0241	ἀλλογενής	foreign	extranjero	étranger		外族人;外邦人	外族人;外邦人
G0242	ἅλλομαι	spring	brincar	bondir		跃起;跳起	躍起;跳起
G0243	ἄλλος	another	otro	différent		不同的;不相同;另一种	不同的;不相同;另一種
G0244	ἀλλοτριεπίσκοπος	meddler	entrometido	fouineur		好管闲事的人;干涉别人事务的人;惹麻烦的人	好管閒事的人;干涉別人事務的人;惹麻煩的人
G0245	ἀλλότριος	another’s	pertenece a otro	appartenant à autrui		属于另一个人的;属于别人的	屬於另一個人的;屬於別人的
G0246	ἀλλόφυλος	foreign	extranjero	étranger		异族人;外邦人;别国的人	異族人;外邦人;別國的人
G0247	ἄλλως	otherwise	otro	différent		不同的;不相同;另一种	不同的;不相同;另一種
G0248	ἀλοάω	thresh	trillar	battre		打谷;踹谷	打穀;踹穀
G0249	ἄλογος	unreasonable	sin razón	sans intelligence		不讲理的;没有理性的;不能思考的	不講理的;沒有理性的;不能思考的
G0250	ἀλόη	aloes	áloe	aloès		沉香,芦荟	沉香,蘆薈
G0251		salt	sal *				
G0252	ἁλυκός	salty	salado	salé		咸的	鹹的
G0253	ἀλυπότερος	without anxiety	aliviado de ansiedad	délivré de l'inquiétude		无忧无虑;消除忧伤;不再悲伤	無憂無慮;消除憂傷;不再悲傷
