# non-dominant (polysemous) senses needing translation per language; the dominant sense of each (lex,stem) localizes for free via the per-stem gloss
lex	stem	sense	en_gloss	share
>BNR/		2	O Abner	0.032
>BRHM/		2	O Abraham	0.011
>BRM/		2	O Abram	0.016
>BWS/		2	trough	0.333
>C/		2	O fire	0.003
>CH/		2	than a woman	0.004
>CH/		3	than women	0.003
>CH/		4	O women	0.003
>CH/		5	O wives	0.001
>CH/		6	his own wife	0.001
>CH/		7	O wife	0.001
>CH/		8	every woman	0.001
>CH=/		2	my fire	0.031
>CJCH/		2	(of) cakes	0.25
>CKR/		2	a gift	0.5
>CKWL/		2	the cluster of grapes	0.222
>CKWL/		3	of grapes	0.111
>CL/		2	a tamarisk tree	0.333
>CM[	qal	2	he became guilty	0.03
>CPT/		2	ash heap	0.429
>CR		2	belong] to which	0.003
>CR		3	since	0.003
>CTM</		2	Eshtemoh	0.167
>D/		2	mist	0.5
>DJR/		2	O noble	0.042
>DM/		2	a human person	0.002
>DM=/		2	redness	0.143
>DM=/		3	ruddy	0.143
>DMH/		2	O land	0.004
>DM[	pual	2	red	0.143
>DNJ/		2	belong]	0.002
>DNJ/		3	O	0.002
>DR/		2	the magnificence	0.5
>DRT/		2	splendor	0.167
>DWN/		2	O lord	0.006
>DWN/		3	the owner(s)	0.003
>GDH/		2	band	0.25
>GDH/		3	bindings	0.25
>GDH/		4	vault	0.25
>GG/		2	than Agag	0.125
>GM/		2	reed-pools	0.111
>GMWN/		2	a cord	0.2
>HBH/		2	leather	0.032
>HBH/		3	O love	0.032
>HB[	qal	2	one] whom it loves	0.025
>HB[	qal	3	O love	0.006
>HB[	qal	4	[one	0.006
>HB[	qal	5	lovers	0.006
>HLJBH/		2	O Oholibah	0.167
>J/		2	O islands	0.083
>J/		3	coast	0.056
>JB[	qal	2	than	0.004
>JC/		10	than someone	0.0
>JC/		2	O people	0.001
>JC/		3	a male	0.001
>JC/		4	one	0.0
>JC/		5	any	0.0
>JC/		6	O men	0.0
>JC/		7	of humankind	0.0
>JC/		8	than a person	0.0
>JC/		9	than anyone	0.0
>JCWN/		2	middle	0.25
>JM/		2	terrifying	0.333
>JTN/		2	enduring	0.308
>JTN/		3	permanence	0.077
>JTN/		4	its normal	0.077
>JTN/		5	long established	0.077
>JTN/		6	constant	0.077
>JWB/		2	O Job	0.052
>K		2	just	0.018
>KL/		2	the meal	0.023
>KLH/		2	devouring	0.056
>KL[	hif	2	feed	0.222
>KL[	hif	3	about	0.111
>KL[	hif	4	about to make eat	0.111
>KL[	hif	5	I fed	0.111
>KL[	hif	6	give	0.111
>KL[	nif	2	ever (eaten)	0.022
>KL[	nif	3	they will be devoured	0.022
>KL[	pual	2	you will be eaten	0.25
>KL[	qal	2	freely (eat)	0.002
>KL[	qal	3	completely (consume)	0.002
>KL[	qal	4	I want to eat	0.002
>KL[	qal	5	food	0.002
>KR/		2	O farmers	0.143
>KZB/		2	become] (into) a deceitful thing	0.5
>KZR/		2	fierce	0.25
>KZR/		3	become] (into) cruel	0.25
>L=		2	al-	0.286
>LH		2	these things	0.001
>LHJM/		2	Elohey	0.0
>LHJM/		3	his own god	0.0
>LHJM/		4	be] like God	0.0
>LHJM/		5	than God	0.0
>LJC</		2	O Elisha	0.017
>LM=/		2	silence	0.5
>LMH/		2	sheaf	0.4
>LP=/		2	than thousands	0.004
>LWH/		2	O God	0.018
>LWP=/		2	a tame one	0.111
>LWP=/		3	friend	0.111
>LWP=/		4	cattle(s)	0.111
>M/		2	O	0.005
>MC/		2	yesterday	0.4
>MH/		2	woman	0.036
>MH/		3	slave	0.018
>MH=/		2	the foundations	0.004
>MNH==/		2	a fixed provision	0.5
>MN[	hif	2	anyone trusts	0.02
>MN[	nif	2	lasting	0.043
>MN[	nif	3	firm	0.043
>MN[	nif	4	that they may be verified	0.022
>MN[	nif	5	they will be carried	0.022
>MN[	nif	6	trustworthy	0.022
>MN[	nif	7	trusted	0.022
>MN[	qal	2	nurse	0.25
>MN[	qal	3	guarding	0.125
>MN[	qal	4	guardians	0.125
>MN[	qal	5	who were] brought up	0.125
>MN[	qal	6	acting as guardian	0.125
>MR/		2	his decree	0.021
>MR/		3	sayings	0.021
>MR/		4	utterances	0.021
>MR=/		2	a matter	0.167
>MR[	nif	2	it will be called	0.048
>MR[	qal	2	anyone said?	0.0
>MR[	qal	3	I have promised	0.0
>MR[	qal	4	he assigned	0.0
>MR[	qal	5	everyone will say	0.0
>MR[	qal	6	continually (say)	0.0
>MR[	qal	7	she utters	0.0
>MT/		2	stability	0.016
>MWNH/		2	truth	0.02
>MWNH/		3	of faithfulness(es)	0.02
>MY[	hit	2	determined	0.25
>MY[	piel	2	he made hard	0.143
>MY[	piel	3	you made strong	0.143
>MY[	piel	4	you will harden	0.071
>MY[	piel	5	make strong	0.071
>MY[	qal	2	they were strong	0.312
>NC/		2	a human	0.231
>NC/		3	of man	0.154
>NC/		4	of humankind	0.077
>NH/		2	of mourning(s)	0.5
>NJH/		2	O ships	0.065
>NXH/		2	groaning(s)	0.091
>P/		2	double	0.004
>P/		3	also	0.004
>P<H/		2	a snake	0.333
>PDH/		2	the sheathing	0.333
>PJQ/		2	channels	0.333
>PJQ/		3	stream-beds	0.056
>PJQ/		4	a stream-bed	0.056
>PJQ/		5	tubes	0.056
>PJQ/		6	rows	0.056
>PRJM/		2	O Ephraim	0.022
>PRT/		2	Ephrath	0.4
>PRX/		2	young ones	0.25
>PRX/		3	its young	0.25
>PS/		2	nothingness	0.032
>PS/		3	no	0.032
>RB</		2	belong] to the four	0.003
>RB=/		2	lying-in-wait	0.5
>RBH/		2	than locust	0.042
>RB[	qal	2	lying in wait	0.026
>RB[	qal	3	I have lain in wait	0.026
>RG/		2	a weaver's shuttle	0.5
>RGMN/		2	of purple cloth	0.026
>RGMN/		3	purple wool	0.026
>RGMN/		4	wool	0.026
>RK/		2	the length	0.067
>RK[	hif	2	they were long	0.115
>RK[	hif	3	it will last long	0.038
>RK[	qal	2	they are long	0.333
>RK[	qal	3	they became long	0.333
>RM/		2	Beth	0.008
>RMWN/		2	the fortress	0.156
>RR[	qal	2	certainly (curse)	0.019
>RWN/		2	coffin	0.005
>RX/		2	the caravans	0.017
>RXH/		2	O caravans	0.5
>RXH=/		2	his food	0.333
>RXH=/		3	a portion	0.167
>RX[	qal	2	traveler	0.5
>RY/		2	O earth	0.004
>RY/		3	his own land	0.0
>S>/		2	O Asa	0.017
>SJR/		2	O prisoners	0.083
>SP/		2	gathering(s)	0.333
>SP[	nif	2	was received	0.025
>SP[	nif	3	about to be gathered	0.013
>SP[	nif	4	fully (be gathered)	0.013
>SP[	piel	2	receiving	0.286
>SP[	piel	3	[those	0.143
>SP[	piel	4	gathers	0.143
>SP[	qal	2	I have withdrawn	0.022
>SP[	qal	3	utterly (destroy)	0.011
>SP[	qal	4	you withdrew	0.011
>SR[	nif	2	be imprisoned	0.4
>SR[	qal	2	he harnessed	0.065
>SR[	qal	3	tethered	0.043
>SR[	qal	4	only (bind)	0.022
>SR[	qal	5	people	0.022
>SR[	qal	6	will he begin	0.022
>SR[	qal	7	girded	0.022
>STR/		2	O Esther	0.036
>TH[	qal	2	he came	0.133
>TH[	qal	3	it will arrive	0.067
>TJ/		2	Ithai	0.111
>VD/		2	the threshing	0.333
>VD/		3	a thorn bush	0.167
>VM[	qal	2	shuts	0.5
>WB/		2	necromancy	0.25
>WH[	hit	2	coveting	0.067
>WH[	piel	2	it craves	0.25
>WN=/		2	disaster	0.013
>WN=/		3	deception	0.013
>WN=/		4	hardship	0.013
>WN=/		5	strength	0.013
>WN=/		6	(of) evil	0.013
>WPJR/		2	gold of Ophir	0.111
>WR[	hif	2	it shines	0.059
>WR[	hif	3	setting light to	0.029
>WR[	hif	4	it gave light	0.029
>WR[	hif	5	you will set light to	0.029
>WR[	hif	6	give	0.029
>WR[	hif	7	enlightening	0.029
>WR[	hif	8	make	0.029
>WR[	hif	9	he has given light	0.029
>WR[	qal	2	they brightened	0.286
>WR[	qal	3	shine	0.286
>WR[	qal	4	it became light	0.143
>WYR/		2	stores	0.025
>WYR/		3	storerooms	0.025
>WYR/		4	armory	0.013
>WYR/		5	than treasure	0.013
>WYR/		6	supplies	0.013
>WY[	hif	2	hasten	0.5
>WY[	qal	2	urging	0.125
>WY[	qal	3	it is narrow	0.125
>X/		2	than a brother	0.003
>XD/		2	plus	0.001
>XD/		3	be] like one	0.001
>XJH/		2	Ahiah	0.053
>XJMLK/		2	O Ahimelech	0.059
>XR/		2	the back(s)	0.001
>XR/		3	the back end(s)	0.001
>XR=/		2	following	0.006
>XR=/		3	than other	0.006
>XR=/		4	one	0.006
>XRJT/		2	last	0.016
>XRJT/		3	the latter part	0.016
>XRWN/		2	behind	0.043
>XRWN/		3	future	0.043
>XR[	piel	2	he delayed	0.2
>XWR/		2	behind	0.073
>XWR/		3	hindquarters	0.049
>XWR/		4	back	0.049
>XWR/		5	the rear	0.024
>XWR/		6	parts	0.024
>XWR/		7	west	0.024
>XWT/		2	O sister	0.009
>XWXJ/		2	of Ahoah	0.2
>XZ=[	qal	2	he covered	0.5
>XZH/		2	his own	0.016
>XZH/		3	property	0.016
>XZJH/		2	O Ahaziah	0.143
>XZ[	qal	2	supports	0.047
>XZ[	qal	3	you held	0.047
>XZ[	qal	4	the one] who he will seize	0.023
>XZ[	qal	5	are] caught	0.023
>XZ[	qal	6	bolt	0.023
>YB</		2	the toes	0.032
>YB</		3	digits	0.032
>YL[	qal	2	have you reserved	0.25
>YL[	qal	3	I withheld	0.25
>ZKRH/		2	a memorial offering	0.143
>ZL[	qal	2	they disappear	0.25
>ZL[	qal	3	going away	0.25
>ZN/		2	your own	0.005
>ZRX/		2	native	0.059
>ZRX/		3	a native tree	0.059
B<D/		2	price	0.023
B<H[	nif	2	they will be searched out	0.5
B<H[	qal	2	it boils	0.5
B<JR/		2	animal	0.167
B<L/		2	the possessor	0.024
B<L/		3	the partners	0.012
B<L/		4	O citizens	0.012
B<L/		5	rulers	0.012
B<L/		6	a captain	0.012
B<R[	hif	2	who] kindled	0.25
B<R[	hif	3	he will cause to be grazed over	0.125
B<R[	hif	4	about to sweep away	0.125
B<R[	piel	2	I will sweep away	0.053
B<R[	piel	3	someone sweeps away	0.026
B<R[	piel	4	he destroyed	0.026
B<R[	qal	2	people have burned	0.026
B<R[	qal	3	about to burn	0.026
B>C[	hif	2	making	0.125
B>C[	hif	3	you have made stink	0.125
B>C[	hif	4	it stank	0.125
B>C[	hif	5	they stink	0.125
B>C[	hif	6	he acts odiously	0.125
B>C[	hif	7	it causes to stink	0.125
B>R/		2	wells	0.25
B>R/		3	O well	0.125
B>R/		4	your own well	0.125
B>R[	piel	2	clearly	0.333
B>R[	piel	3	make clear	0.333
BBL/		2	O Babylon	0.004
BCL[	qal	2	it has grown ripe	0.5
BCT/		2	thing	0.067
BCT/		3	your own	0.033
BD/		2	parts	0.051
BD/		3	shoots	0.025
BD/		4	alone	0.013
BD/		5	apart	0.013
BD/		6	bars	0.013
BD>[	qal	2	inventing	0.5
BDL[	hif	2	they have made a distinction	0.037
BDL[	hif	3	make a distinction	0.037
BDQ/		2	your leak	0.2
BFM/		2	perfume	0.033
BFM/		3	oil	0.033
BFR/		2	your own	0.004
BGTN/		2	Bigthana	0.5
BHLH/		2	terror	0.5
BHL[	nif	2	terrible	0.043
BHL[	nif	3	may they be dismayed	0.043
BHL[	nif	4	you have become dismayed	0.043
BHL[	nif	5	hastening	0.043
BHL[	nif	6	be hasty	0.043
BHL[	piel	2	he hastened	0.25
BHL[	piel	3	terrify	0.25
BHL[	pual	2	hastened	0.5
BHMH/		2	O animals	0.005
BHMH/		3	than animals	0.005
BHRT/		2	spot	0.417
BJN/		2	among	0.002
BJNH/		2	of understanding(s)	0.026
BJRH/		2	temple	0.125
BJT/		2	O house	0.018
BJT/		3	a receptacle	0.0
BJT/		4	than a house	0.0
BJT/		5	of Beth	0.0
BJT_>L/		2	O	0.018
BJT_LXM/		2	O	0.037
BKH[	piel	2	bewailing	0.5
BKH[	qal	2	crying	0.009
BKH[	qal	3	certainly (weep)	0.009
BKH[	qal	4	I will bewail	0.009
BKH[	qal	5	at all (weep)	0.009
BKJ/		2	than the weeping	0.033
BL<DJ		2	apart	0.294
BL<DJ		3	without	0.176
BL<[	piel	2	[those	0.067
BL<[	piel	3	ruin	0.067
BL<[	piel	4	someone	0.067
BLC>YR/		2	O Belshazzar	0.143
BLG[	hif	2	who] causes to flash	0.25
BLH[	piel	2	they will use to the full	0.25
BLH[	piel	3	he has made to waste away	0.25
BLH[	qal	2	he wears out	0.4
BLH[	qal	3	they have worn out	0.1
BLH[	qal	4	they became worn out	0.1
BLJ<L/		2	worthless person	0.111
BLL[	qal	2	he confused	0.048
BLL[	qal	3	he fed	0.024
BLL[	qal	4	I have been anointed	0.024
BLQ/		2	O Balak	0.023
BLQ/		3	than Balak	0.023
BN/		10	than children	0.0
BN/		2	O son	0.022
BN/		3	O people	0.002
BN/		4	O children	0.001
BN/		5	O descendants	0.001
BN/		6	than sons	0.001
BN/		7	Bohan	0.0
BN/		8	belongs] to the people	0.0
BN/		9	O Ben-	0.0
BNH[	qal	2	about to build	0.009
BNH[	qal	3	people had built	0.003
BQ<[	hit	2	they will be cleft	0.5
BQ<[	nif	2	be broken into	0.2
BQ<[	nif	3	they will burst forth	0.067
BQ<[	nif	4	it will break forth	0.067
BQ<[	nif	5	it is hatched	0.067
BQ<[	piel	2	he cut	0.091
BQ<[	piel	3	they split	0.091
BQ<[	piel	4	they tore in pieces	0.091
BQ<[	piel	5	you will rip open	0.091
BQ<[	piel	6	he ripped open	0.091
BQ<[	piel	7	they have hatched	0.091
BQ<[	piel	8	it will break through	0.091
BQ<[	piel	9	I will make break out	0.091
BQ<[	pual	2	broken into	0.333
BQ<[	pual	3	they will be ripped open	0.333
BQ<[	qal	2	they broke through	0.143
BQ<[	qal	3	break	0.143
BQ<[	qal	4	divide	0.071
BQ<[	qal	5	it will hatch	0.071
BQ<[	qal	6	you broke	0.071
BQ<[	qal	7	you broke open	0.071
BQ<[	qal	8	cleaves	0.071
BQC[	piel	2	let people seek	0.015
BQC[	piel	3	seekers	0.005
BQC[	piel	4	people sought	0.005
BQC[	piel	5	he sought to find	0.005
BQJ</		2	rubble(s)	0.5
BQQ[	nif	2	it will be disturbed	0.333
BQQ[	qal	2	I will make void	0.25
BQQ[	qal	3	luxuriant	0.25
BQQ[	qal	4	lay waste	0.25
BQR/		2	oxen	0.011
BQR/		3	bull	0.006
BQR=/		2	mornings	0.023
BQR[	piel	2	consult	0.333
BQR[	piel	3	contemplate	0.167
BRD=/		2	dappled	0.333
BRH[	qal	2	he ate	0.333
BRK=[	qal	2	he knelt down	0.5
BRK[	hit	2	who] blesses himself	0.143
BRK[	piel	2	actually (bless)	0.013
BRK[	piel	3	at all (bless)	0.006
BRK[	piel	4	abundantly (bless)	0.006
BRK[	piel	5	may people bless	0.006
